case,rule,symbols,start,end,cost,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference
train,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146
train,b-cooldown20,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,55,49.09090909090909,49.09090909090909,32,43.75,53.125,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146
train,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,40,57.49999999999999,35.0
train,jf-cooldown10,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,55,49.09090909090909,49.09090909090909,31,45.16129032258064,51.61290322580645,24,54.166666666666664,45.83333333333333,35,57.14285714285714,37.142857142857146
train,bs-cooldown,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,55,49.09090909090909,49.09090909090909,32,43.75,53.125,23,56.52173913043478,43.47826086956522,40,57.49999999999999,35.0
train,b-momentum,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,28.39220086641174,8.723566292384465,14.988696140842784,0.6698472544459756,0.5820096831914265,50,48.0,-34.38185233852087,-0.4967422602022542,0.2702523240371845,21,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146
train,profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,25.16648096121483,7.801667901313336,14.438774784861309,0.6558272338059418,0.5403275567046858,50,57.99999999999999,-34.38185233852088,8.026204668533676,0.24926958831341298,16,54,50.0,48.148148148148145,31,45.16129032258064,51.61290322580645,23,56.52173913043478,43.47826086956522,35,57.14285714285714,37.142857142857146
train,bs-cooldown-profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2024-08-26,0.001,25.16648096121483,7.801667901313336,14.438774784861309,0.6558272338059418,0.5403275567046858,50,57.99999999999999,-34.38185233852088,8.026204668533676,0.24926958831341298,16,55,49.09090909090909,49.09090909090909,32,43.75,53.125,23,56.52173913043478,43.47826086956522,40,57.49999999999999,35.0
validation,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2024-08-27,2025-08-26,0.001,27.106359383333235,27.350489306266603,11.28577658459291,1.4140042904043126,2.423447699966423,17,64.70588235294117,-23.72333142580999,3.7543327154057726,0.3388,5,22,63.63636363636363,36.36363636363637,12,50.0,50.0,10,80.0,20.0,10,50.0,40.0
validation,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2024-08-27,2025-08-26,0.001,27.106359383333235,27.350489306266603,11.28577658459291,1.4140042904043126,2.423447699966423,17,64.70588235294117,-23.72333142580999,3.7543327154057726,0.3388,5,22,63.63636363636363,36.36363636363637,12,50.0,50.0,10,80.0,20.0,10,50.0,40.0
full5y,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,159.0641809107651,21.062846835890745,14.988696140842784,1.2995444898431363,1.4052487713388542,82,53.65853658536586,-34.38185233852087,2.54671151694289,0.31976095617529876,31,104,60.57692307692307,38.46153846153847,60,55.00000000000001,43.333333333333336,44,68.18181818181817,31.818181818181817,61,54.09836065573771,39.34426229508197
full5y,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,154.81515274566115,20.661504314949262,14.988696140842784,1.292549905910019,1.3784724248728089,82,52.4390243902439,-34.38185233852087,1.735550552118037,0.3173705179282868,32,104,60.57692307692307,38.46153846153847,60,55.00000000000001,43.333333333333336,44,68.18181818181817,31.818181818181817,69,53.62318840579711,39.130434782608695
year2021,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2022-08-26,0.001,-2.5412904317033025,-2.5412904317033025,14.988696140842784,-0.07400575394075609,-0.16954713123968973,18,38.88888888888889,-26.410032710845943,-3.8134392017958207,0.2158730158730159,9,20,40.0,60.0,6,0.0,100.0,14,57.14285714285714,42.857142857142854,7,57.14285714285714,28.57142857142857
year2021,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2022-08-26,0.001,-2.5412904317033025,-2.5412904317033025,14.988696140842784,-0.07400575394075609,-0.16954713123968973,18,38.88888888888889,-26.410032710845943,-3.8134392017958207,0.2158730158730159,9,20,40.0,60.0,6,0.0,100.0,14,57.14285714285714,42.857142857142854,8,50.0,25.0
year2022,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2022-08-27,2023-08-26,0.001,21.232004659474235,21.418880666012143,5.055368329372456,1.606704742206523,4.236858576963661,17,58.82352941176471,-34.38185233852087,5.482767351299778,0.1792,5,18,66.66666666666666,33.33333333333333,13,69.23076923076923,30.76923076923077,5,60.0,40.0,12,50.0,50.0
year2022,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2022-08-27,2023-08-26,0.001,21.232004659474235,21.418880666012143,5.055368329372456,1.606704742206523,4.236858576963661,17,58.82352941176471,-34.38185233852087,5.482767351299778,0.1792,5,18,66.66666666666666,33.33333333333333,13,69.23076923076923,30.76923076923077,5,60.0,40.0,13,53.84615384615385,46.15384615384615
year2023,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2023-08-27,2024-08-26,0.001,10.04583996807109,10.087817447632052,7.648393532408038,0.9142962647165913,1.3189459204586693,16,56.25,-26.97428325254111,14.068617534933747,0.30199203187250995,6,13,46.15384615384615,46.15384615384615,11,45.45454545454545,45.45454545454545,2,50.0,50.0,7,71.42857142857143,28.57142857142857
year2023,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2023-08-27,2024-08-26,0.001,10.04583996807109,10.087817447632052,7.648393532408038,0.9142962647165913,1.3189459204586693,16,56.25,-26.97428325254111,14.068617534933747,0.30199203187250995,6,13,46.15384615384615,46.15384615384615,11,45.45454545454545,45.45454545454545,2,50.0,50.0,9,66.66666666666666,33.33333333333333
