case,rule,symbol,start,end,prior_entry_date,prior_entry_origin,prior_entry_profit_enabled,end_entry_date,prior_status,prior_position,prior_entry_i,prior_entry_open,prior_highest_close,prior_pending_buy,prior_pending_sell_reason,prior_profit_armed,prior_profit_floor,prior_mark_equity,end_status,end_position,end_entry_i,end_entry_open,end_highest_close,end_pending_buy,end_pending_sell_reason,end_profit_armed,end_profit_floor,end_mark_equity
full5y,v5,TQQQ,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.942966287827346
full5y,v5,MSFT,2021-08-27,2026-08-27,,,,2026-06-29,flat,flat,,,,False,,False,,,open,open,1212.0,377.5,506.05999755859375,False,,False,,1.251865316452036
full5y,v5,NFLX,2021-08-27,2026-08-27,,,,2026-07-20,flat,flat,,,,False,,False,,,open,open,1226.0,68.31999969482422,82.2300033569336,False,,False,,4.293964328312951
full5y,v5,YINN,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.740219179349682
full5y,v5,SNOW,2021-08-27,2026-08-27,,,,2026-04-14,flat,flat,,,,False,,False,,,open,open,1160.0,136.3000030517578,337.3800048828125,False,,False,,1.4555735343402418
full5y,v5,TSLA,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,2.0184649770517558
full5y,v5,MRNA,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.9526940704501035
full5y,v5,NVDA,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.3968970412991766
full5y,v5,GOOGL,2021-08-27,2026-08-27,,,,2026-08-04,flat,flat,,,,False,,False,,,open,open,1237.0,368.2200012207031,377.6499938964844,False,,False,,0.9403020738113962
full5y,v5,AAOI,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,13.855202504003184
full5y,P-confirm5-v5profit50,TQQQ,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.5283943458439087
full5y,P-confirm5-v5profit50,MSFT,2021-08-27,2026-08-27,,,,2026-06-29,flat,flat,,,,False,,False,,,open,open,1212.0,377.5,506.05999755859375,False,,True,442.1580657852418,1.4351297409076098
full5y,P-confirm5-v5profit50,NFLX,2021-08-27,2026-08-27,,,,2026-07-20,flat,flat,,,,False,,False,,,open,open,1226.0,68.31999969482422,82.2300033569336,False,,True,75.34342414238428,4.214937144697585
full5y,P-confirm5-v5profit50,YINN,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.8404599363332868
full5y,P-confirm5-v5profit50,SNOW,2021-08-27,2026-08-27,,,,2026-04-14,flat,flat,,,,False,,False,,,open,open,1160.0,136.3000030517578,337.3800048828125,False,,True,236.97650869328265,1.2761467302201868
full5y,P-confirm5-v5profit50,TSLA,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,2.4230863275895396
full5y,P-confirm5-v5profit50,MRNA,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.2757425086997727
full5y,P-confirm5-v5profit50,NVDA,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.3700026445257367
full5y,P-confirm5-v5profit50,GOOGL,2021-08-27,2026-08-27,,,,2026-08-04,flat,flat,,,,False,,False,,,open,open,1237.0,368.2200012207031,377.6499938964844,False,,False,,0.9761106669426083
full5y,P-confirm5-v5profit50,AAOI,2021-08-27,2026-08-27,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,17.80906508224375
year2021,v5,TQQQ,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.192568399182066
year2021,v5,MSFT,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.7840356998740602
year2021,v5,NFLX,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.0
year2021,v5,YINN,2021-08-27,2022-08-26,,,,2022-08-12,flat,flat,,,,False,,False,,,open,open,241.0,64.45999908447266,72.1500015258789,False,,False,,0.8810733697917381
year2021,v5,SNOW,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.1103506458908161
year2021,v5,TSLA,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.1081938505014737
year2021,v5,MRNA,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.7482652054662565
year2021,v5,NVDA,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.0
year2021,v5,GOOGL,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.7681473542393203
year2021,v5,AAOI,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.8547112016935287
year2021,P-confirm5-v5profit50,TQQQ,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.7931254519778401
year2021,P-confirm5-v5profit50,MSFT,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.7344013102795784
year2021,P-confirm5-v5profit50,NFLX,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.0480843655918481
year2021,P-confirm5-v5profit50,YINN,2021-08-27,2022-08-26,,,,2022-08-12,flat,flat,,,,False,,False,,,open,open,241.0,64.45999908447266,72.1500015258789,False,,False,,1.0021590952782429
year2021,P-confirm5-v5profit50,SNOW,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.0119741396861883
year2021,P-confirm5-v5profit50,TSLA,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.234889110831427
year2021,P-confirm5-v5profit50,MRNA,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.8743779063114857
year2021,P-confirm5-v5profit50,NVDA,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,1.0
year2021,P-confirm5-v5profit50,GOOGL,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.7681473542393203
year2021,P-confirm5-v5profit50,AAOI,2021-08-27,2022-08-26,,,,,flat,flat,,,,False,,False,,,flat,flat,,,,False,,False,,0.8547112016935287
year2022,v5,TQQQ,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,1.192568399182066,flat,flat,,,,False,,False,,1.2193803958826372
year2022,v5,MSFT,2022-08-27,2023-08-26,,,,2023-04-28,flat,flat,,,,False,,False,,0.7840356998740602,open,open,419.0,304.010009765625,359.489990234375,False,,False,,0.832125992479879
year2022,v5,NFLX,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,1.0,flat,flat,,,,False,,False,,1.373549239634831
year2022,v5,YINN,2022-08-27,2023-08-26,2022-08-12,v5,False,,open,open,241.0,64.45999908447266,72.1500015258789,False,,False,,0.8810733697917381,flat,flat,,,,False,,False,,0.7446175875740909
year2022,v5,SNOW,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,1.1103506458908161,flat,flat,,,,False,,False,,1.1182290141865787
year2022,v5,TSLA,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,1.1081938505014737,flat,flat,,,,False,,False,,1.155844011640196
year2022,v5,MRNA,2022-08-27,2023-08-26,,,,2023-08-18,flat,flat,,,,False,,False,,0.7482652054662565,open,open,496.0,105.9000015258789,116.23999786376952,False,,False,,0.790080926779476
year2022,v5,NVDA,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,1.0,flat,flat,,,,False,,False,,1.0
year2022,v5,GOOGL,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,0.7681473542393203,flat,flat,,,,False,,False,,0.7681473542393203
year2022,v5,AAOI,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,0.8547112016935287,flat,flat,,,,False,,False,,2.2149006175886514
year2022,P-confirm5-v5profit50,TQQQ,2022-08-27,2023-08-26,,,,,flat,flat,,,,False,,False,,0.7931254519778401,flat,flat,,,,False,,False,,0.7799996818533934
