case,rule,mode,start,end,bars,total,cagr,mdd,sharpe,calmar,exposure
full5y,v5,reset_liquidate,2021-08-27,2026-08-27,1255,159.0641809107651,21.062846835890745,14.988696140842784,1.2995444898431363,1.4052487713388542,0.31976095617529876
full5y,v5,reset_mark,2021-08-27,2026-08-27,1255,159.16842522548816,21.07262692664369,14.988696140842784,1.3000508411277505,1.4059012691052404,0.31976095617529876
full5y,v5,carry_mark,2021-08-27,2026-08-27,1255,159.16842522548816,21.07262692664369,14.988696140842784,1.3000508411277505,1.4059012691052404,0.31976095617529876
full5y,P-confirm5-v5profit50,reset_liquidate,2021-08-27,2026-08-27,1255,148.72621409950182,20.07694439913792,15.069963960161614,1.2407807101360537,1.332248998883645,0.34637450199203185
full5y,P-confirm5-v5profit50,reset_mark,2021-08-27,2026-08-27,1255,148.8262985405516,20.086644843529022,15.069963960161614,1.2412845385269304,1.3328926928179334,0.34637450199203185
full5y,P-confirm5-v5profit50,carry_mark,2021-08-27,2026-08-27,1255,148.8262985405516,20.086644843529022,15.069963960161614,1.2412845385269304,1.3328926928179334,0.34637450199203185
year2021,v5,reset_liquidate,2021-08-27,2022-08-26,252,-2.5412904317033025,-2.5412904317033025,14.988696140842784,-0.07400575394075609,-0.16954713123968973,0.2158730158730159
year2021,v5,reset_mark,2021-08-27,2022-08-26,252,-2.531754449987378,-2.531754449987378,14.988696140842784,-0.07341501101290389,-0.16891091968223879,0.2158730158730159
year2021,v5,carry_mark,2021-08-27,2022-08-26,252,-2.531754449987378,-2.531754449987378,14.988696140842784,-0.07341501101290389,-0.16891091968223879,0.2158730158730159
year2021,P-confirm5-v5profit50,reset_liquidate,2021-08-27,2022-08-26,252,-4.780535567694333,-4.780535567694333,15.069963960161614,-0.2842590867414864,-0.3172227604745423,0.19206349206349208
year2021,P-confirm5-v5profit50,reset_mark,2021-08-27,2022-08-26,252,-4.771218688003964,-4.771218688003964,15.069963960161614,-0.28355870699860264,-0.3166045188042239,0.19206349206349208
year2021,P-confirm5-v5profit50,carry_mark,2021-08-27,2022-08-26,252,-4.771218688003964,-4.771218688003964,15.069963960161614,-0.28355870699860264,-0.3166045188042239,0.19206349206349208
year2022,v5,reset_liquidate,2022-08-27,2023-08-26,250,21.232004659474235,21.418880666012143,5.055368329372456,1.606704742206523,4.236858576963661,0.1792
year2022,v5,reset_mark,2022-08-27,2023-08-26,250,21.2562851612377,21.443393158614967,5.055368329372456,1.6083230846889247,4.241707381443525,0.1792
year2022,v5,carry_mark,2022-08-27,2023-08-26,250,18.862492917118722,19.02691930959932,6.929726616134058,1.4387812273318459,2.7456955178145286,0.1816
year2022,P-confirm5-v5profit50,reset_liquidate,2022-08-27,2023-08-26,250,19.47648976456593,19.646697072768447,5.726930251256879,1.4040232618034587,3.4305808191843483,0.1812
year2022,P-confirm5-v5profit50,reset_mark,2022-08-27,2023-08-26,250,19.51171064213677,19.68225033667379,5.726930251256879,1.4064150887083822,3.4367889031570034,0.1812
year2022,P-confirm5-v5profit50,carry_mark,2022-08-27,2023-08-26,250,17.152359078330104,17.30081960909027,6.929726616134058,1.2494202324808708,2.496609255668157,0.1836
year2023,v5,reset_liquidate,2023-08-27,2024-08-26,251,10.04583996807109,10.087817447632052,7.648393532408038,0.9142962647165913,1.3189459204586693,0.30199203187250995
year2023,v5,reset_mark,2023-08-27,2024-08-26,251,10.1116037313721,10.153868482399009,7.648393532408038,0.9199460783478229,1.327581856160341,0.30199203187250995
year2023,v5,carry_mark,2023-08-27,2024-08-26,251,10.889421688224289,10.935096026454861,8.942850803032565,0.9089972995868604,1.2227751829144589,0.4131474103585657
year2023,P-confirm5-v5profit50,reset_liquidate,2023-08-27,2024-08-26,251,12.779091764654149,12.833140175592161,7.223613805688478,1.0871314257639575,1.7765540241764133,0.3513944223107569
year2023,P-confirm5-v5profit50,reset_mark,2023-08-27,2024-08-26,251,12.835102287625077,12.88940085321213,7.223613805688478,1.0916573146444477,1.784342463471945,0.3513944223107569
year2023,P-confirm5-v5profit50,carry_mark,2023-08-27,2024-08-26,251,13.043531643283067,13.098762074702975,9.346430903771052,1.0233934627456207,1.4014720923489574,0.446613545816733
year2024,v5,reset_liquidate,2024-08-27,2025-08-26,250,27.106359383333235,27.350489306266603,11.28577658459291,1.4140042904043126,2.423447699966423,0.3388
year2024,v5,reset_mark,2024-08-27,2025-08-26,250,27.157364921862825,27.402001720526712,11.28577658459291,1.4162118563667838,2.428012065907393,0.3388
year2024,v5,carry_mark,2024-08-27,2025-08-26,250,51.919966772613215,52.42906146216011,11.056278004106279,2.1214553041553024,4.742017290329355,0.41879999999999995
year2024,P-confirm5-v5profit50,reset_liquidate,2024-08-27,2025-08-26,250,40.26229844813205,40.64246803475014,10.533553373266502,1.890645572133978,3.8583815541200153,0.384
year2024,P-confirm5-v5profit50,reset_mark,2024-08-27,2025-08-26,250,40.31858323279944,40.69935696478437,10.533553373266502,1.8927742822217555,3.8637822890874403,0.384
year2024,P-confirm5-v5profit50,carry_mark,2024-08-27,2025-08-26,250,52.827834134287514,53.347280335092925,10.53355337326648,2.1595529129503355,5.064509424757375,0.45520000000000005
year2025,v5,reset_liquidate,2025-08-27,2026-08-27,252,35.12259868124299,35.12259868124299,8.854547671476421,2.440729035282876,3.9666169277494663,0.27380952380952384
year2025,v5,reset_mark,2025-08-27,2026-08-27,252,35.17697039196583,35.17697039196583,8.854547671476421,2.443774849218465,3.972757468490807,0.27380952380952384
