case,rule,mode,date,return
full5y,v5,reset_liquidate,2021-08-27,0.0
full5y,v5,reset_liquidate,2021-08-30,0.0
full5y,v5,reset_liquidate,2021-08-31,0.0
full5y,v5,reset_liquidate,2021-09-01,0.0
full5y,v5,reset_liquidate,2021-09-02,0.0
full5y,v5,reset_liquidate,2021-09-03,0.0
full5y,v5,reset_liquidate,2021-09-07,0.0
full5y,v5,reset_liquidate,2021-09-08,0.0
full5y,v5,reset_liquidate,2021-09-09,0.0
full5y,v5,reset_liquidate,2021-09-10,0.0
full5y,v5,reset_liquidate,2021-09-13,0.0
full5y,v5,reset_liquidate,2021-09-14,0.0
full5y,v5,reset_liquidate,2021-09-15,0.0
full5y,v5,reset_liquidate,2021-09-16,0.0
full5y,v5,reset_liquidate,2021-09-17,0.0
full5y,v5,reset_liquidate,2021-09-20,0.0
full5y,v5,reset_liquidate,2021-09-21,0.0
full5y,v5,reset_liquidate,2021-09-22,0.0
full5y,v5,reset_liquidate,2021-09-23,0.0006751727066287572
full5y,v5,reset_liquidate,2021-09-24,-0.006448512492050251
full5y,v5,reset_liquidate,2021-09-27,0.004423871591320627
full5y,v5,reset_liquidate,2021-09-28,0.0001970413283174377
full5y,v5,reset_liquidate,2021-09-29,-0.002163222236242379
full5y,v5,reset_liquidate,2021-09-30,0.003015075376884413
full5y,v5,reset_liquidate,2021-10-01,-0.0024390243902438933
full5y,v5,reset_liquidate,2021-10-04,-0.007300003051757808
full5y,v5,reset_liquidate,2021-10-05,0.0039913750803061586
full5y,v5,reset_liquidate,2021-10-06,-0.0014522837175506397
full5y,v5,reset_liquidate,2021-10-07,0.012315786261307582
full5y,v5,reset_liquidate,2021-10-08,0.0028116214487384104
full5y,v5,reset_liquidate,2021-10-11,-0.0003646252576225195
full5y,v5,reset_liquidate,2021-10-12,-0.0013723695865677898
full5y,v5,reset_liquidate,2021-10-13,0.005473092513412681
full5y,v5,reset_liquidate,2021-10-14,-0.0012313051311001245
full5y,v5,reset_liquidate,2021-10-15,0.0029385532793283708
full5y,v5,reset_liquidate,2021-10-18,0.0018166077005539183
full5y,v5,reset_liquidate,2021-10-19,0.00824129552178512
full5y,v5,reset_liquidate,2021-10-20,0.0011773880318995066
full5y,v5,reset_liquidate,2021-10-21,-0.0005430542912239101
full5y,v5,reset_liquidate,2021-10-22,0.00023401174641131118
full5y,v5,reset_liquidate,2021-10-25,0.0009338497651690148
full5y,v5,reset_liquidate,2021-10-26,-0.006168080330173365
