window,symbol,start,end,prefix_bars,all_setups,all_confirmed,all_expired,confirmed,expired,reconciled
training,TQQQ,2021-08-27,2024-08-26,1995,8,6,2,4,1,True
training,MSFT,2021-08-27,2024-08-26,1998,7,4,3,3,3,True
training,NFLX,2021-08-27,2024-08-26,1998,14,8,6,5,4,True
training,YINN,2021-08-27,2024-08-26,1998,23,12,11,7,5,True
training,SNOW,2021-08-27,2024-08-26,992,9,7,2,7,2,True
training,TSLA,2021-08-27,2024-08-26,1995,12,9,3,3,2,True
training,MRNA,2021-08-27,2024-08-26,1438,9,3,6,1,4,True
training,NVDA,2021-08-27,2024-08-26,1994,5,2,3,0,1,True
training,GOOGL,2021-08-27,2024-08-26,1998,11,7,4,2,1,True
training,AAOI,2021-08-27,2024-08-26,1994,20,8,12,3,6,True
validation,TQQQ,2024-08-27,2025-08-26,2245,9,6,3,0,1,True
validation,MSFT,2024-08-27,2025-08-26,2248,8,5,3,1,0,True
validation,NFLX,2024-08-27,2025-08-26,2248,17,11,6,3,0,True
validation,YINN,2024-08-27,2025-08-26,2248,25,13,12,1,1,True
validation,SNOW,2024-08-27,2025-08-26,1242,11,7,4,0,2,True
validation,TSLA,2024-08-27,2025-08-26,2245,14,11,3,2,0,True
validation,MRNA,2024-08-27,2025-08-26,1688,12,6,6,3,0,True
validation,NVDA,2024-08-27,2025-08-26,2244,7,3,4,1,1,True
validation,GOOGL,2024-08-27,2025-08-26,2248,12,8,4,1,0,True
validation,AAOI,2024-08-27,2025-08-26,2244,22,9,13,1,1,True
recent,TQQQ,2025-08-27,2026-08-27,2497,11,7,4,1,1,True
recent,MSFT,2025-08-27,2026-08-27,2500,10,6,4,1,1,True
recent,NFLX,2025-08-27,2026-08-27,2500,18,11,7,0,1,True
recent,YINN,2025-08-27,2026-08-27,2500,27,14,13,1,1,True
recent,SNOW,2025-08-27,2026-08-27,1494,15,10,5,3,1,True
recent,TSLA,2025-08-27,2026-08-27,2497,16,12,4,1,1,True
recent,MRNA,2025-08-27,2026-08-27,1940,15,8,7,2,1,True
recent,NVDA,2025-08-27,2026-08-27,2496,9,4,4,1,0,True
recent,GOOGL,2025-08-27,2026-08-27,2500,14,10,4,2,0,True
recent,AAOI,2025-08-27,2026-08-27,2496,25,11,14,2,1,True
full,TQQQ,2021-08-27,2026-08-27,2497,11,7,4,5,3,True
full,MSFT,2021-08-27,2026-08-27,2500,10,6,4,5,4,True
full,NFLX,2021-08-27,2026-08-27,2500,18,11,7,8,5,True
full,YINN,2021-08-27,2026-08-27,2500,27,14,13,9,7,True
full,SNOW,2021-08-27,2026-08-27,1494,15,10,5,10,5,True
full,TSLA,2021-08-27,2026-08-27,2497,16,12,4,6,3,True
full,MRNA,2021-08-27,2026-08-27,1940,15,8,7,6,5,True
full,NVDA,2021-08-27,2026-08-27,2496,9,4,4,2,2,True
full,GOOGL,2021-08-27,2026-08-27,2500,14,10,4,5,1,True
full,AAOI,2021-08-27,2026-08-27,2496,25,11,14,6,8,True
