window,symbol,setup_i,setup_date,setup_high,setup_regime,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,status,resolution_i,resolution_date,resolution_regime,wait_bars
training,TQQQ,1349,2022-01-31,29.569571123007492,bear,False,False,False,True,expired,1354,2022-02-07,bear,5
training,TQQQ,1532,2022-10-21,9.858112241697702,bear,False,False,True,False,confirmed,1533,2022-10-24,bear,1
training,TQQQ,1586,2023-01-10,8.855607986450195,bear,False,False,True,False,confirmed,1587,2023-01-11,bear,1
training,TQQQ,1772,2023-10-06,18.278077499152904,bull,False,True,False,False,confirmed,1773,2023-10-09,bull,1
training,TQQQ,1911,2024-04-26,27.31175680707246,bull,False,True,False,False,confirmed,1916,2024-05-03,bull,5
training,MSFT,1347,2022-01-24,297.1099853515625,bull,True,False,False,False,confirmed,1352,2022-01-31,bull,5
training,MSFT,1417,2022-05-04,290.8800048828125,bear,False,False,True,False,expired,1422,2022-05-11,bear,5
training,MSFT,1662,2023-04-26,299.57000732421875,bull,True,False,False,False,confirmed,1663,2023-04-27,bull,1
training,MSFT,1744,2023-08-23,329.20001220703125,bull,False,True,False,False,expired,1749,2023-08-30,bull,5
training,MSFT,1788,2023-10-25,346.20001220703125,bull,True,False,False,False,expired,1793,2023-11-01,bull,5
training,MSFT,1988,2024-08-13,414.9500122070313,bull,False,True,False,False,confirmed,1990,2024-08-15,bull,2
training,NFLX,1326,2021-12-22,61.48199844360352,bull,False,True,False,False,expired,1331,2021-12-30,bull,5
training,NFLX,1352,2022-01-31,42.77000045776367,bear,False,False,False,True,expired,1357,2022-02-07,bear,5
training,NFLX,1424,2022-05-13,18.777000427246097,bear,False,False,False,True,expired,1429,2022-05-20,bear,5
training,NFLX,1562,2022-11-30,30.826000213623047,bull,True,False,False,False,confirmed,1563,2022-12-01,bull,1
training,NFLX,1639,2023-03-23,32.27799987792969,bull,True,False,False,False,confirmed,1640,2023-03-24,bull,1
training,NFLX,1744,2023-08-23,43.70199966430664,bull,False,True,False,False,expired,1749,2023-08-30,bull,5
training,NFLX,1784,2023-10-19,40.89500045776367,bull,True,False,False,False,confirmed,1787,2023-10-24,bull,3
training,NFLX,1919,2024-05-03,58.0260009765625,bull,False,True,False,False,confirmed,1920,2024-05-06,bull,1
training,NFLX,1986,2024-08-09,63.6619987487793,bull,False,True,False,False,confirmed,1988,2024-08-13,bull,2
training,YINN,1273,2021-10-07,215.3999938964844,bear,False,False,False,True,confirmed,1274,2021-10-08,bear,1
training,YINN,1331,2021-12-30,174.60000610351562,bear,False,False,False,True,expired,1336,2022-01-06,bear,5
training,YINN,1383,2022-03-16,102.5999984741211,bear,False,False,False,True,expired,1388,2022-03-23,bear,5
training,YINN,1416,2022-05-03,86.5999984741211,bear,False,False,True,False,expired,1421,2022-05-10,bear,5
training,YINN,1495,2022-08-25,72.22000122070312,bear,False,False,True,False,expired,1500,2022-09-01,bear,5
training,YINN,1522,2022-10-04,47.40999984741211,bear,False,False,False,True,expired,1527,2022-10-11,bear,5
training,YINN,1545,2022-11-04,28.809999465942383,bear,False,False,True,True,confirmed,1546,2022-11-07,bear,1
training,YINN,1582,2022-12-29,49.900001525878906,bear,False,False,True,False,confirmed,1584,2023-01-03,bear,2
training,YINN,1690,2023-06-06,38.08000183105469,bear,False,False,True,False,confirmed,1695,2023-06-13,bear,5
training,YINN,1777,2023-10-10,29.959999084472656,bear,False,False,True,False,confirmed,1778,2023-10-11,bear,1
training,YINN,1832,2023-12-28,20.86000061035156,bear,False,False,False,True,confirmed,1833,2023-12-29,bear,1
training,YINN,1988,2024-08-13,21.31999969482422,bear,False,False,True,False,confirmed,1991,2024-08-16,bull,3
training,SNOW,306,2021-12-02,361.5989990234375,bull,True,False,False,False,confirmed,310,2021-12-08,bull,4
