window,signal,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
training,b,all,all,35,31,4,9,14,16,45.16129032258064,51.61290322580645,0.47903026955830075,-3.3712850254824622,14.980848546923667,-13.52644377663951
training,b,regime,bull,16,13,3,5,7,6,53.84615384615385,46.15384615384615,-2.230627728220384,1.062478034441483e-05,8.353091998222428,-10.984767523982592
training,b,regime,bear,19,18,1,6,7,10,38.88888888888889,55.55555555555556,2.4360054901762402,-4.263483895068665,19.76756160987456,-15.362098848002843
training,b,regime,unknown,0,0,0,0,0,0,,,,,,
training,b,symbol,AAOI,3,2,1,1,1,1,50.0,50.0,-6.395077498140678,-6.395077498140678,26.905276627756614,-18.46296701747591
training,b,symbol,GOOGL,2,2,0,1,1,1,50.0,50.0,-0.16969468121046916,-0.16969468121046916,6.315558678139043,-9.559725329584529
training,b,symbol,MRNA,1,1,0,1,0,1,0.0,100.0,-5.12000189887154,-5.12000189887154,4.951110839843742,-9.466668023003477
training,b,symbol,MSFT,3,2,1,1,1,1,50.0,50.0,1.1132469529261004,1.1132469529261004,4.523348689006468,-6.379427690479778
training,b,symbol,NFLX,5,4,1,1,3,1,75.0,25.0,3.878293998829563,3.1877655634383606,10.003567151431136,-5.293374707102711
training,b,symbol,NVDA,0,0,0,0,0,0,,,,,,
training,b,symbol,SNOW,7,7,0,1,1,5,14.285714285714285,71.42857142857143,-9.896043219869927,-6.533864320950933,11.004480978784299,-16.069737905604327
training,b,symbol,TQQQ,4,4,0,1,3,1,75.0,25.0,8.288804448942367,4.9808396110262665,18.330465085394124,-11.682459922962995
training,b,symbol,TSLA,3,3,0,1,1,2,33.33333333333333,66.66666666666666,1.6070340015565392,-5.471171227560534,19.93230184732121,-21.339483667050313
training,b,symbol,YINN,7,6,1,1,3,3,50.0,50.0,7.775966241893521,-2.849651651842955,22.300404130705143,-16.106482352849483
training,jf,all,all,25,23,2,6,13,10,56.52173913043478,43.47826086956522,4.639199585560526,8.060440166995075,19.449615998803473,-15.52476003052541
training,jf,regime,bull,0,0,0,0,0,0,,,,,,
training,jf,regime,bear,25,23,2,6,13,10,56.52173913043478,43.47826086956522,4.639199585560526,8.060440166995075,19.449615998803473,-15.52476003052541
training,jf,regime,unknown,0,0,0,0,0,0,,,,,,
training,jf,symbol,AAOI,4,4,0,1,2,2,50.0,50.0,14.82456660932354,6.467458927038683,28.234727737382265,-9.971933538389344
training,jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,
training,jf,symbol,MRNA,4,4,0,1,3,1,75.0,25.0,-0.0023366636046664446,8.713682635227261,9.652425239025709,-16.986158374564276
training,jf,symbol,MSFT,0,0,0,0,0,0,,,,,,
training,jf,symbol,NFLX,0,0,0,0,0,0,,,,,,
training,jf,symbol,NVDA,0,0,0,0,0,0,,,,,,
training,jf,symbol,SNOW,4,4,0,1,2,2,50.0,50.0,5.40666595625476,4.257474814093131,19.920760142446632,-10.307576925308183
training,jf,symbol,TQQQ,5,4,1,1,3,1,75.0,25.0,7.224282200222251,11.050225917845536,18.23063142451677,-14.018414471237971
training,jf,symbol,TSLA,1,1,0,1,1,0,100.0,0.0,25.294407141119702,25.294407141119702,28.60372555563726,-6.57291872903455
training,jf,symbol,YINN,7,6,1,1,2,4,33.33333333333333,66.66666666666666,-4.734254847001856,-5.911340259199682,19.097210707226193,-24.22670478917513
training,s,all,all,35,35,0,8,20,13,57.14285714285714,37.142857142857146,1.139174300999996,-2.076713272385322,18.15913965328397,-13.96739701934263
training,s,regime,bull,17,17,0,7,8,7,47.05882352941176,41.17647058823529,6.701660041905431,0.42604554288405705,22.088000938936556,-13.01540807447001
training,s,regime,bear,18,18,0,8,12,6,66.66666666666666,33.33333333333333,-4.114284454299582,-8.5495222771577,14.448548439056525,-14.866497689500111
training,s,regime,unknown,0,0,0,0,0,0,,,,,,
training,s,symbol,AAOI,5,5,0,1,1,4,20.0,80.0,32.18804568197316,28.820964926856508,65.8310408986546,-9.829513227372074
training,s,symbol,GOOGL,0,0,0,0,0,0,,,,,,
training,s,symbol,MRNA,2,2,0,1,2,0,100.0,0.0,-15.915818232639571,-15.915818232639571,3.420892411736165,-18.02581591110067
training,s,symbol,MSFT,0,0,0,0,0,0,,,,,,
training,s,symbol,NFLX,3,3,0,1,3,0,100.0,0.0,-6.181939948210736,-7.073552418239359,3.549594742976122,-10.21026786190649
training,s,symbol,NVDA,6,6,0,1,2,4,33.33333333333333,66.66666666666666,3.16535890885241,4.793456282085385,11.901049888439104,-10.021387563075878
training,s,symbol,SNOW,5,5,0,1,2,3,40.0,60.0,-3.1310170505467854,4.860777505132252,14.306593879413208,-15.926729141633604
training,s,symbol,TQQQ,5,5,0,1,3,1,60.0,20.0,-7.066242342506063,-0.6886585120778443,9.001014413947196,-18.84418771829403
training,s,symbol,TSLA,4,4,0,1,3,0,75.0,0.0,-8.425971205421458,-9.329770283205047,8.71315985503595,-16.298936115368626
training,s,symbol,YINN,5,5,0,1,4,1,80.0,20.0,-0.998728646223792,-9.365705456226825,13.225426820336946,-14.77004799852861
training,b,component,B_BASE_BULL,6,6,0,3,3,3,50.0,50.0,-1.3154138578735874,-2.2658611816780025,6.604019235112273,-9.30053927105124
training,b,component,B_STAGE_COMPONENT,8,6,2,4,4,2,66.66666666666666,33.33333333333333,2.0296252478994026,2.963378639013814,9.040193080101558,-8.437812516406517
training,b,component,B_BEAR_RECOVER,14,12,2,5,6,6,50.0,50.0,3.202115305576458,1.1640675203672735,19.910003179663004,-16.87652482819085
training,b,component,B_CRASH_RECOVER,8,8,0,5,2,5,25.0,62.5,4.898837020758678,-7.272040899768816,25.371827251323026,-15.129926430569475
training,b,wait_bars,1,16,16,0,6,8,7,50.0,43.75,3.801487118559612,-0.6983154657326462,15.06224414095964,-11.153750392826963
training,b,wait_bars,2,9,6,3,5,1,5,16.666666666666664,83.33333333333334,-11.150794048894737,-6.002517774255733,11.60987263926389,-18.600075584191092
training,b,wait_bars,3,4,3,1,3,2,1,66.66666666666666,33.33333333333333,3.9948177072802373,13.733913396545972,16.803778613650476,-9.889561256243962
training,b,wait_bars,4,2,2,0,1,0,2,0.0,100.0,-26.49441760109229,-26.49441760109229,8.343543443564439,-29.537284894864932
training,b,wait_bars,5,4,4,0,4,3,1,75.0,25.0,15.483822708266457,6.843222597126186,21.663185033903936,-10.129010931746288
training,b,setup_regime,bull,14,12,2,5,7,5,58.333333333333336,41.66666666666667,0.3571056950129076,0.22439754920489108,7.822106157606915,-8.869175893728878
training,b,regime_pair,bull->bull,14,12,2,5,7,5,58.333333333333336,41.66666666666667,0.3571056950129076,0.22439754920489108,7.822106157606915,-8.869175893728878
training,b,regime_pair,bull->bear,0,0,0,0,0,0,,,,,,
training,b,regime_pair,bull->unknown,0,0,0,0,0,0,,,,,,
training,b,setup_regime,bear,21,19,2,6,7,11,36.84210526315789,57.89473684210527,0.5560352640080231,-5.12000189887154,19.502159529650033,-16.467876123740965
training,b,regime_pair,bear->bull,2,1,1,1,0,1,0.0,100.0,-33.28342880701989,-33.28342880701989,14.724922085608604,-36.371867087027155
