window,scope,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
training,raw,all,all,168,164,4,8,99,53,60.36585365853659,32.31707317073171,-1.6977922957762381,-2.657613153966482,12.547418615998104,-13.248681927082337
training,raw,component,S_BLOWOFF,10,10,0,5,7,3,70.0,30.0,2.789965868935926,-13.368013337909979,39.58699396127515,-22.342129789344774
training,raw,component,S_BEAR_RALLY,25,25,0,7,17,8,68.0,32.0,-3.3782252409167755,-7.073552418239359,15.27167556609601,-13.96069850034122
training,raw,component,S_CROSS,7,7,0,4,4,3,57.14285714285714,42.857142857142854,5.654192036532163,-1.4713587630868608,12.704557505694469,-12.882178836297257
training,raw,component,S_DELAY,133,129,4,8,75,42,58.139534883720934,32.55813953488372,-1.7200152261530457,-2.076713272385322,9.923370730686335,-12.405775780151359
training,raw,regime,bull,85,82,3,8,46,28,56.09756097560976,34.146341463414636,1.2143381018602264,-1.4416658085394995,13.558721171037998,-12.89406667833938
training,raw,regime,bear,83,82,1,8,53,25,64.63414634146342,30.48780487804878,-4.609922693412702,-5.149755428233554,11.536116060958209,-13.603297175825299
training,raw,regime,unknown,0,0,0,0,0,0,,,,,,
training,raw,symbol,AAOI,20,20,0,1,11,7,55.00000000000001,35.0,6.885222880736265,-4.095813743178123,30.045656006918694,-14.620573051174585
training,raw,symbol,MRNA,15,15,0,1,15,0,100.0,0.0,-10.844676017042916,-11.399803326639768,4.926981116052058,-14.201338085848429
training,raw,symbol,NFLX,14,14,0,1,8,3,57.14285714285714,21.428571428571427,-0.904677499373593,-1.1093454258533086,5.621349427271995,-7.782633106875451
training,raw,symbol,NVDA,14,14,0,1,7,7,50.0,50.0,0.01820749417241374,-0.49296365555404065,11.996935227444538,-9.203179329572558
training,raw,symbol,SNOW,30,30,0,1,15,13,50.0,43.333333333333336,2.037324698654652,-0.5376550030673499,11.316955584470554,-9.570679565919061
training,raw,symbol,TQQQ,29,28,1,1,12,13,42.857142857142854,46.42857142857143,0.03782743023899645,1.4240830014487504,12.223618857572543,-16.572178957581603
training,raw,symbol,TSLA,17,14,3,1,8,4,57.14285714285714,28.57142857142857,-3.5467762917018506,-1.355304969004567,9.276812421229797,-13.05553588267763
training,raw,symbol,YINN,29,29,0,1,23,6,79.3103448275862,20.689655172413794,-8.744334990209438,-7.713395262665945,11.195084880521986,-17.090759636988615
