window,symbol,date,emitted,held,status,trade_id,regime,S_BLOWOFF,S_BEAR_RALLY,S_CROSS,S_DELAY,outcome_complete,outcome_date,ret20_pct,mfe20_pct,mae20_pct,win,interference
training,TQQQ,2021-12-02,True,False,ignored_flat,,bull,False,False,False,True,True,2021-12-31,3.9562339727975404,9.362489435924903,-10.937520328013195,False,False
training,TQQQ,2021-12-03,False,False,suppressed_flat,,bull,False,False,False,True,True,2022-01-03,13.639693294133126,16.196293487717316,-5.372216012206632,False,True
training,TQQQ,2021-12-06,False,False,suppressed_flat,,bull,False,False,False,True,True,2022-01-04,1.6752125279762664,8.165911364530508,-11.91198799703923,False,False
training,TQQQ,2021-12-07,False,False,suppressed_flat,,bull,False,False,False,True,True,2022-01-05,-11.042937899664096,4.22301515630259,-15.12299860227786,True,False
training,TQQQ,2021-12-14,False,False,suppressed_flat,,bull,False,False,True,True,True,2022-01-12,-1.4713587630868608,12.919461947578025,-14.752199446796066,True,False
training,TQQQ,2021-12-15,False,False,suppressed_flat,,bull,False,False,False,True,True,2022-01-13,-15.21464855998962,4.77219109441811,-20.90292766285453,True,False
training,TQQQ,2021-12-16,False,False,suppressed_flat,,bull,False,False,False,True,True,2022-01-14,-3.420019881582359,17.570371927522153,-11.241025734816755,True,False
training,TQQQ,2021-12-17,False,False,suppressed_flat,,bull,False,False,False,True,True,2022-01-18,-8.02645498845953,20.65923174773443,-8.909111454065899,True,False
training,TQQQ,2022-08-17,True,True,executed,TQQQ:2022-06-16,bear,False,True,False,False,True,2022-09-15,-32.662369225645214,1.8786924167275565,-33.84326174548185,True,False
training,TQQQ,2022-08-30,False,False,suppressed_flat,,bear,False,False,False,True,True,2022-09-28,-23.628258065960118,6.412905425873694,-29.869674944474887,True,False
training,TQQQ,2022-08-31,False,False,suppressed_flat,,bear,False,False,False,True,True,2022-09-29,-24.70458195255427,14.58642812499722,-27.54800345745445,True,False
training,TQQQ,2023-01-30,True,True,executed,TQQQ:2023-01-12,bear,False,True,False,False,True,2023-02-28,0.8660142867192855,25.113983300179775,-2.689146470557313,False,True
training,TQQQ,2023-02-03,False,False,suppressed_flat,,bear,False,True,False,False,True,2023-03-06,-5.191152683148181,7.4044288951070625,-15.694156083759392,True,False
training,TQQQ,2023-02-27,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-27,15.205782731262541,22.813268818678868,-8.8315087655632,False,True
training,TQQQ,2023-02-28,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-28,13.395229912327554,22.92461141297977,-8.748855348467632,False,True
training,TQQQ,2023-03-01,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-29,25.573114001240604,29.067912604393253,-4.1884726943199,False,True
training,TQQQ,2023-03-02,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-30,20.431354793416023,21.101906275226835,-10.533319856735035,False,True
training,TQQQ,2023-08-09,True,False,ignored_flat,,bull,False,False,False,True,True,2023-09-07,-0.6886585120778443,6.640401242939542,-13.010343792195933,True,False
training,TQQQ,2023-08-10,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-09-08,3.7663359827374565,11.094032507069151,-9.377388101600081,False,True
training,TQQQ,2023-08-11,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-09-11,7.85475133581135,11.666228165488036,-8.910631571904892,False,True
training,TQQQ,2023-08-14,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-09-12,1.1729534749212345,8.210623064953438,-11.729468487199613,False,False
training,TQQQ,2023-08-15,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-09-13,5.19011348441718,11.407992121519683,-9.121282173585342,False,True
training,TQQQ,2024-07-19,True,True,executed,TQQQ:2024-05-06,bull,False,False,True,True,True,2024-08-16,-6.802432234324085,2.009505673964207,-33.74066625522186,True,False
training,TQQQ,2024-07-22,False,False,suppressed_flat,,bull,False,False,False,True,True,2024-08-19,-3.2958025936874913,1.8988116543368072,-33.81256653492213,True,False
training,TQQQ,2024-07-24,False,False,suppressed_flat,,bull,False,False,False,True,True,2024-08-21,9.563757813071327,10.829776430416892,-25.564373398168073,False,True
training,TQQQ,2024-07-25,False,False,suppressed_flat,,bull,False,False,False,True,True,2024-08-22,5.199962102668043,12.553815762258713,-24.923087549437017,False,True
training,TQQQ,2024-07-26,False,False,suppressed_flat,,bull,False,False,False,True,True,2024-08-23,6.42825375816416,10.396844051205601,-26.361855086657858,False,True
training,TQQQ,2024-07-29,False,False,suppressed_flat,,bull,False,False,False,True,True,2024-08-26,3.2890799352078837,10.380193901987056,-26.372961256508287,False,True
training,TQQQ,2024-07-30,False,False,suppressed_flat,,bull,False,False,False,True,False,,,,,,
training,NFLX,2022-08-16,True,False,ignored_flat,,bear,False,True,False,False,True,2022-09-14,-7.073552418239359,2.197531660895935,-10.983498484512722,True,False
training,NFLX,2022-08-29,False,False,suppressed_flat,,bear,False,False,False,True,True,2022-09-27,-1.0147336915214966,10.513541787983204,-5.281039813819344,True,False
training,NFLX,2022-08-30,False,False,suppressed_flat,,bear,False,False,False,True,True,2022-09-28,8.017619531518228,10.348012971314645,-5.42291127266531,False,True
training,NFLX,2022-08-31,False,False,suppressed_flat,,bear,False,False,False,True,True,2022-09-29,8.603661310818222,13.487673137554722,-2.7319709455988272,False,True
training,NFLX,2022-09-01,False,False,suppressed_flat,,bear,False,False,False,True,True,2022-09-30,1.9088428884042052,8.423144576576536,-7.072677716623954,False,False
training,NFLX,2022-09-02,False,False,suppressed_flat,,bear,False,False,False,True,True,2022-10-03,5.962140664234861,11.03772228127995,-4.831775131214244,False,True
training,NFLX,2023-02-21,True,True,executed,NFLX:2022-12-02,bull,False,False,False,True,True,2023-03-21,-9.395554154007524,1.3066722728587887,-15.457774974681726,True,False
training,NFLX,2023-02-22,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-03-22,-11.270119207702034,0.015086958464571865,-13.85744045027777,True,False
training,NFLX,2023-07-27,True,True,executed,NFLX:2023-03-27,bull,False,False,False,True,True,2023-08-24,-2.076713272385322,7.1445802951736415,-4.189530126525021,True,False
training,NFLX,2023-07-28,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-08-25,-2.457152966396392,4.393802036079308,-6.649321903164596,True,False
training,NFLX,2023-07-31,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-08-28,-4.415025670295448,1.8016828382317884,-8.96723810228207,True,False
training,NFLX,2023-08-01,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-08-29,-1.2039571601851207,1.916227412163063,-8.519633951025707,True,False
training,NFLX,2023-08-02,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-08-30,1.6058912909335366,3.686301330774766,-6.930809343600974,False,False
training,NFLX,2023-08-03,False,False,suppressed_flat,,bull,False,False,False,True,True,2023-08-31,0.14316786359334088,2.426912422457006,-8.061241280264063,False,False
training,YINN,2022-01-21,True,True,executed,YINN:2021-12-31,bear,False,True,False,False,True,2022-02-18,-9.46547852019657,8.240527444324552,-16.369715008989605,True,False
training,YINN,2022-06-09,True,False,ignored_flat,,bear,False,True,False,False,True,2022-07-11,-11.24072721153324,13.319191041489198,-17.592792609115293,True,False
training,YINN,2022-12-07,True,True,executed,YINN:2022-11-08,bear,False,True,False,False,True,2023-01-06,25.971872208589787,26.488828364182737,-12.220843202692311,False,True
training,YINN,2023-01-17,False,True,suppressed_held,YINN:2023-01-04,bear,False,True,False,False,True,2023-02-14,-14.810737806928264,15.517520287335929,-17.920527996775213,True,False
training,YINN,2023-01-30,False,True,suppressed_held,YINN:2023-01-04,bull,True,False,False,False,True,2023-02-28,-33.75019837392561,8.437552612871446,-35.12743275274891,True,False
training,YINN,2023-02-06,False,True,suppressed_held,YINN:2023-01-04,bear,False,False,False,True,True,2023-03-07,-21.785963544723185,4.186935006798653,-28.804727997710124,True,False
training,YINN,2023-02-07,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-08,-21.95644258577638,7.05105449957566,-26.84755585974471,True,False
training,YINN,2023-02-08,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-09,-34.91263208917932,0.756049663102365,-35.450272390019975,True,False
training,YINN,2023-02-09,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-10,-29.461028823609002,2.7858751729880504,-30.972321355887377,True,False
training,YINN,2023-02-10,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-13,-28.65953007608152,2.3943400494284672,-31.23526371680485,True,False
training,YINN,2023-02-13,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-14,-24.49670758979037,2.8598242698569143,-28.673567715790927,True,False
training,YINN,2023-02-14,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-03-15,-25.60928720132194,4.448741205259865,-28.52998023662191,True,False
training,YINN,2023-06-20,True,True,executed,YINN:2023-06-14,bear,False,True,False,False,True,2023-07-19,-0.8936042517521114,12.231212190583163,-12.007821780248095,True,False
training,YINN,2023-08-10,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-09-08,-14.32960689970063,1.759779557377894,-22.54189906928844,True,False
training,YINN,2023-08-11,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-09-11,-5.258468406974015,8.229353744268186,-17.617350956796574,True,False
training,YINN,2023-08-14,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-09-12,-4.956955289458986,8.132982458166559,-17.69070741293426,True,False
training,YINN,2023-08-15,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-09-13,1.3614264865494885,18.08751978835541,-10.113454783318087,False,True
training,YINN,2023-08-16,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-09-14,-1.4470481136920732,12.161332569610895,-14.62438444256502,True,False
training,YINN,2023-08-17,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-09-15,8.754327751005597,26.05536604165688,-4.048443224005293,False,True
training,YINN,2023-08-18,False,False,suppressed_flat,,bear,False,False,False,True,True,2023-09-18,11.178568431309287,30.107143947056358,-0.9642873491559678,False,True
