window,symbol,raw,emitted,suppressed,executed,ignored_flat,pending_at_cutoff,trades,signal_exits,reconciled
training,TQQQ,29,5,24,3,2,0,8,3,True
training,MSFT,0,0,0,0,0,0,2,0,True
training,NFLX,14,3,11,2,1,0,3,2,True
training,YINN,29,5,24,3,2,0,12,3,True
training,SNOW,30,5,25,4,1,0,8,4,True
training,TSLA,17,4,13,2,2,0,4,2,True
training,MRNA,15,2,13,0,2,0,4,0,True
training,NVDA,14,6,8,0,6,0,0,0,True
training,GOOGL,0,0,0,0,0,0,2,0,True
training,AAOI,20,5,15,2,3,0,7,2,True
validation,TQQQ,5,2,3,0,2,0,1,0,True
validation,MSFT,0,0,0,0,0,0,1,0,True
validation,NFLX,3,1,2,1,0,0,2,1,True
validation,YINN,8,2,6,1,1,0,2,1,True
validation,SNOW,6,2,4,0,2,0,0,0,True
validation,TSLA,6,2,4,1,1,0,2,1,True
validation,MRNA,5,1,4,1,0,0,3,1,True
validation,NVDA,0,0,0,0,0,0,2,0,True
validation,GOOGL,0,0,0,0,0,0,1,0,True
validation,AAOI,6,2,4,0,2,0,3,0,True
recent,TQQQ,13,2,11,1,1,0,1,1,True
recent,MSFT,8,1,7,1,0,0,2,1,True
recent,NFLX,7,1,6,1,0,0,2,1,True
recent,YINN,4,2,2,0,2,0,1,0,True
recent,SNOW,4,1,3,0,1,0,3,0,True
recent,TSLA,11,2,9,1,1,0,1,1,True
recent,MRNA,8,2,6,0,2,0,1,0,True
recent,NVDA,2,1,1,1,0,0,1,1,True
recent,GOOGL,6,2,4,1,1,0,2,1,True
recent,AAOI,10,2,8,2,0,0,3,2,True
full,TQQQ,47,9,38,4,5,0,10,4,True
full,MSFT,8,1,7,1,0,0,4,1,True
full,NFLX,24,5,19,4,1,0,6,4,True
full,YINN,41,9,32,6,3,0,15,6,True
full,SNOW,40,8,32,4,4,0,11,4,True
full,TSLA,34,8,26,4,4,0,7,4,True
full,MRNA,28,5,23,1,4,0,8,1,True
full,NVDA,16,7,9,1,6,0,3,1,True
full,GOOGL,6,2,4,1,1,0,5,1,True
full,AAOI,36,9,27,5,4,0,13,5,True
