window,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,profit_to_loss,mean_peak_close_gain_pct,mean_giveback_pp,median_giveback_pp,max_giveback_pp,raw_s_count,emitted_s_count,suppressed_s_count
training,all,all,50,9,24,48.0,6.645423285558796,-0.4967422602022542,-34.38185233852087,21,26.05285484695974,19.193820351444412,21.22257936245282,38.34997972871126,19,16,3
training,exit_reason,signal,16,6,14,87.5,31.612698583927322,21.183427605214646,-7.5571202234804735,2,43.128035003559695,11.251715657259124,10.173965601222168,28.531053279413896,16,16,0
training,exit_reason,trail,28,8,4,14.285714285714285,-12.419979845098359,-14.42998412481034,-34.38185233852087,19,13.80396086758069,26.048517581550275,24.605670639793807,38.34997972871126,3,0,3
training,exit_reason,terminal,6,6,6,100.0,29.037903766309437,22.599240431364453,11.76681414720866,0,37.68054633312875,8.384179128777811,5.743050225625177,17.785600995803975,0,0,0
training,entry_kind,B,25,8,14,56.00000000000001,7.3765837959599425,8.481864091411184,-26.9742832525411,8,23.767659188841805,16.17599966549469,18.02896387355375,31.978616072767274,14,11,3
training,entry_kind,JF,25,6,10,40.0,5.914262775157648,-3.1678067374243724,-34.38185233852087,13,28.33805050507767,22.21164103739413,24.43324390935122,38.34997972871126,5,5,0
training,entry_kind,B+JF,0,0,0,,,,,0,,,,,0,0,0
training,entry_component,B_BASE_BULL,6,3,4,66.66666666666666,15.626342870623466,17.54871400257827,-21.59643001259398,2,31.32830866622578,15.47036576774826,18.36158223002721,23.050160177711977,2,2,0
training,entry_component,B_STAGE_COMPONENT,5,3,3,60.0,4.222049592871786,16.370420922658813,-23.185264576067965,1,22.253539650090026,17.82273287447378,19.71983583265369,20.88264402279184,2,2,0
training,entry_component,B_BEAR_RECOVER,10,5,6,60.0,7.37697240715722,6.71963621568027,-26.593404828411128,2,20.604899016131284,13.01285010319711,13.915178729605648,27.32743119771501,9,6,3
training,entry_component,B_CRASH_RECOVER,5,4,2,40.0,12.91769767599049,-5.003121316486691,-26.9742832525411,3,31.191269825752393,18.047397549080834,21.250471160089546,31.978616072767274,2,2,0
