window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,valid_risk,median_risk_pct,median_entry_gap_pct,ever_net_positive,returned_to_be,trail_covers_be,net_profit_to_loss,terminal,median_peak_close_gain_pct,median_giveback_pp
full,all,all,all,82,10,44,53.65853658536586,15.690496112805176,2.54671151694289,-34.38185233852087,,,,,,,,,,
full,B,all,all,42,10,25,59.523809523809526,16.928173391506157,3.6450780127737503,-27.047831583052417,,,,,,,,,,
full,JF,all,all,40,9,19,47.5,14.390934970169138,-0.4967422602022542,-34.38185233852087,40.0,11.071931571698286,0.2994408312335217,38.0,27.0,19.0,19.0,3.0,22.954241278816454,24.637338239720318
full,JF,exit_reason,signal,10,5,10,100.0,55.809682055484565,48.48237231317256,6.437643816955396,10.0,10.450028973175773,0.30229747185657185,10.0,3.0,8.0,0.0,0.0,61.94788819764565,12.74334450945944
full,JF,exit_reason,trail,27,7,6,22.22222222222222,-6.429193961999539,-9.627677945506463,-34.38185233852087,27.0,12.53778261320885,0.1818658852415611,25.0,23.0,9.0,19.0,0.0,15.906579767180485,26.428567795526448
full,JF,exit_reason,terminal,3,3,3,100.0,63.7096050753025,33.52328016515871,16.628215077769703,3.0,7.4966855080711925,1.2145745675176345,3.0,1.0,2.0,0.0,3.0,34.05562849234271,3.4982538491200117
full,JF,risk_status,valid,40,9,19,47.5,14.390934970169138,-0.4967422602022542,-34.38185233852087,40.0,11.071931571698286,0.2994408312335217,38.0,27.0,19.0,19.0,3.0,22.954241278816454,24.637338239720318
full,JF,risk_status,nonpositive,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
full,JF,risk_status,invalid,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
full,JF,outcome,win,19,9,19,100.0,45.240851031464715,32.27609989487663,3.7543327154057726,19.0,11.10043020290762,0.9511456841576837,19.0,8.0,16.0,0.0,3.0,41.5481363736643,19.020972603766047
full,JF,outcome,nonpositive,21,6,0,0.0,-13.520893847193523,-12.0011368775506,-34.38185233852087,21.0,11.04343294048895,0.0,19.0,19.0,3.0,19.0,0.0,11.929882951640703,25.571277539367962
full,JF,be_path,never_positive,2,2,0,0.0,-28.553713675414592,-28.553713675414592,-34.38185233852087,2.0,10.897772523180736,0.44384470359918327,0.0,0.0,0.0,0.0,0.0,-0.7161279914513985,27.694478486312242
full,JF,be_path,positive_no_return,11,5,11,100.0,37.842656168800296,33.52328016515871,3.7543327154057726,11.0,9.976240143628342,0.6045949437131437,11.0,0.0,9.0,0.0,2.0,34.52380952380953,12.800483072738757
full,JF,be_path,returned,27,7,8,29.629629629629626,8.017615122251534,-8.84758457047602,-26.410032710845943,27.0,11.497728668021951,0.1818658852415611,27.0,27.0,10.0,19.0,1.0,16.124615716878353,25.571277539367962
full,JF,trail_covers_be,false,21,7,3,14.285714285714285,-11.734935713839638,-12.0011368775506,-34.38185233852087,21.0,11.04343294048895,-0.3200266799012752,19.0,17.0,0.0,16.0,1.0,11.929882951640703,24.30256378956326
full,JF,trail_covers_be,true,19,9,16,84.21052631578947,43.266897305126214,32.27609989487663,-4.459071666167269,19.0,11.10043020290762,0.9511456841576837,19.0,10.0,19.0,3.0,2.0,41.5481363736643,26.428567795526448
full,JF,symbol,AAOI,8,1,4,50.0,26.459252542442616,1.7772163577028877,-25.39859610915135,8.0,10.49207383963337,0.20850788861274117,8.0,5.0,5.0,4.0,0.0,29.06499127308474,27.08391474339902
full,JF,symbol,GOOGL,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
full,JF,symbol,MRNA,6,1,1,16.666666666666664,-7.418448847370704,-11.572298901988276,-22.72557501230831,6.0,9.73205754414337,-0.9382946483484089,5.0,5.0,2.0,4.0,0.0,16.161775383004805,27.119439869130808
full,JF,symbol,MSFT,1,1,1,100.0,33.52328016515871,33.52328016515871,33.52328016515871,1.0,7.4966855080711925,1.2145745675176345,1.0,0.0,1.0,0.0,1.0,34.05562849234271,0.2649006622516623
full,JF,symbol,NFLX,2,1,2,100.0,16.57481672567573,16.57481672567573,16.521418373581763,2.0,7.293064889334137,-0.15455334852191305,2.0,0.0,1.0,0.0,1.0,24.957685011389472,8.149368460929384
full,JF,symbol,NVDA,1,1,1,100.0,60.55824726413286,60.55824726413286,60.55824726413286,1.0,16.559088487851405,6.319122969581681,1.0,1.0,1.0,0.0,0.0,99.466402539966,38.586556463526335
full,JF,symbol,SNOW,6,1,3,50.0,23.530032755871062,2.909449490855148,-25.89098544678904,6.0,13.27619329295523,0.8670985176769119,6.0,6.0,2.0,3.0,1.0,18.363816680442426,14.754759554733791
full,JF,symbol,TQQQ,6,1,2,33.33333333333333,4.733401908797794,-6.645514450422041,-18.423402686815884,6.0,14.413403090511625,0.9194733092701801,6.0,5.0,2.0,4.0,0.0,17.510064861241602,22.723505348089567
full,JF,symbol,TSLA,2,1,1,50.0,0.5958535523204525,0.5958535523204525,-9.627677945506463,2.0,13.01790278421206,0.5363062393899942,2.0,2.0,1.0,1.0,0.0,28.836376045271326,28.039028595398584
full,JF,symbol,YINN,8,1,4,50.0,13.808824447268968,0.9892860753940638,-34.38185233852087,8.0,9.461427650896194,-1.9671900668165765,7.0,3.0,4.0,3.0,0.0,21.926227755621632,29.824711985593847
