window,symbol,trade_id,entry_date,entry_signal_date,entry_open,entry_b,entry_jf,setup_date,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,exit_date,exit_signal_date,exit_reason,exit_price,return_pct,hold_bars,peak_close,peak_close_date,peak_close_gain_pct,exit_gross_pct,giveback_pp,peak_to_exit_drawdown_pct,profit_to_loss,S_BLOWOFF,S_BEAR_RALLY,S_CROSS,S_DELAY,exit_raw_s,exit_s_suppressed,raw_s_count,emitted_s_count,suppressed_s_count,entry_kind,risk_status,observation_state,first_net_positive_date,first_return_to_be_date,first_trail_covers_be_date,post_return_peak_date,signal_close,signal_high,base_low3,risk_r,risk_pct,entry_gap_pct,break_even,post_return_peak_close,post_return_bars,net_profit_to_loss
full,TQQQ,TQQQ:2022-01-25,2022-01-25,2022-01-24,25.80071632125625,False,True,,False,False,False,False,2022-02-22,2022-02-18,trail,23.36596479330555,-9.61779533821755,19,30.732149124145508,2022-02-02,19.113549955302723,-9.436759420298724,28.550309375601447,23.968985381020826,True,False,False,False,False,False,False,0,0,0,JF,valid,closed,2022-01-28,2022-02-11,,2022-02-15,27.392108917236328,27.515989629252445,22.951431516152528,2.8492848051037214,11.04343294048895,-5.80967533674891,25.852395259379747,27.301586151123047,5,True
full,TQQQ,TQQQ:2022-02-25,2022-02-25,2022-02-24,23.823372387867483,False,True,,False,False,False,False,2022-03-15,2022-03-14,trail,19.47322353311365,-18.423402686815884,12,24.9954833984375,2022-02-28,4.920004571506165,-18.2600044356828,23.180009007188964,22.093030878006758,True,False,False,False,False,False,False,0,0,0,JF,valid,closed,2022-02-25,2022-03-01,,2022-03-02,23.61372947692871,23.751903667774993,19.349345074626108,4.4740273132413755,18.779991515894118,0.8878009343826765,23.87109069817313,24.981185913085938,9,True
full,TQQQ,TQQQ:2022-06-16,2022-06-16,2022-06-15,10.953987668645077,False,True,,False,False,False,False,2022-08-18,2022-08-17,signal,17.753175708393893,61.74645842324886,43,18.529821395874023,2022-08-15,69.16050991105432,62.070437227266154,7.090072683788165,4.191328512497494,False,False,True,False,False,True,False,1,1,0,JF,valid,closed,2022-06-21,,2022-07-20,,11.864039421081545,12.350036442198917,10.730048797615089,0.2239388710299881,2.0443593493444894,-7.670673706793085,10.975928549816159,,,False
full,TQQQ,TQQQ:2022-10-14,2022-10-14,2022-10-13,9.4578795644804,False,True,,False,False,False,False,2022-11-04,2022-11-03,trail,8.63835374056662,-8.84758457047602,15,10.744339942932127,2022-10-25,13.60199577168546,-8.665005917304713,22.26700168899017,19.60088952463639,True,False,False,False,False,False,False,0,0,0,JF,valid,closed,2022-10-21,2022-11-02,,2022-11-03,9.200587272644045,9.348292853611769,7.7759495408886306,1.6819300235917698,17.783373240534303,2.7964768357924052,9.476823735126919,8.171415328979492,1,True
full,TQQQ,TQQQ:2023-01-12,2023-01-12,2023-01-11,9.348915741982776,True,False,2023-01-10,False,False,True,False,2023-01-31,2023-01-30,signal,10.50795003748145,12.172843726286352,12,11.17367935180664,2023-01-27,19.51845176686615,12.397526381523027,7.1209253853431225,5.958013411379581,False,False,True,False,False,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,TQQQ,TQQQ:2023-10-10,2023-10-10,2023-10-09,18.433263727541377,True,False,2023-10-06,False,True,False,False,2023-10-27,2023-10-26,trail,15.314984069850167,-17.082673786856507,13,19.078258514404297,2023-10-11,3.499080772653551,-16.916590050367198,20.415670823020747,19.725461009519375,True,False,False,False,False,False,False,0,0,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,TQQQ,TQQQ:2024-05-06,2024-05-06,2024-05-03,28.06947194188976,True,False,2024-04-26,False,True,False,False,2024-07-22,2024-07-19,signal,36.141114927345455,28.498565677603448,52,41.676368713378906,2024-07-10,48.47578465194693,28.75594881929324,19.71983583265369,13.281516497037149,False,False,False,True,True,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,TQQQ,TQQQ:2024-08-06,2024-08-06,2024-08-05,26.562371631652507,False,True,,False,False,False,False,2024-09-09,2024-09-06,trail,28.741143977393293,7.986179955415418,23,35.248016357421875,2024-08-21,32.69905581555563,8.20247670635139,24.49657910920424,18.460251249453606,False,False,False,False,False,False,False,0,0,0,JF,valid,closed,2024-08-06,2024-08-07,2024-08-15,2024-08-21,26.312105178833008,27.573241016707343,23.946861958793654,2.6155096728588525,9.84667223668437,0.9511456841576837,26.615576168413163,35.248016357421875,21,False
full,TQQQ,TQQQ:2025-04-08,2025-04-08,2025-04-07,22.485656201619356,False,True,,False,False,False,False,2025-04-22,2025-04-21,trail,21.529556168763804,-4.443444330368063,9,26.062355041503903,2025-04-09,15.906579767180485,-4.252044166657221,20.158623933837706,17.392130778364756,True,False,False,False,False,False,False,0,0,0,JF,valid,closed,2025-04-09,2025-04-16,,2025-04-17,20.434749603271484,23.19901482032358,17.338575420957625,5.147080780661732,22.89050732836097,10.036367649053712,22.530695061046387,22.371713638305664,2,True
full,TQQQ,TQQQ:2026-04-10,2026-04-10,2026-04-09,49.24661095122487,True,False,2026-04-08,False,False,True,False,2026-06-10,2026-06-09,signal,71.5153377892768,44.928508277909906,42,87.01964569091797,2026-06-02,76.7017953318747,45.21880066043011,31.482994671444594,17.81702025851769,False,False,False,True,True,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,MSFT,MSFT:2022-02-01,2022-02-01,2022-01-31,310.4100036621094,True,False,2022-01-24,True,False,False,False,2022-06-14,2022-06-13,trail,243.86000061035156,-21.59643001259398,92,315.4100036621094,2022-03-29,1.6107728298095259,-21.43938734790245,23.050160177711977,22.684760223524016,True,False,False,False,False,False,False,0,0,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,MSFT,MSFT:2023-04-28,2023-04-28,2023-04-27,304.010009765625,True,False,2023-04-26,True,False,False,False,2025-04-04,2025-04-03,trail,364.1300048828125,19.536231482382703,485,467.55999755859375,2024-07-05,53.7975667048124,19.77566303278524,34.02190367202716,22.121223632442934,False,False,False,False,False,False,False,0,0,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,MSFT,MSFT:2026-04-15,2026-04-15,2026-04-14,398.0,True,False,2026-04-13,False,False,True,False,2026-06-10,2026-06-09,signal,398.5499877929687,-0.06198834990690516,39,460.5199890136719,2026-06-01,15.708539953183887,0.13818788768058532,15.570352065503302,13.456527989898703,True,False,False,True,True,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,MSFT,MSFT:2026-06-29,2026-06-29,2026-06-26,377.5,False,True,,False,False,False,False,2026-08-27,,terminal,505.05999755859375,33.52328016515871,43,506.05999755859375,2026-08-10,34.05562849234271,33.79072783009105,0.2649006622516623,0.19760502802520508,False,False,False,False,False,,,0,0,0,JF,valid,open,2026-07-01,,2026-08-03,,372.9700012207031,376.6099853515625,349.20001220703125,28.29998779296875,7.4966855080711925,1.2145745675176345,378.25613401188974,,,False
full,NFLX,NFLX:2022-12-02,2022-12-02,2022-12-01,31.048999786376953,True,False,2022-11-30,True,False,False,False,2023-02-22,2023-02-21,signal,33.75,8.481864091411184,54,36.79600143432617,2023-01-25,18.509458235336695,8.699153699656815,9.81030453567988,8.278077279029084,False,False,False,False,True,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,NFLX,NFLX:2023-03-27,2023-03-27,2023-03-24,32.755001068115234,True,False,2023-03-23,True,False,False,False,2023-07-28,2023-07-27,signal,41.555999755859375,26.615563913745355,85,47.75899887084961,2023-07-19,45.80673885961111,26.869175395360667,18.93756346425044,12.98812634612474,False,False,False,False,True,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,NFLX,NFLX:2023-10-25,2023-10-25,2023-10-24,41.60200119018555,True,False,2023-10-19,True,False,False,False,2025-01-03,2025-01-02,signal,89.31300354003906,114.25523844028564,299,93.65599822998048,2024-12-11,125.12378143019514,114.68439254097507,10.43938888922007,4.637177299927786,False,False,False,False,True,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,NFLX,NFLX:2025-03-25,2025-03-25,2025-03-24,97.81800079345705,True,False,2025-03-17,False,True,False,False,2025-11-21,2025-11-20,trail,105.12999725341795,7.260260420213327,168,133.91299438476562,2025-06-30,36.90015467349741,7.475103151412998,29.425051522084413,21.493804438908228,False,False,False,False,False,False,False,0,0,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,NFLX,NFLX:2026-02-26,2026-02-26,2026-02-25,83.19999694824219,False,True,,False,False,False,False,2026-04-20,2026-04-17,signal,97.13999938964844,16.521418373581763,36,107.79000091552734,2026-04-16,29.555294313991777,16.75481124125302,12.800483072738757,9.880324181669764,False,False,True,False,False,True,False,1,1,0,JF,valid,closed,2026-02-26,,2026-04-14,,82.69999694824219,83.12000274658203,75.01000213623047,8.189994812011719,9.843744125503544,0.6045949437131437,83.366646875346,,,False
full,NFLX,NFLX:2026-07-20,2026-07-20,2026-07-17,68.31999969482422,False,True,,False,False,False,False,2026-08-27,,terminal,79.83999633789062,16.628215077769703,29,82.2300033569336,2026-08-25,20.36007570878717,16.86182185966716,3.4982538491200117,2.906490236500092,False,False,False,False,False,,,0,0,0,JF,valid,open,2026-07-21,,,,68.94999694824219,69.48999786376953,65.08000183105469,3.2399978637695312,4.74238565316473,-0.9137016407569698,68.45684492783496,,,False
full,YINN,YINN:2021-09-23,2021-09-23,2021-09-22,206.1999969482422,False,True,,False,False,False,False,2021-11-29,2021-11-26,trail,197.3999938964844,-4.459071666167269,46,259.3999938964844,2021-10-25,25.800192888264583,-4.267702804072615,30.067895692337196,23.901311279421833,True,False,False,False,False,False,False,0,0,0,JF,valid,closed,2021-09-23,2021-09-24,2021-10-25,2021-10-25,212.6000061035156,218.6000061035156,188.6000061035156,17.59999084472659,8.535398208150472,-3.0103522914092573,206.61301636796173,259.3999938964844,44,True
full,YINN,YINN:2021-12-31,2021-12-31,2021-12-30,168.39999389648438,False,True,,False,False,False,False,2022-01-24,2022-01-21,signal,179.60000610351562,6.437643816955396,15,198.8000030517578,2022-01-20,18.052262622978677,6.650838843804174,11.401423779174504,9.657946002769147,False,False,True,False,False,True,False,1,1,0,JF,valid,closed,2022-01-11,,,,172.0,174.60000610351562,151.60000610351562,16.79998779296875,9.976240143628342,-2.0930268043695466,168.73729975870202,,,False
full,YINN,YINN:2022-02-25,2022-02-25,2022-02-24,138.60000610351562,False,True,,False,False,False,False,2022-03-08,2022-03-07,trail,102.1999969482422,-26.410032710845943,7,143.1999969482422,2022-02-25,3.318896567212981,-26.262631711637518,29.5815282788505,28.631285526366955,True,False,False,False,False,False,False,0,0,0,JF,valid,closed,2022-02-25,2022-02-28,,2022-03-01,141.1999969482422,141.60000610351562,126.1999969482422,12.400009155273423,8.946615158164047,-1.8413533292636064,138.8776224708348,137.8000030517578,5,True
full,YINN,YINN:2022-03-16,2022-03-16,2022-03-15,84.0,False,True,,False,False,False,False,2022-04-12,2022-04-11,trail,90.8000030517578,7.8791593400682425,19,113.0,2022-04-04,34.52380952380953,8.095241728283087,26.428567795526448,19.64601499844443,False,False,False,False,False,False,False,0,0,0,JF,valid,closed,2022-03-16,,2022-04-04,,62.20000076293945,65.0,56.0,28.0,33.33333333333333,35.0482298547649,84.16825233642051,,,False
full,YINN,YINN:2022-08-12,2022-08-12,2022-08-11,64.45999908447266,False,True,,False,False,False,False,2022-09-07,2022-09-06,trail,57.220001220703125,-11.409216181607517,17,72.1500015258789,2022-08-25,11.929882951640703,-11.231768486812665,23.16165143845337,20.69300067834463,True,False,False,False,False,False,False,0,0,0,JF,valid,closed,2022-08-12,2022-08-17,,2022-08-25,66.83000183105469,70.31999969482422,60.84000015258789,3.6199989318847656,5.615884243406332,-3.5463155493746124,64.58911272080154,72.1500015258789,13,True
full,YINN,YINN:2022-10-14,2022-10-14,2022-10-13,35.619998931884766,False,True,,False,False,False,False,2022-10-25,2022-10-24,trail,23.420000076293945,-34.38185233852087,7,35.599998474121094,2022-10-17,-0.056149518145465205,-34.25041892595385,34.194269407808385,34.21348011203209,False,False,False,False,False,False,False,0,0,0,JF,valid,closed,,,,,34.189998626708984,34.939998626708984,31.1299991607666,4.489999771118164,12.605277669166354,4.182510566287867,35.69134593240364,,,False
full,YINN,YINN:2022-11-08,2022-11-08,2022-11-07,28.59000015258789,True,False,2022-11-04,False,False,True,True,2022-12-08,2022-12-07,signal,48.36000061035156,68.81192274062582,21,47.7599983215332,2022-12-06,67.05140981683448,69.15005369796805,-2.098643881133569,-1.256286243519078,False,False,True,False,False,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
full,YINN,YINN:2023-01-04,2023-01-04,2023-01-03,56.5,True,False,2022-12-29,False,False,True,False,2023-02-07,2023-02-06,trail,57.560001373291016,1.6724582841518787,23,73.0,2023-01-26,29.20353982300885,1.8761086252938375,27.32743119771501,21.15068305028628,False,False,False,False,False,True,True,3,0,3,B,not_applicable,closed,,,,,,,,,,,,,,
full,YINN,YINN:2023-06-14,2023-06-14,2023-06-13,38.65999984741211,True,False,2023-06-06,False,False,True,False,2023-06-21,2023-06-20,signal,35.810001373291016,-7.5571202234804735,4,42.779998779296875,2023-06-15,10.657007108499927,-7.371956765053822,18.02896387355375,16.292654522886394,True,False,True,False,False,True,False,1,1,0,B,not_applicable,closed,,,,,,,,,,,,,,
