window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,valid_risk,median_risk_pct,median_entry_gap_pct,ever_net_positive,returned_to_be,trail_covers_be,net_profit_to_loss,terminal,median_peak_close_gain_pct,median_giveback_pp
training,all,all,all,50,9,24,48.0,6.645423285558796,-0.4967422602022542,-34.38185233852087,,,,,,,,,,
training,B,all,all,25,8,14,56.00000000000001,7.3765837959599425,8.481864091411184,-26.9742832525411,,,,,,,,,,
training,JF,all,all,25,6,10,40.0,5.914262775157648,-3.1678067374243724,-34.38185233852087,25.0,9.976240143628342,-0.3200266799012752,23.0,19.0,10.0,13.0,2.0,19.113549955302723,24.43324390935122
training,JF,exit_reason,signal,5,4,5,100.0,54.3593384473298,32.27609989487663,6.437643816955396,5.0,9.976240143628342,-0.8036075626407624,5.0,3.0,3.0,0.0,0.0,33.58092577422396,7.090072683788165
training,JF,exit_reason,trail,18,6,3,16.666666666666664,-9.396589095579817,-10.513505759912533,-34.38185233852087,18.0,10.658640325790284,-0.1600133399506376,16.0,15.0,6.0,13.0,0.0,12.765939361663081,26.401093953551214
training,JF,exit_reason,terminal,2,2,2,100.0,22.599240431364453,22.599240431364453,18.97800480303782,2.0,5.299072554077689,-1.9989200197176982,2.0,1.0,1.0,0.0,2.0,28.58785742658435,5.743050225625177
training,JF,risk_status,valid,25,6,10,40.0,5.914262775157648,-3.1678067374243724,-34.38185233852087,25.0,9.976240143628342,-0.3200266799012752,23.0,19.0,10.0,13.0,2.0,19.113549955302723,24.43324390935122
training,JF,risk_status,nonpositive,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
training,JF,risk_status,invalid,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
training,JF,outcome,win,10,6,10,100.0,35.504694698150026,19.16561714747227,6.437643816955396,10.0,10.450028973175773,0.43375333109104686,10.0,6.0,7.0,0.0,2.0,34.052367649016745,9.245748231481334
training,JF,outcome,nonpositive,15,5,0,0.0,-13.8126918401706,-12.0011368775506,-34.38185233852087,15.0,9.883717476359118,-1.243779914266574,13.0,13.0,3.0,13.0,0.0,11.490729796542198,24.778097370236395
training,JF,be_path,never_positive,2,2,0,0.0,-28.553713675414592,-28.553713675414592,-34.38185233852087,2.0,10.897772523180736,0.44384470359918327,0.0,0.0,0.0,0.0,0.0,-0.7161279914513985,27.694478486312242
training,JF,be_path,positive_no_return,4,2,4,100.0,23.76031659582758,13.42858207155303,6.437643816955396,4.0,6.010299746486416,-3.521006263981313,4.0,0.0,2.0,0.0,1.0,29.5002342807113,9.245748231481334
training,JF,be_path,returned,19,6,6,31.57894736842105,5.785406860340002,-4.459071666167269,-26.410032710845943,19.0,10.27384771109162,0.0,19.0,19.0,8.0,13.0,1.0,19.113549955302723,24.778097370236395
training,JF,trail_covers_be,false,15,5,3,20.0,-11.155697805123959,-12.0011368775506,-34.38185233852087,15.0,10.27384771109162,-1.243779914266574,13.0,11.0,0.0,10.0,1.0,11.490729796542198,23.315604598822567
training,JF,trail_covers_be,true,10,6,7,70.0,31.519203645580056,15.086307271027044,-4.459071666167269,10.0,9.725594844799023,0.43375333109104686,10.0,8.0,10.0,3.0,1.0,34.052367649016745,27.479810537470172
training,JF,symbol,AAOI,4,1,1,25.0,31.1491576649137,-7.364389915323566,-25.39859610915135,4.0,9.084373483623914,0.0,4.0,4.0,2.0,3.0,0.0,18.22459159314581,27.45233669549494
training,JF,symbol,GOOGL,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
training,JF,symbol,MRNA,4,1,1,25.0,-5.341523820061918,-8.996874879923045,-22.72557501230831,4.0,9.73205754414337,-1.3180334938309668,3.0,3.0,2.0,2.0,0.0,18.304844613291337,27.119439869130808
training,JF,symbol,MSFT,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
training,JF,symbol,NFLX,0,0,0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,
training,JF,symbol,SNOW,4,1,2,50.0,6.523465499759082,2.909449490855148,-12.0011368775506,4.0,14.051062362501316,0.03154140526548388,4.0,4.0,1.0,2.0,0.0,18.363816680442426,14.754759554733791
training,JF,symbol,TQQQ,5,1,2,40.0,10.215630377486098,-8.84758457047602,-18.423402686815884,5.0,11.04343294048895,0.8878009343826765,5.0,4.0,2.0,3.0,1.0,19.113549955302723,22.26700168899017
training,JF,symbol,TSLA,1,1,1,100.0,10.819385050147368,10.819385050147368,10.819385050147368,1.0,13.49802295521527,1.0564858531552535,1.0,1.0,1.0,0.0,0.0,41.5481363736643,30.506779651429202
training,JF,symbol,YINN,7,1,3,42.857142857142854,-6.195052133868592,-4.459071666167269,-34.38185233852087,7.0,8.946615158164047,-2.0930268043695466,6.0,3.0,2.0,3.0,1.0,18.052262622978677,26.428567795526448
