window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
recent,all,all,all,17,10,11,64.70588235294117,20.83474422554694,16.521418373581742,-27.047831583052417,1.260025617083734,11.765162075722532,8,5,6,1,0.0,-10.594673041978076,-18.124246853248614,7
recent,all,exit_reason,signal,8,7,6,75.0,22.947182659245268,17.88152500741751,-8.078611631424504,2.1597834139429426,9.73182893800438,4,1,4,1,0.43417755090691124,-10.594673041978076,-10.445012473877725,2
recent,all,exit_reason,trail,5,4,2,40.0,-0.6435485440404726,-10.97577608363295,-27.047831583052417,-5.887157242856662,-4.975026863511393,4,3,2,0,0.14821208935780206,-7.6089572364432705,-18.124246853248614,1
recent,all,exit_reason,terminal,4,4,3,75.0,43.45773332013456,25.110283949290555,-7.306408976023448,9.176469683630831,13.306559507015582,0,1,0,0,0.0,-5.25056798357959,-7.841564100202936,4
recent,all,outcome,win,11,8,11,100.0,39.41384126410248,31.225894436277656,3.2947802138015625,7.350911621364883,14.847956938308629,3,1,3,0,0.0,-10.594673041978076,-18.124246853248614,5
recent,all,outcome,nonpositive,6,5,0,0.0,-13.22693367847154,-9.527193857528726,-27.047831583052417,-6.552526781446312,-4.621512046696954,5,4,3,1,-0.3052016022177808,-7.6089572364432705,-12.045227718769013,2
recent,all,profit_to_loss,false,12,8,11,91.66666666666666,33.875368526839566,25.233763038765467,-27.047831583052417,6.588352071212712,14.055068972825483,4,2,4,0,0.0,-10.594673041978076,-18.124246853248614,5
recent,all,profit_to_loss,true,5,5,0,0.0,-10.462754097555365,-8.078611631424504,-25.89098544678904,-7.6275314916215375,-0.5960132881499299,4,3,2,1,0.0,-7.6089572364432705,-12.045227718769013,2
recent,all,symbol,AAOI,3,1,3,100.0,33.41984161338222,35.44300100700386,3.2947802138015625,8.416792780298014,6.201476868666425,1,1,0,0,4.426700243828115,-6.174336740313569,-18.124246853248614,2
recent,all,symbol,GOOGL,2,1,1,50.0,5.967611332614915,5.967611332614915,-7.306408976023448,2.8980606583225628,2.3075851010491792,0,1,1,0,-1.5905821538266025,-2.598506497908193,-5.4546887519867475,1
recent,all,symbol,MRNA,1,1,1,100.0,57.40207017947048,57.40207017947048,57.40207017947048,-5.887157242856662,51.450587535178805,1,0,0,0,1.1849164048779883,-3.9676088290055866,-8.5480576170609,0
recent,all,symbol,MSFT,2,1,1,50.0,15.581953043185386,15.581953043185386,-0.061988349906882956,3.524812387465016,10.231785752834188,1,0,1,1,-0.6093342584696237,-3.2158493547745803,-2.902996195844343,1
