window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,pressure_trades,pressure_winners,recovered_trades,recovery_censored_trades,recovery_rate_pct,return_trades,return_censored_trades,final_negative_intraday_trades,final_negative_intraday_winners,median_first_pressure_bar,median_max_pressure_streak,median_recovery_bars
full,all,all,all,82,10,44,53.65853658536586,15.573111044987561,2.54671151694289,72,37,58,14,80.55555555555556,55,15,39,10,1.0,7.0,2.5
full,all,exit_reason,signal,31,10,27,87.09677419354838,45.762196386267064,26.615563913745355,25,22,23,2,92.0,19,4,7,4,1.0,7.0,3.0
full,all,exit_reason,trail,47,10,14,29.78723404255319,-6.7119982035284504,-9.80913675287911,43,12,32,11,74.4186046511628,32,10,31,6,1.0,7.0,2.5
full,all,exit_reason,terminal,4,4,3,75.0,43.45773332013456,25.110283949290555,4,3,3,1,75.0,4,1,1,0,1.0,3.0,1.0
full,all,outcome,win,44,10,44,100.0,41.542987269085835,19.44473048714471,37,37,36,1,97.2972972972973,28,2,10,10,1.0,6.0,3.0
full,all,outcome,nonpositive,38,9,0,0.0,-14.497271951336751,-13.488574356481115,35,0,22,13,62.857142857142854,27,13,29,0,1.0,7.0,2.0
full,all,first_pressure,none,10,6,7,70.0,48.83890689984413,12.200288856825003,0,0,0,0,,0,0,0,0,,,
full,all,first_pressure,before_net_positive,46,10,24,52.17391304347826,10.253085255328944,1.7437695455168045,46,24,39,7,84.78260869565217,29,8,25,7,1.0,7.0,3.0
full,all,first_pressure,after_net_positive,26,9,13,50.0,12.190927497900283,-0.0572810199242324,26,13,19,7,73.07692307692307,26,7,14,3,3.5,5.5,2.0
full,all,recovery,no_pressure,10,6,7,70.0,48.83890689984413,12.200288856825003,0,0,0,0,,0,0,0,0,,,
full,all,recovery,recovered,58,10,36,62.06896551724138,17.75619720339626,7.035437939165179,58,36,58,0,100.0,48,8,25,9,1.0,6.0,2.5
full,all,recovery,censored,14,8,1,7.142857142857142,-17.232385793317455,-20.574488849562094,14,1,0,14,0.0,7,7,14,1,1.5,9.0,
full,all,return_recovery,no_return,27,10,16,59.25925925925925,18.853185458602134,3.7543327154057726,17,9,10,7,58.82352941176471,0,0,7,1,1.0,7.0,4.0
full,all,return_recovery,recovered,40,10,26,65.0,23.538716460817305,9.650624570779275,40,26,40,0,100.0,40,0,17,7,1.5,6.0,2.0
full,all,return_recovery,censored,15,6,2,13.333333333333334,-11.572637341731333,-13.641687661864788,15,2,8,7,53.333333333333336,15,15,15,2,1.0,7.0,2.5
full,all,source_trusted,false,38,5,21,55.26315789473685,10.11275681650794,2.8970093159150556,33,17,26,7,78.78787878787878,28,6,16,4,1.0,7.0,3.0
full,all,source_trusted,true,44,5,23,52.27272727272727,20.28887151503814,1.7437695455168045,39,20,32,7,82.05128205128204,27,9,23,6,1.0,6.0,2.0
full,all,symbol,AAOI,13,1,7,53.84615384615385,41.795829751979504,0.19275887723202434,10,5,8,2,80.0,7,5,7,2,1.0,5.5,2.0
full,all,symbol,GOOGL,5,1,3,60.0,-0.08881012819504494,3.995375811745916,5,3,3,2,60.0,2,1,3,1,1.0,22.0,22.0
full,all,symbol,MRNA,8,1,3,37.5,1.8362524894163057,-6.488471745151742,8,3,7,1,87.5,7,1,4,1,1.5,8.5,3.0
full,all,symbol,MSFT,4,1,2,50.0,7.2759268890398685,9.7371215662379,3,2,3,0,100.0,3,0,1,0,1.0,44.0,3.0
full,all,symbol,NFLX,6,1,6,100.0,32.02150311692345,17.75804591794261,5,5,5,0,100.0,5,0,0,0,2.0,6.0,6.0
