window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,pressure_trades,pressure_winners,recovered_trades,recovery_censored_trades,recovery_rate_pct,return_trades,return_censored_trades,final_negative_intraday_trades,final_negative_intraday_winners,median_first_pressure_bar,median_max_pressure_streak,median_recovery_bars
recent,all,all,all,17,10,11,64.70588235294117,20.83474422554694,16.521418373581742,14,9,12,2,85.71428571428571,9,2,5,1,1.0,4.5,1.5
recent,all,exit_reason,signal,8,7,6,75.0,22.947182659245268,17.88152500741751,5,4,5,0,100.0,1,0,1,0,1.0,2.0,2.0
recent,all,exit_reason,trail,5,4,2,40.0,-0.6435485440404726,-10.97577608363295,5,2,4,1,80.0,4,1,3,1,1.0,10.0,2.0
recent,all,exit_reason,terminal,4,4,3,75.0,43.45773332013456,25.110283949290555,4,3,3,1,75.0,4,1,1,0,1.0,3.0,1.0
recent,all,outcome,win,11,8,11,100.0,39.41384126410248,31.225894436277656,9,9,9,0,100.0,5,0,1,1,1.0,3.0,1.0
recent,all,outcome,nonpositive,6,5,0,0.0,-13.22693367847154,-9.527193857528726,5,0,3,2,60.0,4,2,4,0,1.0,16.0,3.0
recent,all,first_pressure,none,3,3,2,66.66666666666666,25.99372454767203,16.521418373581742,0,0,0,0,,0,0,0,0,,,
recent,all,first_pressure,before_net_positive,12,9,9,75.0,24.540971937578195,19.118152551778365,12,9,11,1,91.66666666666666,7,1,4,1,1.0,4.5,2.0
recent,all,first_pressure,after_net_positive,2,2,0,0.0,-9.1410925298282,-9.1410925298282,2,0,1,1,50.0,2,1,1,0,2.5,8.5,1.0
recent,all,recovery,no_pressure,3,3,2,66.66666666666666,25.99372454767203,16.521418373581742,0,0,0,0,,0,0,0,0,,,
recent,all,recovery,recovered,12,10,9,75.0,25.88030989586315,19.118152551778365,12,9,12,0,100.0,8,1,3,1,1.0,3.0,1.5
recent,all,recovery,censored,2,2,0,0.0,-17.17712027953793,-17.17712027953793,2,0,0,2,0.0,1,1,2,0,1.5,17.5,
