window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,pressure_trades,pressure_winners,recovered_trades,recovery_censored_trades,recovery_rate_pct,return_trades,return_censored_trades,final_negative_intraday_trades,final_negative_intraday_winners,median_first_pressure_bar,median_max_pressure_streak,median_recovery_bars
training,all,all,all,50,9,24,48.0,6.645423285558796,-0.4967422602022542,44,20,34,10,77.27272727272727,37,12,25,3,1.5,7.0,2.5
training,all,exit_reason,signal,16,6,14,87.5,31.612698583927322,21.183427605214646,15,13,13,2,86.66666666666667,13,4,4,2,2.0,3.0,3.0
training,all,exit_reason,trail,28,8,4,14.285714285714285,-12.419979845098359,-14.42998412481034,24,2,16,8,66.66666666666666,20,8,21,1,1.0,7.0,2.0
training,all,exit_reason,terminal,6,6,6,100.0,29.037903766309437,22.599240431364453,5,5,5,0,100.0,4,0,0,0,2.0,7.0,3.0
training,all,outcome,win,24,9,24,100.0,30.384381549599212,19.16561714747227,20,20,20,0,100.0,17,2,3,3,2.0,6.5,3.0
training,all,outcome,nonpositive,26,8,0,0.0,-15.267461265863128,-14.677411426534427,24,0,14,10,58.333333333333336,20,10,22,0,1.0,7.0,2.0
training,all,first_pressure,none,6,4,4,66.66666666666666,8.137252154771287,4.775808812110061,0,0,0,0,,0,0,0,0,,,
training,all,first_pressure,before_net_positive,23,9,9,39.130434782608695,-0.513897432617279,-9.61779533821755,23,9,19,4,82.6086956521739,16,6,15,2,1.0,7.0,4.0
training,all,first_pressure,after_net_positive,21,8,11,52.38095238095239,14.060347252357593,8.481864091411184,21,11,15,6,71.42857142857143,21,6,10,1,4.0,5.0,2.0
training,all,recovery,no_pressure,6,4,4,66.66666666666666,8.137252154771287,4.775808812110061,0,0,0,0,,0,0,0,0,,,
training,all,recovery,recovered,34,9,20,58.82352941176471,13.834641564302247,9.650624570779275,34,20,34,0,100.0,31,6,15,3,1.0,7.0,2.5
training,all,recovery,censored,10,7,0,0.0,-18.69301618369643,-20.574488849562094,10,0,0,10,0.0,6,6,10,0,4.0,6.5,
training,all,return_recovery,no_return,13,7,7,53.84615384615385,2.0192731697472603,1.6724582841518787,7,3,3,4,42.857142857142854,0,0,4,0,1.0,10.0,10.0
training,all,return_recovery,recovered,25,8,15,60.0,17.310843644500725,12.172843726286352,25,15,25,0,100.0,25,0,9,1,2.0,6.0,2.0
training,all,return_recovery,censored,12,5,2,16.666666666666664,-10.562539836774393,-12.870152300290531,12,2,6,6,50.0,12,12,12,2,2.5,7.0,4.5
training,all,source_trusted,false,23,5,11,47.82608695652174,2.343782684147205,-3.1678067374243724,21,9,15,6,71.42857142857143,17,5,11,1,2.0,7.0,2.0
training,all,source_trusted,true,27,4,13,48.148148148148145,10.309783797872372,-0.1998999999999973,23,11,19,4,82.6086956521739,20,7,14,2,1.0,6.0,3.0
training,all,symbol,AAOI,7,1,2,28.57142857142857,18.492445518634874,-1.91320485993266,5,1,4,1,80.0,5,4,4,0,1.0,12.0,7.0
training,all,symbol,GOOGL,2,1,1,50.0,-3.407421826704576,-3.407421826704576,2,1,1,1,50.0,0,0,1,0,1.0,34.5,10.0
training,all,symbol,MRNA,4,1,1,25.0,-5.341523820061918,-8.996874879923045,4,1,3,1,75.0,3,1,2,0,1.5,8.5,1.0
training,all,symbol,MSFT,2,1,1,50.0,7.071823888481051,7.071823888481051,2,1,2,0,100.0,2,0,1,0,2.0,28.0,2.0
training,all,symbol,NFLX,3,1,3,100.0,33.416352293620236,26.615563913745355,3,3,3,0,100.0,3,0,0,0,2.0,7.0,7.0
training,all,symbol,NVDA,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
training,all,symbol,SNOW,8,1,4,50.0,2.7601827593967165,2.909449490855148,7,4,6,1,85.71428571428571,7,2,4,1,2.0,4.0,2.5
training,all,symbol,TQQQ,8,1,4,50.0,9.333360938057972,1.6626295779051663,7,3,6,1,85.71428571428571,7,1,4,0,2.0,6.0,2.5
training,all,symbol,TSLA,4,1,3,75.0,13.042173583118089,18.338520266777756,4,3,3,1,75.0,1,0,2,1,1.0,8.5,3.0
training,all,symbol,YINN,12,1,5,41.66666666666667,-2.6920636657316876,-6.0080959448238715,10,3,6,4,60.0,9,4,7,1,2.0,4.0,1.5
training,B,all,all,25,8,14,56.00000000000001,7.3765837959599425,8.481864091411184,22,11,17,5,77.27272727272727,17,4,10,0,1.0,7.0,2.0
