group_by,group,episodes,symbols,flat_bars,original_horizon_bars,raw_b_rows,raw_jf_rows,setup_rows,confirmed_b_rows,expired_rows,tradable_jf_rows,s_rows,suppressed_b_rows,no_raw_buy_rows,raw_buy_rows,tradable_buy_rows,original_horizon_raw_b_rows,original_horizon_raw_jf_rows,original_horizon_setup_rows,original_horizon_confirmed_b_rows,original_horizon_expired_rows,original_horizon_tradable_jf_rows,original_horizon_s_rows,original_horizon_suppressed_b_rows,original_horizon_no_raw_buy_rows,original_horizon_raw_buy_rows,original_horizon_tradable_buy_rows,original_completed,original_wins,reference_reclaims,reference_censored,has_reentry,right_censored,next_completed,next_wins,aligned_chains,worse_aligned_chains
all,all,9,5,918,216,23,6,12,4,8,5,3,11,891,27,9,9,1,4,1,4,0,1,5,207,9,1,9,1,8,1,9,0,9,3,1,1
symbol,AAOI,2,1,283,49,13,0,5,2,3,0,1,8,270,13,2,3,0,1,0,1,0,0,2,46,3,0,2,0,2,0,2,0,2,0,0,0
symbol,GOOGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbol,MRNA,1,1,374,42,5,2,3,0,2,1,1,2,369,5,1,3,1,1,0,1,0,0,2,39,3,0,1,0,1,0,1,0,1,0,0,0
symbol,MSFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbol,NFLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbol,NVDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbol,SNOW,2,1,141,69,2,1,2,1,1,1,1,0,138,3,2,1,0,1,0,1,0,1,0,68,1,0,2,1,2,0,2,0,2,1,0,0
symbol,TQQQ,1,1,71,6,0,1,0,0,0,1,0,0,70,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,1,0,1,1,0,0
symbol,TSLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbol,YINN,3,1,49,50,3,2,2,1,2,2,0,1,44,5,3,2,0,1,1,1,0,0,1,48,2,1,3,0,2,1,3,0,3,1,1,1
original_outcome,win,1,1,106,40,0,1,0,0,0,1,1,0,105,1,1,0,0,0,0,0,0,1,0,40,0,0,1,1,1,0,1,0,1,0,0,0
original_outcome,nonpositive,8,5,812,176,23,5,12,4,8,4,2,11,786,26,8,9,1,4,1,4,0,0,5,167,9,1,8,0,7,1,8,0,8,3,1,1
original_outcome,unobserved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
next_entry,B,4,3,328,122,17,0,8,4,4,0,1,9,311,17,4,6,0,3,1,2,0,0,3,116,6,1,4,0,4,0,4,0,4,1,1,1
next_entry,JF,5,4,590,94,6,6,4,0,4,5,2,2,580,10,5,3,1,1,0,2,0,1,2,91,3,0,5,1,4,1,5,0,5,2,0,0
next_entry,no_reentry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_trusted,false,4,2,423,92,8,4,5,1,4,3,1,3,413,10,4,5,1,2,1,2,0,0,3,87,5,1,4,0,3,1,4,0,4,1,1,1
source_trusted,true,5,3,495,124,15,2,7,3,4,2,2,8,478,17,5,4,0,2,0,2,0,1,2,120,4,0,5,1,5,0,5,0,5,2,0,0
next_source,B_BASE_BULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
next_source,B_STAGE_COMPONENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
next_source,B_BEAR_RECOVER,2,2,264,37,10,0,5,2,3,0,1,5,254,10,2,1,0,1,0,1,0,0,0,36,1,0,2,0,2,0,2,0,2,1,0,0
next_source,B_CRASH_RECOVER,2,2,64,85,7,0,3,2,1,0,0,4,57,7,2,5,0,2,1,1,0,0,3,80,5,1,2,0,2,0,2,0,2,0,1,1
next_source,multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
next_source,B_without_source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
