position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
all,raw_b,all,all,197,191,6,10,87,93,45.54973821989529,48.69109947643979,2.36164619562827,-2.5676933455157203,17.791799684693967,-14.465189505769132,11,0,10,0,13,117,13
all,raw_b,symbol,TQQQ,17,16,1,1,12,4,75.0,25.0,15.496486381888673,20.399047734647592,25.957560005176347,-13.687990292379109,0,0,1,0,0,10,0
all,raw_b,symbol,MSFT,11,10,1,1,5,3,50.0,30.0,2.2131974736612667,0.3414980469701123,6.841965891149637,-5.830254147590959,1,0,0,0,1,9,1
all,raw_b,symbol,NFLX,20,18,2,1,8,9,44.44444444444444,50.0,-2.1349327730918413,-1.9518486108843325,7.701843817466558,-9.670770702950902,0,0,0,0,0,14,0
all,raw_b,symbol,YINN,37,37,0,1,17,18,45.94594594594595,48.64864864864865,1.4312144723863014,-1.5151531415146136,20.30725894040219,-17.206562425190743,4,0,3,0,4,19,4
all,raw_b,symbol,SNOW,25,25,0,1,8,14,32.0,56.00000000000001,-5.410146079591866,-4.355017676932393,10.090746780015063,-14.614966303445582,1,0,1,0,3,16,3
all,raw_b,symbol,TSLA,11,11,0,1,6,4,54.54545454545454,36.36363636363637,8.971912995597377,2.896061126968852,20.403011163929072,-13.33840212682499,1,0,0,0,1,9,1
all,raw_b,symbol,MRNA,32,32,0,1,13,18,40.625,56.25,-1.7608791981362155,-3.3252904285716145,13.756644194803597,-14.580805341054106,1,0,4,0,2,12,2
all,raw_b,symbol,NVDA,8,8,0,1,7,1,87.5,12.5,10.412168801949603,13.619391726573914,16.831588178906983,-8.411804624084699,0,0,0,0,0,5,0
all,raw_b,symbol,GOOGL,6,5,1,1,2,2,40.0,40.0,2.637023742582394,-0.23190447839982475,7.08615115775455,-4.848274220362801,0,0,0,0,0,6,0
all,raw_b,symbol,AAOI,30,29,1,1,9,20,31.03448275862069,68.96551724137932,5.617268800193233,-15.899578651517265,32.327361500538295,-20.84848162321785,3,0,1,0,2,17,2
all,raw_b,source_trusted,false,106,102,4,5,45,50,44.11764705882353,49.01960784313725,-0.0637734836097471,-1.4093308133781346,14.059458808267287,-13.33182711643754,6,0,7,0,7,60,7
all,raw_b,source_trusted,true,91,89,2,5,42,43,47.19101123595505,48.31460674157304,5.141340659474088,-4.096931190470188,22.069313947564993,-15.76409921039635,5,0,3,0,6,57,6
all,raw_b,raw_b_state,accepted,105,102,3,10,52,45,50.98039215686274,44.11764705882353,2.7220677350345523,0.9688080174390268,16.041668567088777,-13.103460576613838,3,0,9,0,0,105,0
