symbol,date,OPEN,CLOSE,MID,B_ALL_RAW,JF_RAW,B_SETUP,B_ENTRY_SIGNAL,B_SETUP_EXPIRED,B_SIGNAL,ICON_JUEFAN,S_SIGNAL,raw_b_count20,raw_b_suppressed,no_raw_buy,pending_setup_date,resolved_setup_date,resolved_setup_status,pending_setup_age,pending_B_BASE_BULL,pending_B_STAGE_COMPONENT,pending_B_BEAR_RECOVER,pending_B_CRASH_RECOVER,resolved_B_BASE_BULL,resolved_B_STAGE_COMPONENT,resolved_B_BEAR_RECOVER,resolved_B_CRASH_RECOVER,raw_B_BASE_BULL,raw_B_STAGE_COMPONENT,raw_B_BEAR_RECOVER,raw_B_CRASH_RECOVER,position,flat_origin,flat_since,flat_bar,held_trade_id,entry_today,exit_today,terminal_today,pending_buy,source_trusted
TQQQ,2025-08-27,44.77924731229293,45.22634506225586,44.76136856079101,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,1,,False,False,False,False,True
TQQQ,2025-08-28,45.345579745268765,46.05099868774414,44.87289447784424,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,2,,False,False,False,False,True
TQQQ,2025-08-29,45.4151197587807,44.39176559448242,45.03285579681396,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,3,,False,False,False,False,True
TQQQ,2025-09-02,42.28047837570737,43.259124755859375,45.02341728210449,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,4,,False,False,False,False,True
TQQQ,2025-09-03,44.0788051703625,44.267578125,45.10960788726807,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,5,,False,False,False,False,True
TQQQ,2025-09-04,44.41164224581976,45.46480178833008,45.176175880432126,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,6,,False,False,False,False,True
TQQQ,2025-09-05,46.66699768421261,45.61383438110352,45.22784061431885,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,7,,False,False,False,False,True
TQQQ,2025-09-08,46.15531927268112,46.26460647583008,45.251933860778806,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,8,,False,False,False,False,True
TQQQ,2025-09-09,46.44841675232705,46.64215850830078,45.31502418518066,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,9,,False,False,False,False,True
TQQQ,2025-09-10,47.41712380044564,46.69183349609375,45.29689197540283,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,10,,False,False,False,False,True
TQQQ,2025-09-11,47.287961234305826,47.47673416137695,45.314527130126955,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,11,,False,False,False,False,True
TQQQ,2025-09-12,47.67048049587056,48.067901611328125,45.36817874908447,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,12,,False,False,False,False,True
TQQQ,2025-09-15,48.5050599250289,49.2949333190918,45.516465759277345,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,13,,False,False,False,False,True
TQQQ,2025-09-16,49.51351035156104,49.16080093383789,45.66102695465088,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,14,,False,False,False,False,True
TQQQ,2025-09-17,49.12602803681578,48.84783554077149,45.88432712554932,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,15,,False,False,False,False,True
TQQQ,2025-09-18,50.055000383887545,50.16429138183594,46.21393718719482,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,16,,False,False,False,False,True
TQQQ,2025-09-19,50.6113819615114,51.1578369140625,46.623527717590335,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,17,,False,False,False,False,True
TQQQ,2025-09-22,50.87964160021056,52.02222442626953,46.97971515655517,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,18,,False,False,False,False,True
TQQQ,2025-09-23,52.05700195146869,50.97403335571289,47.30311546325684,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,19,,False,False,False,False,True
TQQQ,2025-09-24,51.32110630007502,50.42605972290039,47.57328491210937,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,20,,False,False,False,False,True
TQQQ,2025-09-25,49.42659257219261,49.74980545043945,47.79945793151855,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,21,,False,False,False,False,True
TQQQ,2025-09-26,49.92383917683166,50.34650039672851,48.01423301696777,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,22,,False,False,False,False,True
TQQQ,2025-09-29,51.112266533804245,51.01778793334961,48.34553413391113,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,23,,False,False,False,False,True
TQQQ,2025-09-30,50.92331631657296,51.41559219360352,48.75335750579834,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,24,,False,False,False,False,True
TQQQ,2025-10-01,50.58518182873306,52.141571044921875,49.147057151794435,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,25,,False,False,False,False,True
TQQQ,2025-10-02,53.11120564676005,52.77804946899414,49.512719535827635,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,26,,False,False,False,False,True
TQQQ,2025-10-03,52.92722454568248,52.062007904052734,49.835128211975096,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,27,,False,False,False,False,True
TQQQ,2025-10-06,53.4045845750604,53.2255744934082,50.183176612854005,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,28,,False,False,False,False,True
TQQQ,2025-10-07,53.55375933000617,52.365333557128906,50.46933536529541,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,29,,False,False,False,False,True
TQQQ,2025-10-08,52.569204507542935,54.14051055908203,50.841769218444824,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,30,,False,False,False,False,True
TQQQ,2025-10-09,54.14051034469884,53.92669296264648,51.1642671585083,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,31,,False,False,False,False,True
TQQQ,2025-10-10,54.06593167568846,48.26800155639648,51.17427215576172,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,32,,False,False,False,False,True
TQQQ,2025-10-13,50.74927003510959,51.3310546875,51.27607822418213,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,33,,False,False,False,False,True
TQQQ,2025-10-14,49.59068477089716,50.28683090209961,51.33237972259521,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,34,,False,False,False,False,True
TQQQ,2025-10-15,51.78355104595226,51.31613540649414,51.455794715881346,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,35,,False,False,False,False,True
TQQQ,2025-10-16,52.05206534841789,50.74430084228515,51.48479518890381,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,36,,False,False,False,False,True
TQQQ,2025-10-17,50.18240605605117,51.708961486816406,51.5123514175415,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,37,,False,False,False,False,True
TQQQ,2025-10-20,52.51451107537616,53.64823913574219,51.593652153015135,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,38,,False,False,False,False,True
TQQQ,2025-10-21,53.65321067597861,53.588565826416016,51.724378776550296,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,39,,False,False,False,False,True
TQQQ,2025-10-22,53.4294471890958,52.01228713989258,51.803690147399905,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,40,,False,False,False,False,True
TQQQ,2025-10-23,51.84819450874041,53.31508255004883,51.98195400238037,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,initial,2025-08-27,41,,False,False,False,False,True
