position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
all,raw_b,all,all,41,35,6,10,22,10,62.857142857142854,28.57142857142857,11.638678312594175,6.3776008914228965,20.97059793448841,-8.748983333744677,1,0,1,0,1,23,1
all,raw_b,symbol,TQQQ,3,2,1,1,2,0,100.0,0.0,49.39941671706956,49.39941671706956,49.88231407795719,-0.7490022280428332,0,0,0,0,0,2,0
all,raw_b,symbol,MSFT,3,2,1,1,2,0,100.0,0.0,13.223937764953897,13.223937764953897,16.209710997763317,-1.9490040482807724,0,0,0,0,0,2,0
all,raw_b,symbol,NFLX,5,3,2,1,2,1,66.66666666666666,33.33333333333333,6.967631288967575,13.907744252642761,10.342446154466385,-6.3803619641209925,0,0,0,0,0,1,0
all,raw_b,symbol,YINN,3,3,0,1,1,1,33.33333333333333,33.33333333333333,-1.1272613979876926,-3.463312534719265,9.261220488030752,-8.936326951510475,0,0,0,0,0,2,0
all,raw_b,symbol,SNOW,8,8,0,1,4,3,50.0,37.5,-1.588211263063732,-1.1103533243317476,8.16819516880147,-12.774148314278634,0,0,0,0,1,4,1
all,raw_b,symbol,TSLA,2,2,0,1,1,1,50.0,50.0,0.08872940419958875,0.08872940419958875,7.292023609747234,-10.228870644153131,0,0,0,0,0,2,0
all,raw_b,symbol,MRNA,9,9,0,1,5,3,55.55555555555556,33.33333333333333,7.024850823173037,1.9461095476292822,21.324343805138426,-9.358858736345592,0,0,0,0,0,3,0
all,raw_b,symbol,NVDA,2,2,0,1,2,0,100.0,0.0,13.619391726573914,13.619391726573914,21.315174768045765,-0.9244295619327769,0,0,0,0,0,1,0
all,raw_b,symbol,GOOGL,2,1,1,1,0,1,0.0,100.0,-0.23190447839982475,-0.23190447839982475,2.057676296393973,-11.12454733723004,0,0,0,0,0,2,0
all,raw_b,symbol,AAOI,4,3,1,1,3,0,100.0,0.0,62.29453907220494,25.064053680511943,75.47971632650815,-11.671424830260277,1,0,1,0,0,4,0
all,raw_b,source_trusted,false,22,18,4,5,10,6,55.55555555555556,33.33333333333333,5.942263229611386,2.8452002283981037,15.84484402586988,-8.066797267099794,0,0,0,0,0,10,0
all,raw_b,source_trusted,true,19,17,2,5,12,4,70.58823529411765,23.52941176470588,17.67017663575242,8.750400911052324,26.397866778908035,-9.471297992545141,1,0,1,0,1,13,1
all,raw_b,raw_b_state,accepted,22,19,3,10,13,6,68.42105263157895,31.57894736842105,7.634727631683724,4.883502488413005,16.154484216274383,-9.757640151309198,1,0,1,0,0,22,0
all,raw_b,raw_b_state,suppressed,19,16,3,8,9,4,56.25,25.0,16.393369746175328,10.634875998872996,26.689732974867567,-7.55120336288681,0,0,0,0,1,1,1
all,raw_b,component,B_BASE_BULL,8,6,2,5,5,0,83.33333333333334,0.0,35.990378563143544,20.888617180932336,51.67185930205108,-8.035077563608834,1,0,1,0,0,6,0
all,raw_b,component,B_STAGE_COMPONENT,9,7,2,6,4,3,57.14285714285714,42.857142857142854,6.3663193272395215,3.744290909166925,15.202616678544398,-8.674279255554007,0,0,0,0,0,7,0
all,raw_b,component,B_BEAR_RECOVER,12,11,1,6,9,2,81.81818181818183,18.181818181818183,13.579971768677831,12.9459959301218,21.314516578933638,-6.6762241860930525,0,0,0,0,1,6,1
all,raw_b,component,B_CRASH_RECOVER,13,12,1,4,4,6,33.33333333333333,50.0,-0.7916038612476316,-3.2056234056131228,7.0418196506085735,-11.61781424020604,0,0,0,0,0,5,0
all,raw_b,component,multiple,1,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,0,0,0,0,0,1,0
all,raw_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,confirmed_b,all,all,14,12,2,9,9,3,75.0,25.0,5.113744040822661,5.153792517112576,16.089382534664818,-9.340454028161684,10,10,0,0,1,0,14
all,confirmed_b,symbol,TQQQ,1,1,0,1,1,0,100.0,0.0,44.529979969289776,44.529979969289776,48.500820250149744,-1.8233397760285763,1,1,0,0,0,0,1
all,confirmed_b,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,2.454771108962772,2.454771108962772,8.969852313324456,-0.3190927170029889,1,1,0,0,0,0,1
all,confirmed_b,symbol,NFLX,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,confirmed_b,symbol,YINN,1,1,0,1,1,0,100.0,0.0,11.644321238262801,11.644321238262801,18.701484537373947,-0.4469504450973827,1,1,0,0,0,0,1
all,confirmed_b,symbol,SNOW,3,3,0,1,2,1,66.66666666666666,33.33333333333333,-4.2649811062408505,8.230577281275986,7.298807693858126,-15.200737522085925,1,1,0,0,1,0,3
all,confirmed_b,symbol,TSLA,1,1,0,1,0,1,0.0,100.0,-8.201250064715982,-8.201250064715982,1.3781137256765552,-11.364163440323338,1,1,0,0,0,0,1
