window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
training,all,all,all,50,9,24,48.0,6.645423285558796,-0.4967422602022542,-34.38185233852087,-0.016366095468137276,1.3371074503612859,25,25,15,0,0.025549118704903506,-26.89236735839884,-15.858583387069835,41
training,all,exit_reason,signal,16,6,14,87.5,31.612698583927322,21.183427605214646,-7.5571202234804735,10.040778251319486,13.611831640011744,6,4,6,0,0.025549118704903506,-8.09524172828311,-15.858583387069835,15
training,all,exit_reason,trail,28,8,4,14.285714285714285,-12.419979845098359,-14.42998412481034,-34.38185233852087,-4.731534723032494,-8.96365050613242,19,21,9,0,0.5960055960001771,-26.89236735839884,-11.955632199765464,20
training,all,exit_reason,terminal,6,6,6,100.0,29.037903766309437,22.599240431364453,11.76681414720866,15.987761157598392,6.677905083361507,0,0,0,0,0.0,-6.990306560309656,-7.608131129639418,6
training,all,outcome,win,24,9,24,100.0,30.384381549599212,19.16561714747227,1.6724582841518787,11.240214162972723,12.506587098000342,6,3,5,0,0.0,-11.259544568839475,-15.858583387069835,22
training,all,outcome,nonpositive,26,8,0,0.0,-15.267461265863128,-14.677411426534427,-34.38185233852087,-4.115577998418049,-10.179910090067718,19,22,10,0,0.3734408278906205,-26.89236735839884,-11.486149334152774,19
training,all,profit_to_loss,false,29,9,24,82.75862068965517,20.601609787400573,16.370420922658813,-34.38185233852087,9.529281288634586,10.78770879695316,10,7,5,0,0.13414302745873297,-26.89236735839884,-15.858583387069835,25
training,all,profit_to_loss,true,21,6,0,0.0,-12.627405693175087,-12.0011368775506,-26.9742832525411,-4.111666971732152,-8.144225873884363,15,18,10,0,0.0,-10.741206218291966,-11.486149334152774,16
training,all,symbol,AAOI,7,1,2,28.57142857142857,18.492445518634874,-1.91320485993266,-25.39859610915135,-1.1827056704902001,-0.41569866642280984,4,4,2,0,0.0,-6.650245929355048,-15.858583387069835,6
training,all,symbol,GOOGL,2,1,1,50.0,-3.407421826704576,-3.407421826704576,-23.185264576067965,2.2390472582640735,-7.647221966943542,0,1,0,0,0.6995900100531411,-6.696269900926821,-4.291601562500002,1
