position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
all,raw_b,all,all,119,112,7,10,41,64,36.607142857142854,57.14285714285714,-2.280654226029277,-5.4083719115481435,16.012821104414197,-16.936478962473164,10,0,7,0,11,73,11
all,raw_b,symbol,TQQQ,8,8,0,1,4,4,50.0,50.0,-2.4772400175563467,-6.328625527757891,13.550106307694792,-22.549645146027117,0,0,0,0,0,7,0
all,raw_b,symbol,MSFT,7,6,1,1,2,2,33.33333333333333,33.33333333333333,0.47885215379160356,-2.570928726873878,5.477815368935583,-6.371619956212246,1,0,0,0,1,6,1
all,raw_b,symbol,NFLX,12,11,1,1,3,7,27.27272727272727,63.63636363636363,-6.8706247615568,-9.698877354000246,6.76653884289614,-12.389322973965438,0,0,0,0,0,10,0
all,raw_b,symbol,YINN,30,28,2,1,12,16,42.857142857142854,57.14285714285714,-1.0058406460988585,-7.173904970469591,20.751842496227848,-20.44890252593,4,0,3,0,4,15,4
all,raw_b,symbol,SNOW,15,15,0,1,3,10,20.0,66.66666666666666,-8.743237285462822,-6.324318824883147,10.849085463043428,-15.957862149919382,1,0,1,0,2,10,2
all,raw_b,symbol,TSLA,7,7,0,1,4,2,57.14285714285714,28.57142857142857,11.705207844939718,2.896061126968852,23.83596723832698,-13.58858262578163,1,0,0,0,1,5,1
all,raw_b,symbol,MRNA,12,11,1,1,8,3,72.72727272727273,27.27272727272727,2.9678559518536214,2.3868916782236127,12.463980582381657,-10.43072653992718,1,0,3,0,1,5,1
all,raw_b,symbol,NVDA,1,1,0,1,1,0,100.0,0.0,17.096318477968996,17.096318477968996,18.81027368919137,-3.979398148764457,0,0,0,0,0,1,0
all,raw_b,symbol,GOOGL,3,3,0,1,1,1,33.33333333333333,33.33333333333333,3.2157970791537367,-0.6895127012850333,8.613392889207447,-4.2218303557667545,0,0,0,0,0,3,0
all,raw_b,symbol,AAOI,24,22,2,1,3,19,13.636363636363635,86.36363636363636,-6.587548929460947,-17.60215223123498,22.06101874891041,-22.888002166696303,2,0,0,0,2,11,2
all,raw_b,source_trusted,false,64,59,5,5,26,29,44.06779661016949,49.152542372881356,-0.9927710311405454,-2.5676933455157203,14.428718211079172,-14.821780104803937,6,0,6,0,6,39,6
all,raw_b,source_trusted,true,55,53,2,5,15,35,28.30188679245283,66.0377358490566,-3.714335518452583,-12.681245803833008,17.776256400768286,-19.290577690821927,4,0,1,0,5,34,5
all,raw_b,raw_b_state,accepted,64,59,5,10,26,29,44.06779661016949,49.152542372881356,0.08694856407320468,-2.5676933455157203,15.246606786050451,-14.289938276485437,2,0,7,0,0,64,0
all,raw_b,raw_b_state,suppressed,55,53,2,8,15,35,28.30188679245283,66.0377358490566,-4.916287520671662,-11.769215944771872,16.865776666366298,-19.882628028006675,8,0,0,0,11,9,11
all,raw_b,component,B_BASE_BULL,10,10,0,6,6,2,60.0,20.0,5.077530492106666,4.166759140057453,10.526605153257155,-4.51406269962744,0,0,0,0,0,10,0
all,raw_b,component,B_STAGE_COMPONENT,16,14,2,7,4,7,28.57142857142857,50.0,-5.35311560745113,-3.565006499538892,7.991049411128306,-13.405740447770837,1,0,0,0,1,12,1
all,raw_b,component,B_BEAR_RECOVER,33,29,4,7,12,17,41.37931034482759,58.620689655172406,-1.4104044211629418,-4.099661141025324,18.538537524752858,-17.018044342873342,3,0,1,0,5,22,5
all,raw_b,component,B_CRASH_RECOVER,66,65,1,7,22,41,33.84615384615385,63.07692307692307,-2.8580550736758283,-11.273317705185848,18.326335330290817,-19.609194354513793,7,0,6,0,7,30,7
all,raw_b,component,multiple,6,6,0,3,3,3,50.0,50.0,0.7649419548959511,-1.3665551103239637,25.42236071345231,-17.34271140913253,1,0,0,0,2,1,2
all,raw_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,confirmed_b,all,all,35,31,4,9,14,16,45.16129032258064,51.61290322580645,0.47903026955830075,-3.3712850254824622,14.980848546923667,-13.52644377663951,25,25,0,0,11,0,35
all,confirmed_b,symbol,TQQQ,4,4,0,1,3,1,75.0,25.0,8.288804448942367,4.9808396110262665,18.330465085394124,-11.682459922962995,3,3,0,0,0,0,4
all,confirmed_b,symbol,MSFT,3,2,1,1,1,1,50.0,50.0,1.1132469529261004,1.1132469529261004,4.523348689006468,-6.379427690479778,2,2,0,0,1,0,3
all,confirmed_b,symbol,NFLX,5,4,1,1,3,1,75.0,25.0,3.878293998829563,3.1877655634383606,10.003567151431136,-5.293374707102711,3,3,0,0,0,0,5
all,confirmed_b,symbol,YINN,7,6,1,1,3,3,50.0,50.0,7.775966241893521,-2.849651651842955,22.300404130705143,-16.106482352849483,5,5,0,0,4,0,7
all,confirmed_b,symbol,SNOW,7,7,0,1,1,5,14.285714285714285,71.42857142857143,-9.896043219869927,-6.533864320950933,11.004480978784299,-16.069737905604327,4,4,0,0,2,0,7
all,confirmed_b,symbol,TSLA,3,3,0,1,1,2,33.33333333333333,66.66666666666666,1.6070340015565392,-5.471171227560534,19.93230184732121,-21.339483667050313,3,3,0,0,1,0,3
all,confirmed_b,symbol,MRNA,1,1,0,1,0,1,0.0,100.0,-5.12000189887154,-5.12000189887154,4.951110839843742,-9.466668023003477,0,0,0,0,1,0,1
all,confirmed_b,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,confirmed_b,symbol,GOOGL,2,2,0,1,1,1,50.0,50.0,-0.16969468121046916,-0.16969468121046916,6.315558678139043,-9.559725329584529,2,2,0,0,0,0,2
all,confirmed_b,symbol,AAOI,3,2,1,1,1,1,50.0,50.0,-6.395077498140678,-6.395077498140678,26.905276627756614,-18.46296701747591,3,3,0,0,2,0,3
all,confirmed_b,source_trusted,false,18,15,3,5,8,7,53.333333333333336,46.666666666666664,3.92907173941594,0.44878447362943774,13.363041264272677,-10.610491133909324,12,12,0,0,6,0,18
all,confirmed_b,source_trusted,true,17,16,1,4,6,9,37.5,56.25,-2.7553836084332364,-3.389125458374126,16.497542874408968,-16.260149379199063,13,13,0,0,5,0,17
all,confirmed_b,component,B_BASE_BULL,6,6,0,3,3,3,50.0,50.0,-1.3154138578735874,-2.2658611816780025,6.604019235112273,-9.30053927105124,6,6,0,0,1,0,6
all,confirmed_b,component,B_STAGE_COMPONENT,8,6,2,5,4,2,66.66666666666666,33.33333333333333,2.0296252478994026,2.963378639013814,9.040193080101558,-8.437812516406517,5,5,0,0,0,0,8
all,confirmed_b,component,B_BEAR_RECOVER,14,12,2,5,6,6,50.0,50.0,3.202115305576458,1.1640675203672735,19.910003179663004,-16.87652482819085,10,10,0,0,3,0,14
all,confirmed_b,component,B_CRASH_RECOVER,8,8,0,5,2,5,25.0,62.5,4.898837020758678,-7.272040899768816,25.371827251323026,-15.129926430569475,5,5,0,0,8,0,8
all,confirmed_b,component,multiple,1,1,0,1,1,0,100.0,0.0,67.05140981683448,67.05140981683448,71.35362510318963,-10.66806303176766,1,1,0,0,1,0,1
all,confirmed_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,all,all,32,30,2,6,16,13,53.333333333333336,43.333333333333336,3.827927517131612,2.362953003383672,19.975940224691232,-16.16071478187363,25,0,7,0,0,7,0
all,raw_jf,symbol,TQQQ,5,4,1,1,3,1,75.0,25.0,7.224282200222251,11.050225917845536,18.23063142451677,-14.018414471237971,5,0,0,0,0,0,0
all,raw_jf,symbol,MSFT,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,symbol,NFLX,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,raw_jf,symbol,YINN,11,10,1,1,3,7,30.0,70.0,-3.1437017343573315,-4.631238304972368,22.58370818296636,-23.15866239246394,7,0,3,0,0,3,0
all,raw_jf,symbol,SNOW,5,5,0,1,2,2,40.0,40.0,3.056943776686409,-1.4388984036646901,19.184439323317775,-9.521052501745228,4,0,1,0,0,1,0
all,raw_jf,symbol,TSLA,1,1,0,1,1,0,100.0,0.0,25.294407141119702,25.294407141119702,28.60372555563726,-6.57291872903455,1,0,0,0,0,0,0
