symbol,episode_id,setup_date,expiry_date,failure,expiry_position,expiry_buy,eligible_at_expiry,source_trusted,setup_before_window,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,clock,date,available_at,reference_open_date,outcome_date,reference_open,ret20_pct,mfe20_pct,mae20_pct,outcome_complete,win,interference
TQQQ,TQQQ:2022-01-31,2022-01-31,2022-02-07,both,held,False,False,True,False,False,False,False,True,setup,2022-01-31,2022-02-07,2022-02-01,2022-03-01,29.741100895224044,-19.833384737711302,4.726039581166974,-34.940723469542746,True,False,True
TQQQ,TQQQ:2022-01-31,2022-01-31,2022-02-07,both,held,False,False,True,False,False,False,False,True,expiry,2022-02-07,2022-02-07,2022-02-08,2022-03-08,27.06334948859716,-25.827458738542752,11.05635174607993,-28.50350957933445,True,False,True
TQQQ,TQQQ:2022-01-31,2022-01-31,2022-02-07,both,held,False,False,True,False,False,False,False,True,recovery,2022-02-09,2022-02-09,2022-02-10,2022-03-10,28.259281973336833,-23.891400157505128,6.069800018150517,-31.52924022315011,True,False,True
TQQQ,TQQQ:2025-04-09,2025-04-09,2025-04-16,both,held,False,False,True,False,False,False,False,True,setup,2025-04-09,2025-04-16,2025-04-10,2025-05-08,24.115480482257077,21.425650929638685,24.71241889107496,-17.337708603803193,True,True,False
TQQQ,TQQQ:2025-04-09,2025-04-09,2025-04-16,both,held,False,False,True,False,False,False,False,True,expiry,2025-04-16,2025-04-16,2025-04-17,2025-05-15,22.832424457199117,53.135194226113455,55.5435273891554,-12.692544827183493,True,True,False
TQQQ,TQQQ:2025-04-09,2025-04-09,2025-04-16,both,held,False,False,True,False,False,False,False,True,recovery,2025-04-25,2025-04-25,2025-04-28,2025-05-23,26.760853543083545,22.76933584712406,33.26545426303029,-6.849321867597924,True,True,False
TQQQ,TQQQ:2026-08-04,2026-08-04,2026-08-11,high,flat,False,True,True,False,False,True,False,False,setup,2026-08-04,2026-08-11,2026-08-05,,75.61000061035156,,,,False,,
TQQQ,TQQQ:2026-08-04,2026-08-04,2026-08-11,high,flat,False,True,True,False,False,True,False,False,expiry,2026-08-11,2026-08-11,2026-08-12,,75.62000274658203,,,,False,,
TQQQ,TQQQ:2026-08-04,2026-08-04,2026-08-11,high,flat,False,True,True,False,False,True,False,False,recovery,2026-08-13,2026-08-13,2026-08-14,,77.56999969482422,,,,False,,
MSFT,MSFT:2022-05-04,2022-05-04,2022-05-11,both,held,False,False,False,False,False,False,True,False,setup,2022-05-04,2022-05-11,2022-05-05,2022-06-02,285.5400085449219,-3.8383489685061,0.28367217705196346,-13.693354673050774,True,False,True
MSFT,MSFT:2022-05-04,2022-05-04,2022-05-11,both,held,False,False,False,False,False,False,True,False,expiry,2022-05-11,2022-05-11,2022-05-12,2022-06-09,257.69000244140625,2.7552508969105327,7.761263460171541,-4.365710696346492,True,True,False
MSFT,MSFT:2022-05-04,2022-05-04,2022-05-11,both,held,False,False,False,False,False,False,True,False,recovery,2022-08-12,2022-08-12,2022-08-15,2022-09-12,291.0,-8.367699691929765,1.0927809882409711,-13.42267957339991,True,False,True
MSFT,MSFT:2023-08-23,2023-08-23,2023-08-30,high,held,False,False,False,False,False,True,False,False,setup,2023-08-23,2023-08-30,2023-08-24,2023-09-21,332.8500061035156,-4.001804740864645,2.406483130889825,-5.362777760612181,True,False,False
MSFT,MSFT:2023-08-23,2023-08-23,2023-08-30,high,held,False,False,False,False,False,True,False,False,expiry,2023-08-30,2023-08-30,2023-08-31,2023-09-28,329.20001220703125,-4.726609046663155,3.541911516454732,-5.999392244122815,True,False,False
