window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
full,all,all,all,82,10,44,53.65853658536586,15.573111044987561,2.54671151694289,-34.38185233852087,0.4667223039392099,2.0369899248584997,41,39,26,1,0.3734408278906205,-28.30800427308622,-21.68975585243714,72
full,all,exit_reason,signal,31,10,27,87.09677419354838,45.762196386267064,26.615563913745355,-8.078611631424515,10.659966302709973,12.097902008822464,10,7,11,1,0.5365635095290653,-28.30800427308622,-21.68975585243714,30
full,all,exit_reason,trail,47,10,14,29.78723404255319,-6.7119982035284504,-9.80913675287911,-34.38185233852087,-5.282551314382354,-3.7498093518268325,31,31,15,0,0.5144188887201366,-26.89236735839884,-18.124246853248614,38
full,all,exit_reason,terminal,4,4,3,75.0,43.45773332013456,25.110283949290555,-7.30640897602346,9.176469683630831,13.306559507015582,0,1,0,0,0.0,-5.25056798357959,-7.841564100202936,4
full,all,outcome,win,44,10,44,100.0,41.542987269085835,19.44473048714471,0.19275887723202434,11.240214162972723,11.931532042272497,11,10,13,0,0.9002337660149244,-28.30800427308622,-21.68975585243714,42
full,all,outcome,nonpositive,38,9,0,0.0,-14.497271951336751,-13.488574356481115,-34.38185233852087,-5.981633642150683,-8.39561833956417,30,29,13,1,0.17192608868042392,-26.89236735839884,-14.29829907697604,30
full,all,profit_to_loss,false,51,10,44,86.27450980392157,32.26160398970882,16.521418373581763,-34.38185233852087,9.529281288634586,7.112117729254027,17,16,14,0,0.7404508811335582,-28.30800427308622,-21.68975585243714,46
full,all,profit_to_loss,true,31,8,0,0.0,-11.882151541489343,-10.97577608363296,-26.9742832525411,-5.477522071271088,-3.7498093518268325,24,23,12,1,0.0,-21.183433758436575,-14.29829907697604,26
full,all,symbol,AAOI,13,1,7,53.84615384615385,41.795829751979504,0.19275887723202434,-25.39859610915135,-0.21652887167550589,-0.41569866642280984,7,7,4,0,0.08271269791509894,-7.384824767516052,-21.68975585243714,12
full,all,symbol,GOOGL,5,1,3,60.0,-0.08881012819504494,3.995375811745916,-23.185264576067965,3.404837711758911,-1.3125801714246683,0,3,1,0,1.1135564457622316,-7.4183531332345565,-5.4546887519867475,4
full,all,symbol,MRNA,8,1,3,37.5,1.8362524894163057,-6.488471745151742,-22.72557501230831,-6.478272729205637,0.35640839184178374,5,4,2,0,0.20313254261185598,-21.183433758436575,-10.741689601424076,7
full,all,symbol,MSFT,4,1,2,50.0,7.2759268890398685,9.7371215662379,-21.59643001259398,3.524812387465016,5.005073220067597,2,1,2,1,-0.6093342584696348,-5.326339672597491,-3.8696123318702424,3
full,all,symbol,NFLX,6,1,6,100.0,32.02150311692345,17.75804591794261,7.260260420213327,2.504746451196926,15.716326419283979,3,0,2,0,-1.1546319456101628e-14,-10.594673041978076,-4.801803451400611,5
full,all,symbol,NVDA,3,1,2,66.66666666666666,16.96555805817546,14.06175833620351,-23.72333142580999,7.350911621364883,-2.6351328308143556,1,2,0,0,1.0722713864636404,-12.494747685847528,-8.423184664752348,2
full,all,symbol,SNOW,11,1,5,45.45454545454545,9.096310854846621,-0.7935845204045111,-27.047831583052417,-6.184063492479551,-2.055077447207894,8,6,4,0,0.13414302745873297,-9.885611313136877,-12.045227718769013,10
full,all,symbol,TQQQ,10,1,5,50.0,9.691765534772994,1.7713678125236774,-18.423402686815884,4.242888690148771,-3.617615646207258,3,5,3,0,1.9532063883252508,-8.0309930171088,-14.29829907697604,9
full,all,symbol,TSLA,7,1,4,57.14285714285714,14.49868728005362,10.819385050147368,-26.593404828411128,12.32292585206209,6.764703710534029,3,3,2,0,1.1382519654276617,-6.536354832402502,-11.955632199765464,6
full,all,symbol,YINN,15,1,7,46.666666666666664,9.920404233016429,-4.459071666167269,-34.38185233852087,-4.119489025103946,-3.5383357222513947,9,8,6,0,0.6775923032802176,-28.30800427308622,-15.377125303397044,14
full,B,all,all,42,10,25,59.523809523809526,16.936885234560958,3.6450780127737503,-27.047831583052417,-1.249325198300936,5.005073220067597,22,17,15,1,0.525491199124601,-12.494747685847528,-21.68975585243714,37
full,B,exit_reason,signal,21,10,17,80.95238095238095,40.97767940092539,19.241631641253253,-8.078611631424515,10.659966302709973,10.875310611145268,7,4,7,1,0.5365635095290653,-8.09524172828311,-21.68975585243714,20
full,B,exit_reason,trail,20,10,8,40.0,-7.093783929592481,-12.653432251303254,-27.047831583052417,-4.310274974524667,-3.5608993416944212,15,12,8,0,0.6274348849268474,-12.494747685847528,-18.124246853248614,16
full,B,exit_reason,terminal,1,1,0,0.0,-7.30640897602346,-7.30640897602346,-7.30640897602346,1.260025617083734,-8.647010805243978,0,1,0,0,0.0,-0.5055260575954068,-5.4546887519867475,1
full,B,outcome,win,25,10,25,100.0,39.13226972845171,19.241631641253253,0.19275887723202434,9.529281288634586,12.097902008822464,7,3,8,0,1.0722713864636404,-9.167245040919914,-21.68975585243714,24
full,B,outcome,nonpositive,17,8,0,0.0,-15.703386079984268,-17.082673786856507,-27.047831583052417,-5.477522071271088,-3.7758758578754046,15,14,7,1,0.0,-12.494747685847528,-8.435513590121335,13
