symbol,episode_id,date,expiry_date,first_recovery_date,OPEN,CLOSE,MID,B_ALL_RAW,JF_RAW,B_SETUP,B_ENTRY_SIGNAL,B_SETUP_EXPIRED,B_SIGNAL,ICON_JUEFAN,S_SIGNAL,raw_b_count20,raw_b_suppressed,no_raw_buy,pending_setup_date,resolved_setup_date,resolved_setup_status,pending_setup_age,pending_B_BASE_BULL,pending_B_STAGE_COMPONENT,pending_B_BEAR_RECOVER,pending_B_CRASH_RECOVER,resolved_B_BASE_BULL,resolved_B_STAGE_COMPONENT,resolved_B_BEAR_RECOVER,resolved_B_CRASH_RECOVER,raw_B_BASE_BULL,raw_B_STAGE_COMPONENT,raw_B_BEAR_RECOVER,raw_B_CRASH_RECOVER,position,flat_origin,flat_since,flat_bar,held_trade_id,entry_today,exit_today,terminal_today,pending_buy,setup_high,bars_after_expiry,above_high,above_mid,both,recovered,first_recovery_today
TQQQ,TQQQ:2022-01-31,2022-02-07,2022-02-07,,28.144937033769587,27.334941864013672,29.788031482696532,False,False,False,False,True,False,False,False,3,False,True,,2022-01-31,expired,,False,False,False,False,False,False,False,True,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,0,False,False,False,False,False
TQQQ,TQQQ:2022-01-31,2022-02-08,2022-02-07,,27.06334948859716,28.264047622680664,29.47880401611328,False,False,False,False,False,False,False,False,3,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,1,False,False,False,False,False
TQQQ,TQQQ:2022-01-31,2022-02-09,2022-02-07,2022-02-09,29.33133783650971,30.0174503326416,29.18148832321167,True,False,False,False,False,False,False,False,4,True,False,,,,,False,False,False,False,False,False,False,False,False,False,False,True,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,2,True,True,True,True,True
TQQQ,TQQQ:2022-01-31,2022-02-10,2022-02-07,2022-02-09,28.259281973336833,28.02581214904785,28.764102745056153,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,3,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-11,2022-02-07,2022-02-09,28.006755619692207,25.386184692382812,28.346717262268065,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,4,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-14,2022-02-07,2022-02-09,25.20512590807438,25.457653045654297,27.907414054870607,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,5,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-15,2022-02-07,2022-02-09,26.6011801937694,27.301586151123047,27.68371229171753,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,6,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-16,2022-02-07,2022-02-09,26.810824560259007,27.29682159423828,27.5150426864624,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,7,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-17,2022-02-07,2022-02-09,26.51065122822011,24.876367568969727,27.28467082977295,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,8,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-18,2022-02-07,2022-02-09,25.057419904501018,24.03301429748535,27.13625087738037,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-01-25,False,False,False,False,29.569571123007492,9,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-22,2022-02-07,2022-02-09,23.36596479330555,23.289730072021484,26.93113193511963,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,trail,2022-02-22,1,,False,True,False,False,29.569571123007492,10,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-23,2022-02-07,2022-02-09,23.93772930889307,21.50774383544922,26.7379243850708,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,trail,2022-02-22,2,,False,False,False,False,29.569571123007492,11,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-24,2022-02-07,2022-02-09,19.420814107633653,23.61372947692871,26.652398586273193,False,True,False,False,False,False,True,False,4,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,trail,2022-02-22,3,,False,False,False,True,29.569571123007492,12,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-25,2022-02-07,2022-02-09,23.823372387867483,24.73342514038086,26.66073684692383,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-02-25,True,False,False,False,29.569571123007492,13,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-02-28,2022-02-07,2022-02-09,24.0425484447716,24.9954833984375,26.56758737564087,False,False,False,False,False,False,False,False,4,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-02-25,False,False,False,False,29.569571123007492,14,False,False,False,True,False
TQQQ,TQQQ:2022-01-31,2022-03-01,2022-02-07,2022-02-09,24.738191513017743,23.84243392944336,26.28670988082886,False,False,False,False,False,False,False,False,3,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2022-02-25,False,False,False,False,29.569571123007492,15,False,False,False,True,False
