scope,clock,group_by,group,cohort_episodes,events,without_clock,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,recovered_episodes,uncovered_recoveries,right_censored,median_recovery_bars
all,setup,all,all,43,43,0,42,1,10,16,24,38.095238095238095,57.14285714285714,-3.3117933564831956,-4.049367965667416,11.017368216452317,-18.344882063426432,31,14,12,4.0
all,setup,symbol,TQQQ,3,3,0,2,1,1,1,1,50.0,50.0,0.7961330959636914,0.7961330959636914,14.719229236120967,-26.13921603667297,3,2,0,2.0
all,setup,symbol,MSFT,4,4,0,4,0,1,2,1,50.0,25.0,5.796562109767322,3.558889270724519,8.708496833043434,-6.646723479888669,4,1,0,3.0
all,setup,symbol,NFLX,5,5,0,5,0,1,0,5,0.0,100.0,-15.036666815262496,-10.79083686768747,4.37853552597927,-18.89096879386731,3,2,2,3.0
all,setup,symbol,YINN,7,7,0,7,0,1,2,5,28.57142857142857,71.42857142857143,-11.740733859435602,-3.463312534719265,12.430914174556396,-25.496565475889554,5,2,2,4.0
all,setup,symbol,SNOW,5,5,0,5,0,1,2,3,40.0,60.0,-0.27210827178719227,-4.355017676932393,8.180873784284483,-17.03134071958896,2,1,3,7.0
all,setup,symbol,TSLA,3,3,0,3,0,1,2,1,66.66666666666666,33.33333333333333,3.904229974791207,4.883502488413005,9.979666977625216,-12.127645632165715,2,1,1,5.0
all,setup,symbol,MRNA,5,5,0,5,0,1,3,2,60.0,40.0,-2.697003543268775,1.9461095476292822,7.542804886909741,-19.32856417928118,3,1,2,9.0
all,setup,symbol,NVDA,2,2,0,2,0,1,2,0,100.0,0.0,12.20547148051969,12.20547148051969,13.661332500906632,-8.540854337189268,2,1,0,7.5
all,setup,symbol,GOOGL,1,1,0,1,0,1,0,0,0.0,0.0,-0.6895127012850333,-0.6895127012850333,2.6044201531805644,-2.6567607701941998,1,1,0,2.0
all,setup,symbol,AAOI,8,8,0,8,0,1,2,6,25.0,75.0,-3.3867407024721703,-13.825843022582536,18.882932873868747,-22.595998441878184,6,2,2,7.0
all,setup,source_trusted,false,22,22,0,22,0,5,7,13,31.818181818181817,59.09090909090909,-6.743488775950968,-3.9200768546853726,8.366432216895188,-18.128058085759918,16,7,6,3.0
all,setup,source_trusted,true,21,21,0,20,1,5,9,11,45.0,55.00000000000001,0.4630716049313536,-4.225974433701291,13.93339781596516,-18.583388438859593,15,7,6,6.0
all,setup,right_censored,false,31,31,0,30,1,10,16,12,53.333333333333336,40.0,4.2109875699661465,1.9215485961615042,14.410600915581304,-13.516804288554201,31,14,0,4.0
all,setup,right_censored,true,12,12,0,12,0,6,0,12,0.0,100.0,-22.11874567260655,-13.154655721178438,2.534286468629858,-30.41507650060699,0,0,12,
all,setup,setup_before_window,false,43,43,0,42,1,10,16,24,38.095238095238095,57.14285714285714,-3.3117933564831956,-4.049367965667416,11.017368216452317,-18.344882063426432,31,14,12,4.0
all,setup,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,expiry_state,held,21,21,0,21,0,8,10,10,47.61904761904761,47.61904761904761,-0.10631161283735022,-1.5151531415146136,14.549462245680306,-17.80612323087472,18,2,3,6.0
all,setup,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,expiry_state,flat_uncovered,22,22,0,21,1,9,6,14,28.57142857142857,66.66666666666666,-6.5172751001290425,-6.966791150773577,7.485274187224331,-18.88364089597814,13,12,9,3.0
all,setup,recovery_state,unobserved,12,12,0,12,0,6,0,12,0.0,100.0,-22.11874567260655,-13.154655721178438,2.534286468629858,-30.41507650060699,0,0,12,
all,setup,recovery_state,held,17,17,0,17,0,9,9,7,52.94117647058824,41.17647058823529,4.5622663669971395,2.3449536258149717,16.114447905375496,-13.761028699527488,17,0,0,6.0
all,setup,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,recovery_state,flat_uncovered,14,14,0,13,1,10,7,5,53.84615384615385,38.46153846153847,3.751622989233309,1.8969876446937262,12.182493313542746,-13.197433904973762,14,14,0,3.0
all,setup,failure,high,12,12,0,11,1,8,6,3,54.54545454545454,27.27272727272727,-1.7517687119686387,1.9461095476292822,11.858626452741401,-14.272093483540322,10,6,2,2.0
all,setup,failure,mid,1,1,0,1,0,1,1,0,100.0,0.0,10.926118626430803,10.926118626430803,16.120712169127206,-5.0239364512877245,1,1,0,1.0
all,setup,failure,both,30,30,0,30,0,9,9,21,30.0,70.0,-4.358399458902334,-6.571279860845037,10.53879539805716,-20.282269396455963,20,7,10,8.5
all,setup,component,B_BASE_BULL,7,7,0,7,0,6,4,2,57.14285714285714,28.57142857142857,0.7459479654097372,10.926118626430803,14.08732832683605,-14.275665518618922,5,4,2,1.0
all,setup,component,B_STAGE_COMPONENT,7,7,0,6,1,6,2,3,33.33333333333333,50.0,-6.765276315965553,-6.850341047432446,7.288566627693997,-15.777084040174557,5,3,2,3.0
all,setup,component,B_BEAR_RECOVER,8,8,0,8,0,6,2,6,25.0,75.0,-7.9745698752771546,-5.531861170621882,5.6373847714410505,-21.20190715091082,5,2,3,16.0
all,setup,component,B_CRASH_RECOVER,22,22,0,22,0,7,8,14,36.36363636363637,63.63636363636363,-2.1316150446784294,-5.2653931239244445,12.57853417709311,-19.174812136554866,17,5,5,6.0
all,setup,component,multiple,1,1,0,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,1,0,0,28.0
all,setup,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,all,all,43,43,0,42,1,10,23,15,54.761904761904766,35.714285714285715,8.830954870405286,1.323414862527772,23.285801273142347,-13.298983106541423,31,14,12,4.0
