symbol,episode_id,date,expiry_date,first_recovery_date,OPEN,CLOSE,MID,B_ALL_RAW,JF_RAW,B_SETUP,B_ENTRY_SIGNAL,B_SETUP_EXPIRED,B_SIGNAL,ICON_JUEFAN,S_SIGNAL,raw_b_count20,raw_b_suppressed,no_raw_buy,pending_setup_date,resolved_setup_date,resolved_setup_status,pending_setup_age,pending_B_BASE_BULL,pending_B_STAGE_COMPONENT,pending_B_BEAR_RECOVER,pending_B_CRASH_RECOVER,resolved_B_BASE_BULL,resolved_B_STAGE_COMPONENT,resolved_B_BEAR_RECOVER,resolved_B_CRASH_RECOVER,raw_B_BASE_BULL,raw_B_STAGE_COMPONENT,raw_B_BEAR_RECOVER,raw_B_CRASH_RECOVER,position,flat_origin,flat_since,flat_bar,held_trade_id,entry_today,exit_today,terminal_today,pending_buy,setup_high,bars_after_expiry,above_high,above_mid,both,recovered,first_recovery_today
TQQQ,TQQQ:2026-08-04,2026-08-11,2026-08-11,,74.54000091552734,73.05999755859375,68.59600028991699,False,False,False,False,True,False,False,False,1,False,True,,2026-08-04,expired,,False,False,False,False,False,True,False,False,False,False,False,False,flat,S,2026-06-10,43,,False,False,False,False,75.41000366210938,0,False,True,False,False,False
TQQQ,TQQQ:2026-08-04,2026-08-12,2026-08-11,,75.62000274658203,74.5999984741211,68.60400009155273,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,44,,False,False,False,False,75.41000366210938,1,False,True,False,False,False
TQQQ,TQQQ:2026-08-04,2026-08-13,2026-08-11,2026-08-13,75.04000091552734,77.1500015258789,68.9245002746582,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,45,,False,False,False,False,75.41000366210938,2,True,True,True,True,True
TQQQ,TQQQ:2026-08-04,2026-08-14,2026-08-11,2026-08-13,77.56999969482422,76.79000091552734,69.38750038146972,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,46,,False,False,False,False,75.41000366210938,3,True,True,True,True,False
TQQQ,TQQQ:2026-08-04,2026-08-17,2026-08-11,2026-08-13,77.37999725341797,76.4000015258789,69.82500038146972,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,47,,False,False,False,False,75.41000366210938,4,True,True,True,True,False
TQQQ,TQQQ:2026-08-04,2026-08-18,2026-08-11,2026-08-13,73.36000061035156,72.52999877929688,69.88300018310547,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,48,,False,False,False,False,75.41000366210938,5,False,True,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-19,2026-08-11,2026-08-13,73.37000274658203,72.05999755859375,69.97200012207031,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,49,,False,False,False,False,75.41000366210938,6,False,True,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-20,2026-08-11,2026-08-13,70.83000183105469,70.4800033569336,70.18100013732911,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,50,,False,False,False,False,75.41000366210938,7,False,True,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-21,2026-08-11,2026-08-13,71.69999694824219,71.16999816894531,70.53950004577636,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,51,,False,False,False,False,75.41000366210938,8,False,True,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-24,2026-08-11,2026-08-13,70.0,69.01000213623047,70.82000007629395,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,52,,False,False,False,False,75.41000366210938,9,False,False,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-25,2026-08-11,2026-08-13,70.41999816894531,70.2699966430664,71.25549983978271,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,53,,False,False,False,False,75.41000366210938,10,False,False,False,True,False
TQQQ,TQQQ:2026-08-04,2026-08-26,2026-08-11,2026-08-13,69.55999755859375,70.47000122070312,71.89149990081788,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,flat,S,2026-06-10,54,,False,False,False,False,75.41000366210938,11,False,False,False,True,False
MSFT,MSFT:2026-07-02,2026-07-10,2026-07-10,,387.7999877929687,385.1000061035156,380.5129959106445,False,False,False,False,True,False,False,False,1,False,True,,2026-07-02,expired,,False,False,False,False,False,False,True,False,False,False,False,False,held,,,,MSFT:2026-06-29,False,False,False,False,392.2000122070313,0,False,True,False,False,False
MSFT,MSFT:2026-07-02,2026-07-13,2026-07-10,,387.75,390.989990234375,380.5454956054688,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-06-29,False,False,False,False,392.2000122070313,1,False,True,False,False,False
MSFT,MSFT:2026-07-02,2026-07-14,2026-07-10,,382.8200073242187,384.9299926757813,380.25499572753904,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-06-29,False,False,False,False,392.2000122070313,2,False,True,False,False,False
MSFT,MSFT:2026-07-02,2026-07-15,2026-07-10,2026-07-15,387.7999877929687,395.6300048828125,380.0484954833984,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-06-29,False,False,False,False,392.2000122070313,3,True,True,True,True,True
MSFT,MSFT:2026-07-02,2026-07-16,2026-07-10,2026-07-15,398.30999755859375,401.1000061035156,380.41199645996096,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-06-29,False,False,False,False,392.2000122070313,4,True,True,True,True,False
MSFT,MSFT:2026-07-02,2026-07-17,2026-07-10,2026-07-15,394.8599853515625,393.8200073242187,381.1574966430664,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-06-29,False,False,False,False,392.2000122070313,5,True,True,True,True,False
MSFT,MSFT:2026-07-02,2026-07-20,2026-07-10,2026-07-15,391.4100036621094,402.2900085449219,382.30199737548827,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,MSFT:2026-06-29,False,False,False,False,392.2000122070313,6,True,True,True,True,False
