scope,clock,group_by,group,cohort_episodes,events,without_clock,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,recovered_episodes,uncovered_recoveries,right_censored,median_recovery_bars
all,setup,all,all,8,8,0,7,1,8,4,3,57.14285714285714,42.857142857142854,5.311259856087699,1.9461095476292822,11.964052146319693,-12.704102610310134,7,4,1,3.0
all,setup,symbol,TQQQ,1,1,0,0,1,1,0,0,,,,,,,1,1,0,2.0
all,setup,symbol,MSFT,1,1,0,1,0,1,1,0,100.0,0.0,20.070274638484896,20.070274638484896,20.61802036770748,-3.5371026610075407,1,0,0,3.0
all,setup,symbol,NFLX,1,1,0,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,1,0,0,28.0
all,setup,symbol,YINN,1,1,0,1,0,1,0,1,0.0,100.0,-3.463312534719265,-3.463312534719265,0.35451615654926716,-18.380142351568008,1,1,0,18.0
all,setup,symbol,SNOW,1,1,0,1,0,1,0,1,0.0,100.0,-4.355017676932393,-4.355017676932393,0.47974086737918586,-17.577294792474774,0,0,1,
all,setup,symbol,TSLA,1,1,0,1,0,1,1,0,100.0,0.0,4.883502488413005,4.883502488413005,12.623580162770033,-9.578220190951292,1,0,0,9.0
all,setup,symbol,MRNA,1,1,0,1,0,1,1,0,100.0,0.0,1.9461095476292822,1.9461095476292822,10.217071555913272,-10.516465337399772,1,1,0,2.0
all,setup,symbol,NVDA,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,symbol,GOOGL,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,symbol,AAOI,1,1,0,1,0,1,1,0,100.0,0.0,25.064053680511943,25.064053680511943,38.01537288332286,-13.771252519806144,1,1,0,3.0
all,setup,source_trusted,false,4,4,0,4,0,4,2,2,50.0,50.0,2.896570125155334,-0.7586014935449914,8.157417777691446,-12.000487692234685,4,2,0,10.5
all,setup,source_trusted,true,4,4,0,3,1,4,2,1,66.66666666666666,33.33333333333333,8.530846163997518,4.883502488413005,17.039564637824025,-13.642255834410738,3,2,1,3.0
all,setup,right_censored,false,7,7,0,6,1,7,4,2,66.66666666666666,33.33333333333333,6.922306111591048,3.4148060180211437,13.878104026143113,-11.891903913282697,7,4,0,3.0
all,setup,right_censored,true,1,1,0,1,0,1,0,1,0.0,100.0,-4.355017676932393,-4.355017676932393,0.47974086737918586,-17.577294792474774,0,0,1,
all,setup,setup_before_window,false,8,8,0,7,1,8,4,3,57.14285714285714,42.857142857142854,5.311259856087699,1.9461095476292822,11.964052146319693,-12.704102610310134,7,4,1,3.0
all,setup,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,expiry_state,held,2,2,0,2,0,2,2,0,100.0,0.0,12.47688856344895,12.47688856344895,16.620800265238756,-6.557661425979417,2,0,0,6.0
all,setup,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
