symbol,episode_id,setup_date,expiry_date,failure,expiry_position,first_recovery_date,recovery_position,next_setup_date,observation_end_date,end_kind,setup_open,setup_high,setup_low,setup_close,setup_mid,source_trusted,setup_before_window,expiry_buy,eligible_at_expiry,recovered,recovery_buy,recovery_uncovered,right_censored,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,recovery_wait_bars,post_expiry_bars
TQQQ,TQQQ:2022-01-31,2022-01-31,2022-02-07,both,held,2022-02-09,held,2022-10-21,2022-10-20,next_setup,27.182468138548913,29.569571123007492,26.787001093213036,29.459983825683594,31.90033092498779,True,False,False,False,True,False,False,False,False,False,False,True,2,177
MSFT,MSFT:2022-05-04,2022-05-04,2022-05-11,both,held,2022-08-12,flat,2023-04-26,2023-04-25,next_setup,282.5899963378906,290.8800048828125,276.7300109863281,289.9800109863281,284.8584976196289,False,False,False,False,True,False,True,False,False,False,True,False,64,239
MSFT,MSFT:2023-08-23,2023-08-23,2023-08-30,high,held,2023-09-05,held,2023-10-25,2023-10-24,next_setup,323.82000732421875,329.20001220703125,323.4599914550781,327.0,325.83099975585935,False,False,False,False,True,False,False,False,False,True,False,False,3,38
MSFT,MSFT:2023-10-25,2023-10-25,2023-11-01,high,held,2023-11-02,held,2024-08-13,2024-08-12,next_setup,345.0199890136719,346.20001220703125,337.6199951171875,340.6700134277344,326.6500045776367,False,False,False,False,True,False,False,False,True,False,False,False,1,194
NFLX,NFLX:2021-12-22,2021-12-22,2021-12-30,high,flat,,,2022-01-31,2022-01-28,next_setup,60.33599853515625,61.48199844360352,60.26300048828125,61.42399978637695,61.76665058135986,False,False,False,True,False,False,False,True,False,True,False,False,,20
NFLX,NFLX:2022-01-31,2022-01-31,2022-02-07,both,flat,,,2022-05-13,2022-05-12,next_setup,40.196998596191406,42.77000045776367,39.81999969482422,42.7140007019043,48.78534984588623,False,False,False,True,False,False,False,True,False,False,False,True,,66
NFLX,NFLX:2022-05-13,2022-05-13,2022-05-20,both,flat,2022-05-25,flat,2022-11-30,2022-11-29,next_setup,17.715999603271484,18.777000427246097,17.60099983215332,18.763999938964844,20.924199771881103,False,False,False,True,True,False,True,False,False,False,False,True,3,132
NFLX,NFLX:2023-08-23,2023-08-23,2023-08-30,high,flat,2023-09-01,flat,2023-10-19,2023-10-18,next_setup,41.84000015258789,43.70199966430664,41.770999908447266,42.755001068115234,42.45954990386963,False,False,False,True,True,False,True,False,False,True,False,False,2,34
YINN,YINN:2021-12-30,2021-12-30,2022-01-06,both,held,2022-01-11,held,2022-03-16,2022-03-15,next_setup,157.1999969482422,174.60000610351562,156.39999389648438,172.0,176.04000091552734,False,False,False,False,True,False,False,False,False,False,False,True,3,46
YINN,YINN:2022-03-16,2022-03-16,2022-03-23,both,held,2022-03-29,held,2022-05-03,2022-05-02,next_setup,84.0,102.5999984741211,81.5999984741211,102.4000015258789,122.93000068664551,False,False,False,False,True,False,False,False,False,False,False,True,4,27
YINN,YINN:2022-05-03,2022-05-03,2022-05-10,both,flat,2022-06-02,flat,2022-08-25,2022-08-24,next_setup,85.0,86.5999984741211,83.0,85.0,82.36000061035156,False,False,False,True,True,False,True,False,False,False,True,False,16,73
YINN,YINN:2022-08-25,2022-08-25,2022-09-01,both,held,,,2022-10-04,2022-10-03,next_setup,68.23999786376953,72.22000122070312,67.12999725341797,72.1500015258789,65.59100036621093,False,False,False,False,False,False,False,True,False,False,True,False,,21
YINN,YINN:2022-10-04,2022-10-04,2022-10-11,both,flat,,,2022-11-04,2022-11-03,next_setup,43.95000076293945,47.40999984741211,43.95000076293945,46.2599983215332,50.22850017547607,False,False,False,True,False,False,False,True,False,False,False,True,,17
SNOW,SNOW:2022-06-02,2022-06-02,2022-06-09,both,held,2022-06-23,held,2022-11-11,2022-11-10,next_setup,126.80999755859376,140.6999969482422,126.11000061035156,138.24000549316406,140.33650131225585,True,False,False,False,True,False,False,False,False,False,False,True,9,107
SNOW,SNOW:2022-12-12,2022-12-12,2022-12-19,both,held,,,2023-01-11,2023-01-10,next_setup,144.17999267578125,151.39999389648438,144.1699981689453,150.8800048828125,145.86999969482423,True,False,False,False,False,False,False,True,False,False,True,False,,14
TSLA,TSLA:2023-08-21,2023-08-21,2023-08-28,mid,flat,2023-08-29,flat,2024-03-27,2024-03-26,next_setup,221.5500030517578,232.1300048828125,220.5800018310547,231.27999877929688,247.1605010986328,True,False,False,True,True,False,True,False,True,False,False,False,1,145
TSLA,TSLA:2024-03-27,2024-03-27,2024-04-04,both,flat,,,2024-04-25,2024-04-24,next_setup,181.41000366210935,181.91000366210935,176.0,179.8300018310547,177.46750106811524,True,False,False,True,False,False,False,True,False,False,True,False,,14
MRNA,MRNA:2022-02-24,2022-02-24,2022-03-03,both,held,2022-03-16,held,2023-02-14,2023-02-13,next_setup,139.86500549316406,156.4199981689453,138.1199951171875,156.22999572753906,156.0254997253418,False,False,False,False,True,False,False,False,False,False,False,True,9,238
MRNA,MRNA:2023-02-14,2023-02-14,2023-02-22,both,flat,,,2023-08-17,2023-08-16,next_setup,170.88999938964844,176.0399932861328,169.2899932861328,175.6199951171875,180.90500030517578,False,False,False,True,False,False,False,True,False,True,False,False,,121
MRNA,MRNA:2023-11-03,2023-11-03,2023-11-10,both,held,2023-12-01,held,2024-08-19,2024-08-16,next_setup,73.08999633789062,79.25,73.04299926757812,77.52999877929688,84.66000099182129,False,False,False,False,True,False,False,False,False,False,False,True,14,191
MRNA,MRNA:2024-08-19,2024-08-19,2024-08-26,both,flat,,,,2024-08-26,window_end,87.0199966430664,91.98999786376952,86.62000274658203,89.95999908447266,97.48200035095215,False,False,False,True,False,False,False,True,False,False,False,True,,0
NVDA,NVDA:2023-02-23,2023-02-23,2023-03-02,high,flat,2023-03-03,flat,,2024-08-26,window_end,23.388035501899783,23.835042267919597,22.97395461774742,23.61153793334961,21.33624200820923,True,False,False,True,True,False,True,False,True,False,False,False,1,373
GOOGL,GOOGL:2021-10-27,2021-10-27,2021-11-03,high,flat,2021-11-05,flat,2022-01-31,2022-01-28,next_setup,139.40499877929688,148.64999389648438,139.40499877929688,146.21749877929688,139.10752563476564,False,False,False,True,True,False,True,False,True,False,False,False,2,59
AAOI,AAOI:2022-02-01,2022-02-01,2022-02-08,both,held,2022-02-16,held,2022-03-08,2022-03-07,next_setup,4.130000114440918,4.230000019073486,4.050000190734863,4.119999885559082,4.245499992370606,True,False,False,False,True,False,False,False,False,False,False,True,6,18
AAOI,AAOI:2022-03-08,2022-03-08,2022-03-15,both,flat,,,2022-05-03,2022-05-02,next_setup,3.559999942779541,3.785000085830689,3.5199999809265137,3.7300000190734863,3.832499992847443,True,False,False,True,False,False,False,True,False,False,False,True,,33
AAOI,AAOI:2022-05-03,2022-05-03,2022-05-10,both,flat,2022-08-15,flat,2023-01-09,2023-01-06,next_setup,2.5799999237060547,2.799999952316284,2.5799999237060547,2.7699999809265137,2.9204999685287474,True,False,False,True,True,False,True,False,False,False,False,True,66,166
AAOI,AAOI:2023-03-31,2023-03-31,2023-04-10,both,held,2023-04-11,held,2023-05-10,2023-05-09,next_setup,1.919999957084656,2.2300000190734863,1.919999957084656,2.2100000381469727,2.400500017404556,True,False,False,False,True,False,False,False,False,False,False,True,1,21
AAOI,AAOI:2023-05-10,2023-05-10,2023-05-17,both,held,2023-05-30,held,2024-05-06,2024-05-03,next_setup,1.850000023841858,1.919999957084656,1.809999942779541,1.850000023841858,1.9857500076293946,True,False,False,False,True,False,False,False,False,False,False,True,8,242
AAOI,AAOI:2024-05-06,2024-05-06,2024-05-13,both,held,2024-05-24,held,2024-07-08,2024-07-05,next_setup,11.279999732971191,12.399999618530272,11.260000228881836,11.949999809265137,11.199499988555909,True,False,False,False,True,False,False,False,False,False,True,False,9,36
