scope,clock,group_by,group,cohort_episodes,events,without_clock,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,recovered_episodes,uncovered_recoveries,right_censored,median_recovery_bars
all,setup,all,all,29,29,0,28,1,10,8,18,28.57142857142857,64.28571428571429,-5.935421982022292,-7.937322962458371,10.331590587387904,-19.05811076902712,20,8,9,3.5
all,setup,symbol,TQQQ,1,1,0,1,0,1,0,1,0.0,100.0,-19.833384737711302,-19.833384737711302,4.726039581166974,-34.940723469542746,1,0,0,2.0
all,setup,symbol,MSFT,3,3,0,3,0,1,1,1,33.33333333333333,33.33333333333333,1.038657933528131,-3.8383489685061,4.738655654822084,-7.683263752849045,3,1,0,3.0
all,setup,symbol,NFLX,4,4,0,4,0,1,0,4,0.0,100.0,-17.054135731384726,-11.502506044691724,5.113153649825147,-19.72165088759328,2,2,2,2.5
all,setup,symbol,YINN,5,5,0,5,0,1,1,4,20.0,80.0,-20.002303693986175,-6.175768570916496,12.270809922124837,-29.990646665659693,3,1,2,4.0
all,setup,symbol,SNOW,2,2,0,2,0,1,1,1,50.0,50.0,-2.8030605393295493,-2.8030605393295493,8.118900924864903,-21.883184991175128,1,0,1,9.0
all,setup,symbol,TSLA,2,2,0,2,0,1,1,1,50.0,50.0,3.4145937179803076,3.4145937179803076,8.657710385052809,-13.402358352772925,1,1,1,1.0
all,setup,symbol,MRNA,4,4,0,3,1,1,2,1,66.66666666666666,33.33333333333333,1.2995900353210483,2.3449536258149717,8.956475253063106,-19.32211334449286,2,0,2,11.5
all,setup,symbol,NVDA,1,1,0,1,0,1,1,0,100.0,0.0,17.096318477968996,17.096318477968996,18.81027368919137,-3.979398148764457,1,1,0,1.0
all,setup,symbol,GOOGL,1,1,0,1,0,1,0,0,0.0,0.0,-0.6895127012850333,-0.6895127012850333,2.6044201531805644,-2.6567607701941998,1,1,0,2.0
all,setup,symbol,AAOI,6,6,0,6,0,1,1,5,16.666666666666664,83.33333333333334,-0.46249756732935854,-13.825843022582536,17.783087244984433,-18.60386071427745,5,1,1,8.0
all,setup,source_trusted,false,17,17,0,16,1,5,4,10,25.0,62.5,-10.118926886887955,-5.088786655890571,7.8435298179225565,-19.532045558805716,11,5,6,3.0
all,setup,source_trusted,true,12,12,0,12,0,5,4,8,33.33333333333333,66.66666666666666,-0.3574154422014115,-11.762310098816119,13.649004946675033,-18.426197715989,9,3,3,6.0
all,setup,right_censored,false,20,20,0,20,0,10,8,10,40.0,50.0,0.8708373846036018,-2.6767510550103566,13.57575372733171,-14.244407287943682,20,8,0,3.5
all,setup,right_censored,true,9,9,0,8,1,6,0,8,0.0,100.0,-22.951070398587028,-13.154655721178438,2.221182737528388,-31.09236947173573,0,0,9,
