clock,group_by,group,cohort_trades,events,without_clock,complete,incomplete,wins,interference,win_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
confirmation,all,all,42,42,0,41,1,25,15,60.97560975609756,5.846628788232652,3.5030689866974773,18.358198186210423,-11.972686389192994
entry,all,all,42,42,0,41,1,23,14,56.09756097560976,6.71152173653653,0.8857106400200099,18.810758826934585,-11.518590654914089
failure,all,all,42,24,18,23,1,14,7,60.86956521739131,6.123607716025415,3.332132550518363,17.098207769917824,-11.626967969844904
confirmation,symbol,TQQQ,4,4,0,4,0,4,0,100.0,19.770459830326217,17.275924363617378,27.580896500551113,-6.749561631576173
entry,symbol,TQQQ,4,4,0,4,0,4,0,100.0,22.329859386890966,16.292155793171204,28.936620053791323,-6.9119855248200155
failure,symbol,TQQQ,4,1,3,1,0,1,0,100.0,21.424599402758272,21.424599402758272,23.254514560518746,-14.217328589985833
confirmation,symbol,MSFT,3,3,0,3,0,2,1,66.66666666666666,1.560421671604991,2.454771108962772,6.005516563779131,-4.359316032654181
entry,symbol,MSFT,3,3,0,3,0,1,1,33.33333333333333,0.6352560996793856,-3.0488009212734646,4.559794557456521,-6.2251120994388165
failure,symbol,MSFT,3,1,2,1,0,0,1,0.0,-5.899168472058969,-5.899168472058969,3.186171569317464,-8.091360555065286
confirmation,symbol,NFLX,4,4,0,4,0,3,1,75.0,3.9852709092344227,3.401719384248081,9.371963541916834,-9.100017940040095
entry,symbol,NFLX,4,4,0,4,0,2,1,50.0,3.480544430388166,2.2681316769742943,9.22616335033813,-9.469296696128005
failure,symbol,NFLX,4,3,1,3,0,3,0,100.0,14.79092520866178,12.972718757885083,18.188079135493222,-5.967794155347602
confirmation,symbol,YINN,7,7,0,7,0,5,2,71.42857142857143,15.051481922186019,11.644321238262801,27.325027498348284,-12.867049764428904
entry,symbol,YINN,7,7,0,7,0,4,3,57.14285714285714,12.474181114287424,10.005185799886407,25.6989608189921,-13.23523597734307
failure,symbol,YINN,7,4,3,4,0,2,2,50.0,12.06908262136092,1.0906485601007097,23.028821036704606,-13.080456896973107
confirmation,symbol,SNOW,5,5,0,5,0,1,3,20.0,-8.58072426725905,-3.4069658912657896,9.982738629855497,-14.887279252567513
entry,symbol,SNOW,5,5,0,5,0,1,4,20.0,-9.216958559071891,-6.325910596209128,9.320584412337961,-15.724352009829772
failure,symbol,SNOW,5,5,0,5,0,2,3,40.0,-3.346052804083604,-2.141260679418655,10.177528174843564,-14.822111350962313
confirmation,symbol,TSLA,5,5,0,5,0,2,3,40.0,5.439525762701373,-5.471171227560534,19.015003763105582,-17.381707711790224
entry,symbol,TSLA,5,5,0,5,0,2,1,40.0,10.058563844477295,-3.1923063508756844,22.451563161449574,-14.007747423781804
failure,symbol,TSLA,5,3,2,3,0,1,1,33.33333333333333,-0.6717537623182744,-5.577945376105509,20.687539617152527,-16.990913972058525
confirmation,symbol,MRNA,2,2,0,2,0,1,1,50.0,5.45725791751529,5.45725791751529,11.997572831676795,-15.180703219868624
entry,symbol,MRNA,2,2,0,2,0,1,1,50.0,7.706373795495863,7.706373795495863,17.438583559231958,-12.2560047596115
failure,symbol,MRNA,2,2,0,2,0,2,0,100.0,15.709210612705327,15.709210612705327,23.86283445731686,-7.346647079681418
confirmation,symbol,NVDA,2,2,0,2,0,1,1,50.0,-5.961853657751425,-5.961853657751425,8.79419060215827,-14.214078102310607
entry,symbol,NVDA,2,2,0,2,0,1,1,50.0,2.2719387751015834,2.2719387751015834,11.861950609782978,-10.705074017158378
failure,symbol,NVDA,2,1,1,1,0,1,0,100.0,2.754062005702762,2.754062005702762,14.601128040823653,-13.062544609672122
confirmation,symbol,GOOGL,5,5,0,4,1,3,1,75.0,1.7418017448978946,3.6532981710062584,5.855575727208866,-7.805116406797696
entry,symbol,GOOGL,5,5,0,4,1,3,1,75.0,0.0802092888931738,2.1089215952691864,4.693601784853396,-7.434402276777478
failure,symbol,GOOGL,5,3,2,2,1,1,0,50.0,-1.0750772456311122,-1.0750772456311122,4.274864559568837,-8.79927852338021
confirmation,symbol,AAOI,5,5,0,5,0,3,2,60.0,8.879039182569631,1.1147545986488039,37.11768030873387,-14.595912825628961
entry,symbol,AAOI,5,5,0,5,0,4,1,80.0,11.644050221207296,6.926258432722054,37.75633110722093,-14.21896719985202
failure,symbol,AAOI,5,1,4,1,0,1,0,100.0,19.391636993977855,19.391636993977855,36.31178522470526,-4.448669620663881
confirmation,source_trusted,false,21,21,0,20,1,14,6,70.0,7.193222246083847,3.7641519761476117,14.709852245981589,-10.056462013802665
entry,source_trusted,false,21,21,0,20,1,11,7,55.00000000000001,5.944039928358362,2.1089215952691864,14.206416853227214,-10.172439677528143
failure,source_trusted,false,21,13,8,12,1,8,3,66.66666666666666,9.668183697793209,10.814863421727207,17.178424263032248,-9.217368484593651
confirmation,source_trusted,true,21,21,0,21,0,11,9,52.38095238095239,4.564158828374372,1.062478034441483e-05,21.832813367380748,-13.797661984802831
entry,source_trusted,true,21,21,0,21,0,12,7,57.14285714285714,7.44245679194431,0.35955189987562086,23.1958464209416,-12.800639204805467
failure,source_trusted,true,21,11,10,11,0,6,4,54.54545454545454,2.2567975540969134,1.327430016604092,17.010698868338462,-14.25562195375536
confirmation,entry_jf,false,42,42,0,41,1,25,15,60.97560975609756,5.846628788232652,3.5030689866974773,18.358198186210423,-11.972686389192994
entry,entry_jf,false,42,42,0,41,1,23,14,56.09756097560976,6.71152173653653,0.8857106400200099,18.810758826934585,-11.518590654914089
failure,entry_jf,false,42,24,18,23,1,14,7,60.86956521739131,6.123607716025415,3.332132550518363,17.098207769917824,-11.626967969844904
confirmation,entry_jf,true,0,0,0,0,0,0,0,,,,,
entry,entry_jf,true,0,0,0,0,0,0,0,,,,,
failure,entry_jf,true,0,0,0,0,0,0,0,,,,,
confirmation,component,B_BASE_BULL,8,8,0,8,0,4,4,50.0,2.5831363091994017,-0.7857093895435263,11.505329125171567,-10.482643167166245
entry,component,B_BASE_BULL,8,8,0,8,0,4,3,50.0,3.0358766049616333,-0.41504580797769863,13.062577777117196,-9.728752410596723
failure,component,B_BASE_BULL,8,5,3,5,0,3,2,60.0,3.9141847524727864,10.776068165037644,15.337562829181243,-8.21411944302673
confirmation,component,B_STAGE_COMPONENT,14,14,0,13,1,8,5,61.53846153846154,1.015421983288652,3.5030689866974773,10.664592730663326,-11.624139953341873
entry,component,B_STAGE_COMPONENT,14,14,0,13,1,8,4,61.53846153846154,1.1338004673356337,0.8857106400200099,9.1822664871621,-12.014673741114622
failure,component,B_STAGE_COMPONENT,14,10,4,9,1,6,1,66.66666666666666,3.455209087809736,2.754062005702762,10.73833941562055,-11.370946939952928
confirmation,component,B_BEAR_RECOVER,16,16,0,16,0,12,4,75.0,12.703012319073325,9.72367219347484,26.438813008734478,-11.34786441765758
entry,component,B_BEAR_RECOVER,16,16,0,16,0,10,4,62.5,12.643799654547918,9.323581220474697,27.308981994896207,-10.586223004260534
failure,component,B_BEAR_RECOVER,16,7,9,7,0,5,2,71.42857142857143,16.120392339584274,20.48369188226813,30.173522327452734,-11.095606314068261
