group_by,group,trades,observed_exits,unobserved_exits,original_wins,original_win_rate_pct,mean_original_return_pct,median_original_return_pct,failed_trades,no_failure,entry_failures,recovered_trades,unrecovered_failed,median_bars_to_failure,median_failure_to_recovery_bars
all,all,42,42,0,25,59.523809523809526,16.936885234560958,3.6450780127737503,24,18,7,18,6,3.0,8.0
symbol,TQQQ,4,4,0,3,75.0,17.129310973735798,20.3357047019449,1,3,0,0,1,7.0,
symbol,MSFT,3,3,0,1,33.33333333333333,-0.7073956267060608,-0.06198834990690516,1,2,0,1,0,8.0,12.0
symbol,NFLX,4,4,0,4,100.0,39.15323171641387,17.54871400257827,3,1,0,3,0,9.0,12.0
symbol,YINN,7,7,0,3,42.857142857142854,5.476495416727807,-7.5571202234804735,4,3,2,3,1,0.5,3.0
symbol,SNOW,5,5,0,2,40.0,-6.212046301383003,-14.331088418973547,5,0,1,3,2,3.0,1.0
symbol,TSLA,5,5,0,3,60.0,20.05982077114689,25.85765548340815,3,2,2,2,1,0.0,30.0
symbol,MRNA,2,2,0,2,100.0,29.600356499777337,29.600356499777337,2,0,1,2,0,2.5,12.5
symbol,NVDA,2,2,0,1,50.0,-4.8307865448032405,-4.8307865448032405,1,1,0,1,0,2.0,7.0
symbol,GOOGL,5,5,0,3,60.0,-0.08881012819504494,3.995375811745916,3,2,1,2,1,5.0,2.5
symbol,AAOI,5,5,0,3,60.0,66.33435328723853,0.19275887723202434,1,4,0,1,0,7.0,4.0
source_trusted,false,21,21,0,13,61.904761904761905,11.980136679105309,3.995375811745916,13,8,4,11,2,3.0,10.0
source_trusted,true,21,21,0,12,57.14285714285714,21.89363379001661,3.2947802138015847,11,10,3,7,4,3.0,4.0
entry_jf,false,42,42,0,25,59.523809523809526,16.936885234560958,3.6450780127737503,24,18,7,18,6,3.0,8.0
entry_jf,true,0,0,0,0,,,,0,0,0,0,0,,
component,B_BASE_BULL,8,8,0,6,75.0,24.62262586247305,14.009047786896943,5,3,1,5,0,8.0,9.0
component,B_STAGE_COMPONENT,14,14,0,7,50.0,0.226170980393858,-1.6555165821387718,10,4,3,7,3,2.5,7.0
component,B_BEAR_RECOVER,16,16,0,11,68.75,32.214075849183445,6.985743273185274,7,9,2,6,1,1.0,5.5
component,B_CRASH_RECOVER,5,5,0,2,40.0,12.91769767599049,-5.003121316486691,3,2,1,1,2,1.0,1.0
component,multiple,1,1,0,1,100.0,68.81192274062582,68.81192274062582,1,0,0,1,0,1.0,1.0
component,none,0,0,0,0,,,,0,0,0,0,0,,
first_failure,none,18,18,0,14,77.77777777777779,39.66964339045998,13.117301031244931,0,18,0,0,0,,
first_failure,entry,7,7,0,2,28.57142857142857,-2.373288772766856,-10.97577608363296,7,0,7,5,2,0.0,3.0
first_failure,later,17,17,0,9,52.94117647058824,0.818154131332265,1.7986428200841953,17,0,0,13,4,7.0,9.0
recovery,no_failure,18,18,0,14,77.77777777777779,39.66964339045998,13.117301031244931,0,18,0,0,0,,
recovery,unrecovered,6,6,0,0,0.0,-19.889281807643027,-21.838039307633817,6,0,2,0,6,3.5,
recovery,recovered,18,18,0,11,61.111111111111114,6.479516092729926,5.277520317007456,18,0,5,18,0,3.0,8.0
exit_reason,signal,21,21,0,17,80.95238095238095,40.97767940092539,19.241631641253253,9,12,2,9,0,5.0,9.0
exit_reason,trail,20,20,0,8,40.0,-7.093783929592481,-12.653432251303254,14,6,5,9,5,2.0,7.0
exit_reason,terminal,1,1,0,0,0.0,-7.30640897602346,-7.30640897602346,1,0,0,0,1,5.0,
exit_reason,unobserved,0,0,0,0,,,,0,0,0,0,0,,
