clock,group_by,group,cohort_trades,events,without_clock,complete,incomplete,wins,interference,win_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
confirmation,all,all,10,10,0,9,1,6,3,66.66666666666666,4.7592635750425,3.8035273553150395,14.80283465580197,-10.063616499818291
entry,all,all,10,10,0,9,1,6,1,66.66666666666666,7.068839107454012,3.332132550518363,16.536329601483665,-9.518674642508705
failure,all,all,10,7,3,6,1,4,1,66.66666666666666,5.067581374152035,7.378413818719942,14.180829337329207,-10.822434160075003
confirmation,symbol,TQQQ,1,1,0,1,0,1,0,100.0,44.529979969289776,44.529979969289776,48.500820250149744,-1.8233397760285763
entry,symbol,TQQQ,1,1,0,1,0,1,0,100.0,56.37557406134584,56.37557406134584,56.43707217892264,-0.6560059508653349
failure,symbol,TQQQ,1,0,1,0,0,0,0,,,,,
confirmation,symbol,MSFT,1,1,0,1,0,1,0,100.0,2.454771108962772,2.454771108962772,8.969852313324456,-0.3190927170029889
entry,symbol,MSFT,1,1,0,1,0,0,0,0.0,-3.489256992236933,-3.489256992236933,3.296343385493161,-5.2041100243553355
failure,symbol,MSFT,1,0,1,0,0,0,0,,,,,
confirmation,symbol,NFLX,0,0,0,0,0,0,0,,,,,
entry,symbol,NFLX,0,0,0,0,0,0,0,,,,,
failure,symbol,NFLX,0,0,0,0,0,0,0,,,,,
confirmation,symbol,YINN,1,1,0,1,0,1,0,100.0,11.644321238262801,11.644321238262801,18.701484537373947,-0.4469504450973827
entry,symbol,YINN,1,1,0,1,0,1,0,100.0,11.42469508692152,11.42469508692152,13.930905489735967,-4.447959313571559
failure,symbol,YINN,1,1,0,1,0,1,0,100.0,11.42469508692152,11.42469508692152,13.930905489735967,-4.447959313571559
confirmation,symbol,SNOW,1,1,0,1,0,0,1,0.0,-29.363250732421875,-29.363250732421875,0.9871784438434839,-31.82905800322182
entry,symbol,SNOW,1,1,0,1,0,0,1,0.0,-33.54958847596836,-33.54958847596836,0.20353463249469517,-33.81673212941404
failure,symbol,SNOW,1,1,0,1,0,0,1,0.0,-18.729793557393904,-18.729793557393904,3.025405566631778,-27.907620401360422
confirmation,symbol,TSLA,1,1,0,1,0,0,1,0.0,-8.201250064715982,-8.201250064715982,1.3781137256765552,-11.364163440323338
entry,symbol,TSLA,1,1,0,1,0,0,0,0.0,-5.577945376105509,-5.577945376105509,2.3533103370553032,-7.943328390827709
failure,symbol,TSLA,1,1,0,1,0,0,0,0.0,-5.577945376105509,-5.577945376105509,2.3533103370553032,-7.943328390827709
confirmation,symbol,MRNA,1,1,0,1,0,1,0,100.0,13.481418874496342,13.481418874496342,13.672920763582287,-14.668708671678898
entry,symbol,MRNA,1,1,0,1,0,1,0,100.0,20.564762546993887,20.564762546993887,24.55494221869261,-8.81931175116465
failure,symbol,MRNA,1,1,0,1,0,1,0,100.0,20.564762546993887,20.564762546993887,24.55494221869261,-8.81931175116465
confirmation,symbol,NVDA,1,1,0,1,0,1,0,100.0,6.504057678910113,6.504057678910113,17.523030551298604,-2.2764211101583554
entry,symbol,NVDA,1,1,0,1,0,1,0,100.0,14.292787523026028,14.292787523026028,19.24219243401226,-0.6709201744791837
failure,symbol,NVDA,1,0,1,0,0,0,0,,,,,
confirmation,symbol,GOOGL,2,2,0,1,1,1,0,100.0,3.8035273553150395,3.8035273553150395,4.973593274157495,-11.312828741307579
entry,symbol,GOOGL,2,2,0,1,1,1,0,100.0,3.332132550518363,3.332132550518363,4.908627187154324,-11.367715482861806
failure,symbol,GOOGL,2,2,0,1,1,1,0,100.0,3.332132550518363,3.332132550518363,4.908627187154324,-11.367715482861806
confirmation,symbol,AAOI,1,1,0,1,0,0,1,0.0,-2.0202032527164904,-2.0202032527164904,18.518518042811174,-16.531985593545684
entry,symbol,AAOI,1,1,0,1,0,1,0,100.0,0.2463910425912763,0.2463910425912763,23.900038549792015,-12.741988565038708
failure,symbol,AAOI,1,1,0,1,0,1,0,100.0,19.391636993977855,19.391636993977855,36.31178522470526,-4.448669620663881
confirmation,source_trusted,false,5,5,0,4,1,4,0,100.0,7.846009644259238,7.723924296788921,11.579462722109547,-6.686895143771713
entry,source_trusted,false,5,5,0,4,1,3,0,75.0,7.9580832980492096,7.378413818719942,11.672704570269016,-7.459774142988337
failure,source_trusted,false,5,4,1,3,1,3,0,100.0,11.773863394811258,11.42469508692152,14.464824965194301,-8.211662182532672
confirmation,source_trusted,true,5,5,0,5,0,2,3,40.0,2.2898667196691087,-2.0202032527164904,17.38153220275591,-12.764993584655555
entry,source_trusted,true,5,5,0,5,0,3,1,60.0,6.3574437549778535,0.2463910425912763,20.427229626455382,-11.165795042124996
failure,source_trusted,true,5,3,2,3,0,1,1,33.33333333333333,-1.6387006465071867,-5.577945376105509,13.896833709464113,-13.433206137617338
confirmation,entry_jf,false,10,10,0,9,1,6,3,66.66666666666666,4.7592635750425,3.8035273553150395,14.80283465580197,-10.063616499818291
entry,entry_jf,false,10,10,0,9,1,6,1,66.66666666666666,7.068839107454012,3.332132550518363,16.536329601483665,-9.518674642508705
failure,entry_jf,false,10,7,3,6,1,4,1,66.66666666666666,5.067581374152035,7.378413818719942,14.180829337329207,-10.822434160075003
confirmation,entry_jf,true,0,0,0,0,0,0,0,,,,,
entry,entry_jf,true,0,0,0,0,0,0,0,,,,,
failure,entry_jf,true,0,0,0,0,0,0,0,,,,,
confirmation,component,B_BASE_BULL,1,1,0,1,0,0,1,0.0,-2.0202032527164904,-2.0202032527164904,18.518518042811174,-16.531985593545684
