group_by,group,trades,observed_exits,unobserved_exits,original_wins,original_win_rate_pct,mean_original_return_pct,median_original_return_pct,failed_trades,no_failure,entry_failures,recovered_trades,unrecovered_failed,median_bars_to_failure,median_failure_to_recovery_bars
all,all,10,10,0,5,50.0,8.545813202459852,1.6163959319473398,7,3,4,5,2,0.0,4.0
symbol,TQQQ,1,1,0,1,100.0,44.928508277909906,44.928508277909906,0,1,0,0,0,,
symbol,MSFT,1,1,0,0,0.0,-0.061988349906882956,-0.061988349906882956,0,1,0,0,0,,
symbol,NFLX,0,0,0,0,,,,0,0,0,0,0,,
symbol,YINN,1,1,0,0,0.0,-10.97577608363295,-10.97577608363295,1,0,1,1,0,0.0,3.0
symbol,SNOW,1,1,0,0,0.0,-27.047831583052417,-27.047831583052417,1,0,0,0,1,2.0,
symbol,TSLA,1,1,0,0,0.0,-8.078611631424504,-8.078611631424504,1,0,1,1,0,0.0,59.0
symbol,MRNA,1,1,0,1,100.0,57.40207017947048,57.40207017947048,1,0,1,1,0,0.0,15.0
symbol,NVDA,1,1,0,1,100.0,14.06175833620351,14.06175833620351,0,1,0,0,0,,
symbol,GOOGL,2,2,0,1,50.0,5.967611332614915,5.967611332614915,2,0,1,1,1,2.5,3.0
symbol,AAOI,1,1,0,1,100.0,3.2947802138015625,3.2947802138015625,1,0,0,1,0,7.0,4.0
source_trusted,false,5,5,0,2,40.0,11.659905682232097,-0.061988349906882956,4,1,3,3,1,0.0,3.0
source_trusted,true,5,5,0,3,60.0,5.431720722687611,3.2947802138015625,3,2,1,2,1,2.0,31.5
entry_jf,false,10,10,0,5,50.0,8.545813202459852,1.6163959319473398,7,3,4,5,2,0.0,4.0
entry_jf,true,0,0,0,0,,,,0,0,0,0,0,,
component,B_BASE_BULL,1,1,0,1,100.0,3.2947802138015625,3.2947802138015625,1,0,0,1,0,7.0,4.0
component,B_STAGE_COMPONENT,5,5,0,1,20.0,-6.833399326576009,-8.078611631424504,5,0,3,3,2,0.0,3.0
component,B_BEAR_RECOVER,4,4,0,3,75.0,29.082587110919253,29.495133307056708,1,3,1,1,0,0.0,15.0
component,B_CRASH_RECOVER,0,0,0,0,,,,0,0,0,0,0,,
component,multiple,0,0,0,0,,,,0,0,0,0,0,,
component,none,0,0,0,0,,,,0,0,0,0,0,,
first_failure,none,3,3,0,2,66.66666666666666,19.64275942140218,14.06175833620351,0,3,0,0,0,,
first_failure,entry,4,4,0,2,50.0,14.397328526416576,5.581510004914387,4,0,4,4,0,0.0,9.0
first_failure,later,3,3,0,1,33.33333333333333,-10.353153448424766,-7.306408976023448,3,0,0,1,2,5.0,4.0
recovery,no_failure,3,3,0,2,66.66666666666666,19.64275942140218,14.06175833620351,0,3,0,0,0,,
recovery,unrecovered,2,2,0,0,0.0,-17.17712027953793,-17.17712027953793,2,0,0,0,2,3.5,
recovery,recovered,5,5,0,3,60.0,12.176818863893573,3.2947802138015625,5,0,4,5,0,0.0,4.0
exit_reason,signal,5,5,0,3,60.0,14.018259654807062,14.06175833620351,2,3,2,2,0,0.0,31.0
exit_reason,trail,4,4,0,2,50.0,5.668310681646669,-3.8404979349156934,4,0,2,3,1,1.0,4.0
exit_reason,terminal,1,1,0,0,0.0,-7.306408976023448,-7.306408976023448,1,0,0,0,1,5.0,
exit_reason,unobserved,0,0,0,0,,,,0,0,0,0,0,,
