symbol,trade_id,setup_date,confirmation_date,entry_date,setup_high,entry_open,source_trusted,entry_jf,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,exit_observed,exit_date,exit_reason,exit_price,hold_bars,return_pct,trade_win
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,True,2026-06-10,signal,71.5153377892768,42,44.928508277909906,True
MSFT,MSFT:2026-04-15,2026-04-13,2026-04-14,2026-04-15,384.5400085449219,398.0,False,False,False,False,True,False,True,2026-06-10,signal,398.5499877929687,39,-0.061988349906882956,False
YINN,YINN:2025-12-29,2025-12-19,2025-12-26,2025-12-29,44.34000015258789,42.5099983215332,False,False,False,True,False,False,True,2026-02-27,trail,37.91999816894531,41,-10.97577608363295,False
SNOW,SNOW:2026-01-07,2026-01-05,2026-01-06,2026-01-07,227.3999938964844,234.0,True,False,False,True,False,False,True,2026-02-04,trail,171.0500030517578,19,-27.047831583052417,False
TSLA,TSLA:2026-02-12,2026-02-10,2026-02-11,2026-02-12,427.25,430.2999877929687,True,False,False,True,False,False,True,2026-06-08,signal,396.3299865722656,79,-8.078611631424504,False
MRNA,MRNA:2025-11-13,2025-11-11,2025-11-12,2025-11-13,26.6200008392334,26.11000061035156,False,False,False,False,True,False,True,2026-02-06,trail,41.18000030517578,57,57.40207017947048,True
NVDA,NVDA:2026-04-08,2026-04-06,2026-04-07,2026-04-08,177.58301630024127,184.2852230345028,True,False,False,False,True,False,True,2026-06-09,signal,210.6199951171875,43,14.06175833620351,True
GOOGL,GOOGL:2026-03-12,2026-03-09,2026-03-11,2026-03-12,306.79998779296875,306.82000732421875,False,False,False,True,False,False,True,2026-06-02,signal,366.5899963378906,56,19.241631641253278,True
GOOGL,GOOGL:2026-08-04,2026-07-31,2026-08-03,2026-08-04,358.5799865722656,368.2200012207031,False,False,False,True,False,False,True,2026-08-26,terminal,342.0,17,-7.306408976023448,False
AAOI,AAOI:2025-09-16,2025-09-10,2025-09-15,2025-09-16,28.030000686645508,29.700000762939453,True,False,True,False,False,False,True,2025-11-05,trail,30.739999771118164,36,3.2947802138015625,True
