symbol,trade_id,setup_date,confirmation_date,entry_date,setup_high,entry_open,source_trusted,entry_jf,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,first_failure_date,first_recovery_date,failed,failure_on_entry,recovered,bars_to_failure,bars_to_recovery,failure_to_recovery_bars,observed_bars,observation_end_date
TQQQ,TQQQ:2023-01-12,2023-01-10,2023-01-11,2023-01-12,8.855607986450195,9.348915741982776,True,False,False,False,True,False,,,False,False,False,,,,12,2023-01-30
TQQQ,TQQQ:2023-10-10,2023-10-06,2023-10-09,2023-10-10,18.278077499152904,18.433263727541377,True,False,False,True,False,False,2023-10-19,,True,False,False,7,,,13,2023-10-26
TQQQ,TQQQ:2024-05-06,2024-04-26,2024-05-03,2024-05-06,27.31175680707246,28.06947194188976,True,False,False,True,False,False,,,False,False,False,,,,52,2024-07-19
MSFT,MSFT:2022-02-01,2022-01-24,2022-01-31,2022-02-01,297.1099853515625,310.4100036621094,False,False,True,False,False,False,2022-02-11,2022-03-02,True,False,True,8,20,12,92,2022-06-13
MSFT,MSFT:2023-04-28,2023-04-26,2023-04-27,2023-04-28,299.57000732421875,304.010009765625,False,False,True,False,False,False,,,False,False,False,,,,334,2024-08-26
NFLX,NFLX:2022-12-02,2022-11-30,2022-12-01,2022-12-02,30.826000213623047,31.048999786376953,False,False,True,False,False,False,2022-12-15,2023-01-04,True,False,True,9,21,12,54,2023-02-21
NFLX,NFLX:2023-03-27,2023-03-23,2023-03-24,2023-03-27,32.27799987792969,32.755001068115234,False,False,True,False,False,False,2023-04-25,2023-05-08,True,False,True,20,29,9,85,2023-07-27
NFLX,NFLX:2023-10-25,2023-10-19,2023-10-24,2023-10-25,40.89500045776367,41.60200119018555,False,False,True,False,False,False,,,False,False,False,,,,210,2024-08-26
YINN,YINN:2022-11-08,2022-11-04,2022-11-07,2022-11-08,28.809999465942383,28.59000015258789,False,False,False,False,True,True,2022-11-09,2022-11-10,True,False,True,1,2,1,21,2022-12-07
YINN,YINN:2023-01-04,2022-12-29,2023-01-03,2023-01-04,49.900001525878906,56.5,False,False,False,False,True,False,,,False,False,False,,,,23,2023-02-06
YINN,YINN:2023-06-14,2023-06-06,2023-06-13,2023-06-14,38.08000183105469,38.65999984741211,False,False,False,False,True,False,,,False,False,False,,,,4,2023-06-20
YINN,YINN:2023-10-12,2023-10-10,2023-10-11,2023-10-12,29.959999084472656,31.0,False,False,False,False,True,False,2023-10-13,2023-11-15,True,False,True,1,24,23,34,2023-11-29
YINN,YINN:2024-01-02,2023-12-28,2023-12-29,2024-01-02,20.86000061035156,19.420000076293945,False,False,False,False,False,True,2024-01-02,,True,True,False,0,,,10,2024-01-16
SNOW,SNOW:2021-12-09,2021-12-02,2021-12-08,2021-12-09,361.5989990234375,370.0,True,False,True,False,False,False,2021-12-09,2021-12-10,True,True,True,0,1,1,19,2022-01-05
SNOW,SNOW:2023-01-13,2023-01-11,2023-01-12,2023-01-13,141.06500244140625,139.3000030517578,True,False,False,False,True,False,2023-01-19,2023-01-20,True,False,True,3,4,1,15,2023-02-03
SNOW,SNOW:2023-09-01,2023-08-30,2023-08-31,2023-09-01,156.74000549316406,158.10000610351562,True,False,False,True,False,False,2023-09-21,2023-10-06,True,False,True,13,24,11,86,2024-01-04
SNOW,SNOW:2024-06-28,2024-06-26,2024-06-27,2024-06-28,130.82000732421875,133.5500030517578,True,False,False,False,False,True,2024-07-18,,True,False,False,13,,,26,2024-08-05
TSLA,TSLA:2022-12-05,2022-11-30,2022-12-02,2022-12-05,194.7599945068359,189.44000244140625,True,False,False,False,True,False,2022-12-05,,True,True,False,0,,,12,2022-12-20
TSLA,TSLA:2023-01-18,2023-01-09,2023-01-17,2023-01-18,123.5199966430664,136.55999755859375,True,False,False,False,False,True,,,False,False,False,,,,18,2023-02-10
TSLA,TSLA:2024-04-30,2024-04-25,2024-04-29,2024-04-30,170.8800048828125,186.97999572753903,True,False,False,False,True,False,2024-06-11,2024-06-12,True,False,True,29,30,1,50,2024-07-11
GOOGL,GOOGL:2022-02-02,2022-01-31,2022-02-01,2022-02-02,135.47300720214844,151.25,False,False,False,True,False,False,2022-02-11,2022-02-15,True,False,True,7,9,2,59,2022-04-27
GOOGL,GOOGL:2024-03-15,2024-03-13,2024-03-14,2024-03-15,141.08999633789062,142.5,False,False,False,True,False,False,,,False,False,False,,,,113,2024-08-26
AAOI,AAOI:2023-01-13,2023-01-09,2023-01-12,2023-01-13,2.2799999713897705,2.3299999237060547,True,False,False,False,True,False,,,False,False,False,,,,4,2023-01-19
AAOI,AAOI:2024-07-11,2024-07-08,2024-07-10,2024-07-11,8.770000457763672,9.350000381469728,True,False,False,False,False,True,,,False,False,False,,,,10,2024-07-24
AAOI,AAOI:2024-08-20,2024-08-15,2024-08-19,2024-08-20,8.59000015258789,8.59000015258789,True,False,False,False,True,False,,,False,False,False,,,,5,2024-08-26
