clock,group_by,group,cohort_trades,events,without_clock,complete,incomplete,wins,interference,win_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
confirmation,all,all,25,25,0,24,1,13,10,54.166666666666664,3.358160291419143,0.22439754920489108,16.342577776160805,-12.800065088439366
entry,all,all,25,25,0,24,1,11,11,45.83333333333333,3.92139752426095,-2.062641789910069,16.625076445855726,-12.230578607826297
failure,all,all,25,14,11,14,0,7,6,50.0,5.443269988320728,-0.40691533140728153,17.813193433360905,-12.339124605207337
confirmation,symbol,TQQQ,3,3,0,3,0,3,0,100.0,11.5172864506717,9.961668597272189,20.607588584018234,-8.391635583425371
entry,symbol,TQQQ,3,3,0,3,0,3,0,100.0,10.981287828739342,8.327648194256865,19.76980267874755,-8.997312049471576
failure,symbol,TQQQ,3,1,2,1,0,1,0,100.0,21.424599402758272,21.424599402758272,23.254514560518746,-14.217328589985833
confirmation,symbol,MSFT,2,2,0,2,0,1,1,50.0,1.1132469529261004,1.1132469529261004,4.523348689006468,-6.379427690479778
entry,symbol,MSFT,2,2,0,2,0,1,1,50.0,2.697512645637545,2.697512645637545,5.191520143438201,-6.7356131369805565
failure,symbol,MSFT,2,1,1,1,0,0,1,0.0,-5.899168472058969,-5.899168472058969,3.186171569317464,-8.091360555065286
confirmation,symbol,NFLX,3,3,0,3,0,2,1,66.66666666666666,3.1954764473569894,0.44878447362943774,9.538417743713476,-6.780559180881725
entry,symbol,NFLX,3,3,0,3,0,1,1,33.33333333333333,2.769810569685801,-1.0764826585466736,9.91477526453861,-6.832872256529877
failure,symbol,NFLX,3,2,1,2,0,2,0,100.0,11.874393461461363,11.874393461461363,16.77349876308117,-3.550997805416528
confirmation,symbol,YINN,5,5,0,5,0,3,2,60.0,11.215975470405445,3.724776596980184,23.514411881492457,-17.25098969875527
entry,symbol,YINN,5,5,0,5,0,2,3,40.0,7.0084096779888085,-10.0456577870776,23.97643271414335,-15.85380260862311
failure,symbol,YINN,5,3,2,3,0,1,2,33.33333333333333,12.283878466174054,-9.243397966720101,26.06145955236082,-15.95795609144029
confirmation,symbol,SNOW,4,4,0,4,0,1,2,25.0,-3.3850926509683443,-3.389125458374126,12.2316286763585,-10.651834564903936
entry,symbol,SNOW,4,4,0,4,0,1,3,25.0,-3.133801079847773,-4.804031684108767,11.599846857298779,-11.201256979933707
failure,symbol,SNOW,4,4,0,4,0,2,2,50.0,0.49988238424397136,-0.40691533140728153,11.965558826896512,-11.550734088362788
confirmation,symbol,TSLA,3,3,0,3,0,1,2,33.33333333333333,1.6070340015565392,-5.471171227560534,19.93230184732121,-21.339483667050313
entry,symbol,TSLA,3,3,0,3,0,1,1,33.33333333333333,9.288089373081668,-3.1923063508756844,24.35804923642013,-17.46859749348947
failure,symbol,TSLA,3,2,1,2,0,1,1,50.0,1.781342044575343,1.781342044575343,29.85465425720114,-21.51470676267393
confirmation,symbol,MRNA,0,0,0,0,0,0,0,,,,,
entry,symbol,MRNA,0,0,0,0,0,0,0,,,,,
failure,symbol,MRNA,0,0,0,0,0,0,0,,,,,
confirmation,symbol,NVDA,0,0,0,0,0,0,0,,,,,
entry,symbol,NVDA,0,0,0,0,0,0,0,,,,,
failure,symbol,NVDA,0,0,0,0,0,0,0,,,,,
confirmation,symbol,GOOGL,2,2,0,2,0,1,1,50.0,-0.16969468121046916,-0.16969468121046916,6.315558678139043,-9.559725329584529
entry,symbol,GOOGL,2,2,0,2,0,1,1,50.0,-1.9485030174828388,-1.9485030174828388,5.268362236610413,-7.97243656293632
failure,symbol,GOOGL,2,1,1,1,0,0,0,0.0,-5.482287041780587,-5.482287041780587,3.641101931983348,-6.230841563898615
confirmation,symbol,AAOI,3,3,0,2,1,1,1,50.0,-6.395077498140678,-6.395077498140678,26.905276627756614,-18.46296701747591
entry,symbol,AAOI,3,3,0,2,1,1,1,50.0,0.49555697044000313,0.49555697044000313,24.836318700704716,-20.07370041333712
failure,symbol,AAOI,3,0,3,0,0,0,0,,,,,
confirmation,source_trusted,false,12,12,0,12,0,7,5,58.333333333333336,5.629450936460788,2.086780535304811,13.988760614407807,-11.539577673045843
entry,source_trusted,false,12,12,0,12,0,5,6,41.66666666666667,3.7374582796092373,-2.062641789910069,14.212187843702482,-10.765310767711577
failure,source_trusted,false,12,7,5,7,0,3,3,42.857142857142854,7.03128097251505,-5.482287041780587,16.936949954935088,-9.899723714873975
confirmation,source_trusted,true,13,13,0,12,1,6,5,50.0,1.086869646377499,-1.685637200351059,18.696394937913794,-14.060552503832886
entry,source_trusted,true,13,13,0,12,1,6,5,50.0,4.105336768912662,-1.4163772255000318,19.037965048008964,-13.695846447941017
failure,source_trusted,true,13,7,6,7,0,4,3,57.14285714285714,3.855259004126406,1.327430016604092,18.689436911786725,-14.778525495540693
confirmation,entry_jf,false,25,25,0,24,1,13,10,54.166666666666664,3.358160291419143,0.22439754920489108,16.342577776160805,-12.800065088439366
entry,entry_jf,false,25,25,0,24,1,11,11,45.83333333333333,3.92139752426095,-2.062641789910069,16.625076445855726,-12.230578607826297
failure,entry_jf,false,25,14,11,14,0,7,6,50.0,5.443269988320728,-0.40691533140728153,17.813193433360905,-12.339124605207337
confirmation,entry_jf,true,0,0,0,0,0,0,0,,,,,
entry,entry_jf,true,0,0,0,0,0,0,0,,,,,
failure,entry_jf,true,0,0,0,0,0,0,0,,,,,
confirmation,component,B_BASE_BULL,6,6,0,6,0,3,3,50.0,-1.3154138578735874,-2.2658611816780025,6.604019235112273,-9.30053927105124
entry,component,B_BASE_BULL,6,6,0,6,0,2,3,33.33333333333333,-0.6609791136908646,-2.062641789910069,7.295037651035564,-9.233069078687029
failure,component,B_BASE_BULL,6,4,2,4,0,2,2,50.0,0.04482169209651943,2.4384498464893376,10.094007230300239,-9.155481898617444
confirmation,component,B_STAGE_COMPONENT,5,5,0,5,0,3,2,60.0,1.2502009668298264,1.062478034441483e-05,8.568428621205047,-9.959010762534689
entry,component,B_STAGE_COMPONENT,5,5,0,5,0,3,2,60.0,0.3016082574316803,0.35955189987562086,7.384467628369248,-9.828505091993035
failure,component,B_STAGE_COMPONENT,5,3,2,3,0,2,0,66.66666666666666,5.756580792527259,1.327430016604092,12.269479412955532,-8.935989135357659
confirmation,component,B_BEAR_RECOVER,10,10,0,9,1,6,3,66.66666666666666,8.848813150125993,12.943286708039569,23.419203235142255,-14.140436237771869
entry,component,B_BEAR_RECOVER,10,10,0,9,1,5,3,55.55555555555556,6.969577351897204,8.641976641062987,23.097995246282682,-13.347897310188726
failure,component,B_BEAR_RECOVER,10,5,5,5,0,3,2,60.0,16.28486503033585,20.48369188226813,32.69779747550708,-12.595190007822998
confirmation,component,B_CRASH_RECOVER,5,5,0,5,0,2,2,40.0,13.929883354570473,-3.4069658912657896,34.06728081961395,-17.001481915076948
entry,component,B_CRASH_RECOVER,5,5,0,5,0,2,3,40.0,19.912104385650444,-6.325910596209128,38.4012540212633,-14.839830548747614
failure,component,B_CRASH_RECOVER,5,3,2,3,0,1,2,33.33333333333333,14.651257561941206,-2.141260679418655,25.688703194217577,-16.025138274212473
confirmation,component,multiple,1,1,0,1,0,1,0,100.0,67.05140981683448,67.05140981683448,71.35362510318963,-10.66806303176766
entry,component,multiple,1,1,0,1,0,1,0,100.0,65.71534411807747,65.71534411807747,81.57895667038287,-5.337281879692812
failure,component,multiple,1,1,0,1,0,1,0,100.0,66.62134714698054,66.62134714698054,68.35485605320298,-1.7335153893924815
confirmation,component,none,0,0,0,0,0,0,0,,,,,
entry,component,none,0,0,0,0,0,0,0,,,,,
failure,component,none,0,0,0,0,0,0,0,,,,,
confirmation,first_failure,none,11,11,0,10,1,9,1,90.0,13.045713916954824,12.210814848286688,24.43751602888157,-7.801208291128601
entry,first_failure,none,11,11,0,10,1,8,2,80.0,13.065481037805572,8.54290142680577,23.8682312384945,-8.088601156337663
failure,first_failure,none,11,0,11,0,0,0,0,,,,,
confirmation,first_failure,entry,3,3,0,3,0,0,3,0.0,-27.78093229147378,-20.700311235687895,2.005923709196774,-32.82172987317961
entry,first_failure,entry,3,3,0,3,0,0,3,0.0,-25.162778627466803,-20.52631378173827,3.4507302787156156,-31.053429095905653
failure,first_failure,entry,3,3,0,3,0,0,3,0.0,-25.162778627466803,-20.52631378173827,3.4507302787156156,-31.053429095905653
confirmation,first_failure,later,11,11,0,11,0,4,6,36.36363636363637,3.0437731544484126,-3.4069658912657896,12.893539564677564,-11.884026326519994
entry,first_failure,later,11,11,0,11,0,3,6,27.27272727272727,3.5406423715097715,-3.1923063508756844,13.633393770858685,-10.862507976067052
failure,first_failure,later,11,11,0,11,0,7,3,63.63636363636363,13.790374156262782,10.776068165037644,21.730228839173257,-7.235223380471428
confirmation,recovery,no_failure,11,11,0,10,1,9,1,90.0,13.045713916954824,12.210814848286688,24.43751602888157,-7.801208291128601
entry,recovery,no_failure,11,11,0,10,1,8,2,80.0,13.065481037805572,8.54290142680577,23.8682312384945,-8.088601156337663
failure,recovery,no_failure,11,0,11,0,0,0,0,,,,,
confirmation,recovery,unrecovered,4,4,0,4,0,1,2,25.0,-16.76108643643552,-12.053638563476841,4.772355661806892,-25.406767306525374
entry,recovery,unrecovered,4,4,0,4,0,1,3,25.0,-15.946090724064057,-13.426112188973699,3.861197474752026,-25.687871207432178
failure,recovery,unrecovered,4,4,0,4,0,1,3,25.0,-9.633666369145777,-11.333787230578462,8.326668909620032,-25.704314416028637
confirmation,recovery,recovered,10,10,0,10,0,3,7,30.0,1.7183053570253306,-5.004020250541979,12.875728369181596,-12.756240998515725
entry,recovery,recovered,10,10,0,10,0,2,6,20.0,2.7243093100463325,-3.2372295614420454,14.48747324165843,-10.98963901947258
failure,recovery,recovered,10,10,0,10,0,6,3,60.0,11.474044531307328,6.051749090820868,21.60780324285726,-6.993048680878812
confirmation,exit_reason,signal,11,11,0,11,0,8,3,72.72727272727273,15.619398388901978,9.961668597272189,24.979924280191916,-8.332206796324416
entry,exit_reason,signal,11,11,0,11,0,6,3,54.54545454545454,15.0525974169233,8.327648194256865,25.569833004102122,-8.114338776992309
failure,exit_reason,signal,11,6,5,6,0,6,0,100.0,25.5059384126851,16.728205320076604,33.52446665993086,-2.918841099097687
confirmation,exit_reason,trail,10,10,0,10,0,2,7,20.0,-12.327743085926745,-12.352262139479276,8.281550633374408,-20.86800811176287
entry,exit_reason,trail,10,10,0,10,0,2,8,20.0,-10.029747512573921,-7.876753819270322,8.398595002124685,-19.75703826338134
failure,exit_reason,trail,10,8,2,8,0,1,6,12.5,-9.603731329952554,-7.571283219389535,6.029738513433438,-19.40433723478957
confirmation,exit_reason,terminal,4,4,0,3,1,3,0,100.0,10.686631858468365,10.687716300027406,11.542397737334696,-2.289068748449171
entry,exit_reason,terminal,4,4,0,3,1,3,0,100.0,9.610814707281904,8.443826212548554,11.249240544722404,-2.2352591357007916
failure,exit_reason,terminal,4,0,4,0,0,0,0,,,,,
confirmation,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
entry,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
failure,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
