group_by,group,trades,observed_exits,unobserved_exits,original_wins,original_win_rate_pct,mean_original_return_pct,median_original_return_pct,failed_trades,no_failure,entry_failures,recovered_trades,unrecovered_failed,median_bars_to_failure,median_failure_to_recovery_bars
all,all,25,25,0,14,56.00000000000001,7.3765837959599425,8.481864091411184,14,11,3,10,4,7.0,5.5
symbol,TQQQ,3,3,0,2,66.66666666666666,7.862911872344431,12.172843726286352,1,2,0,0,1,7.0,
symbol,MSFT,2,2,0,1,50.0,7.071823888481051,7.071823888481051,1,1,0,1,0,8.0,12.0
symbol,NFLX,3,3,0,3,100.0,33.416352293620236,26.615563913745355,2,1,0,2,0,14.5,10.5
symbol,YINN,5,5,0,2,40.0,2.2121201896599785,-7.5571202234804735,3,2,1,2,1,1.0,12.0
symbol,SNOW,4,4,0,2,50.0,-1.0030999809656493,0.056523891599147724,4,0,1,3,1,8.0,1.0
symbol,TSLA,3,3,0,2,66.66666666666666,13.783103094108329,25.85765548340815,2,1,1,1,1,14.5,1.0
symbol,MRNA,0,0,0,0,,,,0,0,0,0,0,,
symbol,NVDA,0,0,0,0,,,,0,0,0,0,0,,
symbol,GOOGL,2,2,0,1,50.0,-3.407421826704576,-3.407421826704576,1,1,0,1,0,7.0,2.0
symbol,AAOI,3,3,0,1,33.33333333333333,1.616829323596436,-1.91320485993266,0,3,0,0,0,,
source_trusted,false,12,12,0,7,58.333333333333336,9.886538496059464,5.077161187781531,7,5,1,6,1,7.0,10.5
source_trusted,true,13,13,0,7,53.84615384615385,5.059702534329615,11.76681414720866,7,6,2,4,3,7.0,1.0
entry_jf,false,25,25,0,14,56.00000000000001,7.3765837959599425,8.481864091411184,14,11,3,10,4,7.0,5.5
entry_jf,true,0,0,0,0,,,,0,0,0,0,0,,
component,B_BASE_BULL,6,6,0,4,66.66666666666666,15.626342870623466,17.54871400257827,4,2,1,4,0,8.5,10.5
component,B_STAGE_COMPONENT,5,5,0,3,60.0,4.222049592871786,16.370420922658813,3,2,0,2,1,7.0,6.5
component,B_BEAR_RECOVER,10,10,0,6,60.0,7.37697240715722,6.71963621568027,5,5,1,4,1,1.0,1.0
component,B_CRASH_RECOVER,5,5,0,2,40.0,12.91769767599049,-5.003121316486691,3,2,1,1,2,1.0,1.0
component,multiple,1,1,0,1,100.0,68.81192274062582,68.81192274062582,1,0,0,1,0,1.0,1.0
component,none,0,0,0,0,,,,0,0,0,0,0,,
first_failure,none,11,11,0,8,72.72727272727273,18.08949287732705,12.172843726286352,0,11,0,0,0,,
first_failure,entry,3,3,0,0,0.0,-24.734111838344756,-26.593404828411128,3,0,3,1,2,0.0,1.0
first_failure,later,11,11,0,6,54.54545454545454,5.421137160312296,8.481864091411184,11,0,0,9,2,8.0,9.0
recovery,no_failure,11,11,0,8,72.72727272727273,18.08949287732705,12.172843726286352,0,11,0,0,0,,
recovery,unrecovered,4,4,0,0,0.0,-21.24536257169557,-21.838039307633817,4,0,2,0,4,3.5,
recovery,recovered,10,10,0,6,60.0,7.0411623535183265,11.463000146791513,10,0,1,10,0,7.5,5.5
exit_reason,signal,11,11,0,9,81.81818181818183,21.273316827835284,16.50919972702114,6,5,0,6,0,11.0,5.0
exit_reason,trail,10,10,0,1,10.0,-17.86208319423173,-21.115538723338005,8,2,3,4,4,4.0,7.0
exit_reason,terminal,4,4,0,4,100.0,32.25723543378193,26.055249356107446,0,4,0,0,0,,
exit_reason,unobserved,0,0,0,0,,,,0,0,0,0,0,,
