symbol,trade_id,setup_date,confirmation_date,entry_date,setup_high,entry_open,source_trusted,entry_jf,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,exit_observed,exit_date,exit_reason,exit_price,hold_bars,return_pct,trade_win
TQQQ,TQQQ:2023-01-12,2023-01-10,2023-01-11,2023-01-12,8.855607986450195,9.348915741982776,True,False,False,False,True,False,True,2023-01-31,signal,10.50795003748145,12,12.172843726286352,True
TQQQ,TQQQ:2023-10-10,2023-10-06,2023-10-09,2023-10-10,18.278077499152904,18.433263727541377,True,False,False,True,False,False,True,2023-10-27,trail,15.314984069850167,13,-17.082673786856507,False
TQQQ,TQQQ:2024-05-06,2024-04-26,2024-05-03,2024-05-06,27.31175680707246,28.06947194188976,True,False,False,True,False,False,True,2024-07-22,signal,36.141114927345455,52,28.498565677603448,True
MSFT,MSFT:2022-02-01,2022-01-24,2022-01-31,2022-02-01,297.1099853515625,310.4100036621094,False,False,True,False,False,False,True,2022-06-14,trail,243.86000061035156,92,-21.59643001259398,False
MSFT,MSFT:2023-04-28,2023-04-26,2023-04-27,2023-04-28,299.57000732421875,304.010009765625,False,False,True,False,False,False,True,2024-08-26,terminal,413.489990234375,334,35.74007778955608,True
NFLX,NFLX:2022-12-02,2022-11-30,2022-12-01,2022-12-02,30.826000213623047,31.048999786376953,False,False,True,False,False,False,True,2023-02-22,signal,33.75,54,8.481864091411184,True
NFLX,NFLX:2023-03-27,2023-03-23,2023-03-24,2023-03-27,32.27799987792969,32.755001068115234,False,False,True,False,False,False,True,2023-07-28,signal,41.555999755859375,85,26.615563913745355,True
NFLX,NFLX:2023-10-25,2023-10-19,2023-10-24,2023-10-25,40.89500045776367,41.60200119018555,False,False,True,False,False,False,True,2024-08-26,terminal,68.84400177001953,210,65.15162887570418,True
YINN,YINN:2022-11-08,2022-11-04,2022-11-07,2022-11-08,28.809999465942383,28.59000015258789,False,False,False,False,True,True,True,2022-12-08,signal,48.36000061035156,21,68.81192274062582,True
YINN,YINN:2023-01-04,2022-12-29,2023-01-03,2023-01-04,49.900001525878906,56.5,False,False,False,False,True,False,True,2023-02-07,trail,57.560001373291016,23,1.6724582841518787,True
YINN,YINN:2023-06-14,2023-06-06,2023-06-13,2023-06-14,38.08000183105469,38.65999984741211,False,False,False,False,True,False,True,2023-06-21,signal,35.810001373291016,4,-7.5571202234804735,False
YINN,YINN:2023-10-12,2023-10-10,2023-10-11,2023-10-12,29.959999084472656,31.0,False,False,False,False,True,False,True,2023-11-30,trail,23.329999923706055,34,-24.892376600456224,False
YINN,YINN:2024-01-02,2023-12-28,2023-12-29,2024-01-02,20.86000061035156,19.420000076293945,False,False,False,False,False,True,True,2024-01-17,trail,14.210000038146973,10,-26.9742832525411,False
SNOW,SNOW:2021-12-09,2021-12-02,2021-12-08,2021-12-09,361.5989990234375,370.0,True,False,True,False,False,False,True,2022-01-06,trail,294.239990234375,19,-20.634647434082034,False
SNOW,SNOW:2023-01-13,2023-01-11,2023-01-12,2023-01-13,141.06500244140625,139.3000030517578,True,False,False,False,True,False,True,2023-02-06,signal,159.74000549316406,15,14.444136202171842,True
SNOW,SNOW:2023-09-01,2023-08-30,2023-08-31,2023-09-01,156.74000549316406,158.10000610351562,True,False,False,True,False,False,True,2024-01-05,signal,184.57000732421875,86,16.50919972702114,True
SNOW,SNOW:2024-06-28,2024-06-26,2024-06-27,2024-06-28,130.82000732421875,133.5500030517578,True,False,False,False,False,True,True,2024-08-06,trail,114.63999938964844,26,-14.331088418973547,False
TSLA,TSLA:2022-12-05,2022-11-30,2022-12-02,2022-12-05,194.7599945068359,189.44000244140625,True,False,False,False,True,False,True,2022-12-21,trail,139.33999633789062,12,-26.593404828411128,False
TSLA,TSLA:2023-01-18,2023-01-09,2023-01-17,2023-01-18,123.5199966430664,136.55999755859375,True,False,False,False,False,True,True,2023-02-13,signal,194.4199981689453,18,42.08505862732797,True
TSLA,TSLA:2024-04-30,2024-04-25,2024-04-29,2024-04-30,170.8800048828125,186.97999572753903,True,False,False,False,True,False,True,2024-07-12,signal,235.8000030517578,50,25.85765548340815,True
GOOGL,GOOGL:2022-02-02,2022-01-31,2022-02-01,2022-02-02,135.47300720214844,151.25,False,False,False,True,False,False,True,2022-04-28,trail,116.41500091552734,59,-23.185264576067965,False
GOOGL,GOOGL:2024-03-15,2024-03-13,2024-03-14,2024-03-15,141.08999633789062,142.5,False,False,False,True,False,False,True,2024-08-26,terminal,166.16000366210938,113,16.370420922658813,True
AAOI,AAOI:2023-01-13,2023-01-09,2023-01-12,2023-01-13,2.2799999713897705,2.3299999237060547,True,False,False,False,True,False,True,2023-01-20,signal,2.2899999618530273,4,-1.91320485993266,False
AAOI,AAOI:2024-07-11,2024-07-08,2024-07-10,2024-07-11,8.770000457763672,9.350000381469728,True,False,False,False,False,True,True,2024-07-25,trail,8.899999618530273,10,-5.003121316486691,False
AAOI,AAOI:2024-08-20,2024-08-15,2024-08-19,2024-08-20,8.59000015258789,8.59000015258789,True,False,False,False,True,False,True,2024-08-26,terminal,9.619999885559082,5,11.76681414720866,True
