symbol,signal,date,year,reference_open_date,outcome_date,return20_pct,mfe20_pct,mae20_pct,win,interference,band_position,macd_level,macd_delta,rsi_center,chip_center,quality_score,quality_tier,cv_scheme,fold,fit_events,fit_outcome_end
TQQQ,b,2022-10-24,2022,2022-10-25,2022-11-21,-1.396641556245637,11.499094589521807,-21.554932941575867,False,True,0.19998179554452317,0.9058584903096877,0.19609514177138787,0.5816064014731631,0.29420257100122227,30.291175440514213,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TQQQ,b,2023-01-11,2023,2023-01-12,2023-02-09,24.59018012996257,40.62502238679389,-4.815566840116503,True,False,0.19390176356422828,0.8295358772918878,0.3894098006914956,0.8226658528793933,0.3103601546413756,27.11386052199008,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TQQQ,jf,2022-10-13,2022,2022-10-14,2022-11-10,8.060440166995075,14.05539698231333,-15.113361479610987,True,False,-0.248152732217586,0.018329252875959687,0.13446612538069155,-0.34815459437395446,-0.7585014138861034,50.14991312230017,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TQQQ,s,2023-01-30,2023,2023-01-31,2023-02-28,0.8660142867192855,25.113983300179775,-2.689146470557313,False,True,0.2883192910238344,1.4215667686451559,-0.30017928244524333,0.3518096488842187,0.6905132142384022,66.12308011543104,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TQQQ,s,2023-08-09,2023,2023-08-10,2023-09-07,-0.6886585120778443,6.640401242939542,-13.010343792195933,True,False,-0.5212169000577912,-2.1585074204345407,-0.29411517001555176,-0.9193793053227948,-0.45895327090813337,24.942337392729314,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
MSFT,b,2023-04-27,2023,2023-04-28,2023-05-25,7.207000742837644,7.529352125117961,-0.2302595916400696,True,False,0.7689366118153331,0.08378461600961104,0.7629367230387963,0.9738888794691707,0.7291168363012133,17.635927720562268,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NFLX,b,2022-12-01,2022,2022-12-02,2022-12-30,-5.027533664098516,7.159649547645874,-11.942414276199608,False,True,0.45988313256498287,0.25433200000953665,0.6106350119875043,1.0509249307537276,0.7395743834790074,19.38094952674881,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NFLX,b,2023-03-24,2023,2023-03-27,2023-04-24,0.44878447362943774,6.792851172540426,-3.49565080270523,True,False,0.4889768348689461,0.9966376081569064,0.44755556227071464,0.8202282452003163,0.5718034537841444,24.49685535452471,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NFLX,s,2023-02-21,2023,2023-02-22,2023-03-21,-9.395554154007524,1.3066722728587887,-15.457774974681726,True,False,-0.6849736474492807,-1.7081696863260853,-0.3599734133304144,-0.9498044659095899,-0.30762844883062995,26.90028000786852,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NFLX,s,2023-07-27,2023,2023-07-28,2023-08-24,-2.076713272385322,7.1445802951736415,-4.189530126525021,True,False,-0.4559363962420841,-2.0831733483160413,-0.2856355947862417,-0.9495036574869609,-0.5199776372477185,26.340528761536586,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
