scheme,signal,tier,events,symbols,wins,win_rate_pct,interference,interference_rate_pct
in_sample,all,all,89,10,47,52.80898876404494,39,43.82022471910113
in_sample,all,low,30,10,11,36.666666666666664,17,56.666666666666664
in_sample,all,normal,28,10,15,53.57142857142857,12,42.857142857142854
in_sample,all,high,31,7,21,67.74193548387096,10,32.25806451612903
in_sample,b,all,31,9,14,45.16129032258064,16,51.61290322580645
in_sample,b,low,10,9,3,30.0,7,70.0
in_sample,b,normal,10,6,5,50.0,4,40.0
in_sample,b,high,11,6,6,54.54545454545454,5,45.45454545454545
in_sample,jf,all,23,6,13,56.52173913043478,10,43.47826086956522
in_sample,jf,low,8,3,3,37.5,5,62.5
in_sample,jf,normal,7,3,4,57.14285714285714,3,42.857142857142854
in_sample,jf,high,8,5,6,75.0,2,25.0
in_sample,s,all,35,8,20,57.14285714285714,13,37.142857142857146
in_sample,s,low,12,5,5,41.66666666666667,5,41.66666666666667
in_sample,s,normal,11,6,6,54.54545454545454,5,45.45454545454545
in_sample,s,high,12,5,9,75.0,3,25.0
expanding_time,all,all,55,10,31,56.36363636363636,22,40.0
expanding_time,all,low,16,9,11,68.75,5,31.25
expanding_time,all,normal,23,8,12,52.17391304347826,10,43.47826086956522
expanding_time,all,high,16,7,8,50.0,7,43.75
expanding_time,b,all,25,9,14,56.00000000000001,10,40.0
expanding_time,b,low,7,5,5,71.42857142857143,2,28.57142857142857
expanding_time,b,normal,7,6,4,57.14285714285714,3,42.857142857142854
expanding_time,b,high,11,5,5,45.45454545454545,5,45.45454545454545
expanding_time,jf,all,8,5,5,62.5,3,37.5
expanding_time,jf,low,2,2,1,50.0,1,50.0
expanding_time,jf,normal,5,3,4,80.0,1,20.0
expanding_time,jf,high,1,1,0,0.0,1,100.0
expanding_time,s,all,22,8,12,54.54545454545454,9,40.909090909090914
expanding_time,s,low,7,5,5,71.42857142857143,2,28.57142857142857
expanding_time,s,normal,11,5,4,36.36363636363637,6,54.54545454545454
expanding_time,s,high,4,4,3,75.0,1,25.0
leave_one_symbol,all,all,89,10,47,52.80898876404494,39,43.82022471910113
leave_one_symbol,all,low,31,10,16,51.61290322580645,12,38.70967741935484
leave_one_symbol,all,normal,29,9,16,55.172413793103445,13,44.827586206896555
leave_one_symbol,all,high,29,7,15,51.724137931034484,14,48.275862068965516
leave_one_symbol,b,all,31,9,14,45.16129032258064,16,51.61290322580645
leave_one_symbol,b,low,10,7,4,40.0,5,50.0
leave_one_symbol,b,normal,11,7,4,36.36363636363637,7,63.63636363636363
leave_one_symbol,b,high,10,5,6,60.0,4,40.0
leave_one_symbol,jf,all,23,6,13,56.52173913043478,10,43.47826086956522
leave_one_symbol,jf,low,8,4,4,50.0,4,50.0
leave_one_symbol,jf,normal,7,5,6,85.71428571428571,1,14.285714285714285
leave_one_symbol,jf,high,8,4,3,37.5,5,62.5
leave_one_symbol,s,all,35,8,20,57.14285714285714,13,37.142857142857146
leave_one_symbol,s,low,13,6,8,61.53846153846154,3,23.076923076923077
leave_one_symbol,s,normal,11,7,6,54.54545454545454,5,45.45454545454545
leave_one_symbol,s,high,11,5,6,54.54545454545454,5,45.45454545454545
