symbol,bars,first,last,source_trusted,events,mature,warmup_incomplete,pending
TQQQ,2497,2016-09-21,2026-08-27,True,34,34,0,0
MSFT,2500,2016-09-16,2026-08-27,False,10,10,0,0
NFLX,2500,2016-09-16,2026-08-27,False,22,22,0,0
YINN,2500,2016-09-16,2026-08-27,False,52,51,0,1
SNOW,1494,2020-09-16,2026-08-27,True,27,27,2,0
TSLA,2497,2016-09-21,2026-08-27,True,30,30,1,0
MRNA,1940,2018-12-07,2026-08-27,False,29,29,1,0
NVDA,2496,2016-09-22,2026-08-27,True,22,22,0,0
GOOGL,2500,2016-09-16,2026-08-27,False,13,12,0,1
AAOI,2496,2016-09-22,2026-08-27,True,41,39,0,2
