scheme,signal,candidate,events,symbols,base_win_pct,base_noise_pct,brier,base_brier,brier_gain,logloss,base_logloss,high_events,high_symbols,coverage_pct,high_win_pct,high_noise_pct,win_gain_pp,noise_reduction_pp,high_wilson_low_pct,high_wilson_high_pct,brier_gain_cluster_lower,improved_folds,passed,failures
time,b,cmf,60,10,53.333333333333336,43.333333333333336,0.2612931520131491,0.2599314586479411,-0.0013616933652079932,0.7167569477143517,0.7135685545350031,12,7,20.0,50.0,50.0,-3.3333333333333357,-6.666666666666664,25.37815976337061,74.6218402366294,-0.0263465220680171,3,False,"brier,logloss,win,interference,cluster_uncertainty"
time,b,mfi,60,10,53.333333333333336,43.333333333333336,0.26477836926862036,0.2599314586479411,-0.004846910620679197,0.7237986312525898,0.7135685545350031,9,5,15.0,33.33333333333333,66.66666666666666,-20.000000000000007,-23.33333333333332,12.05838183869109,64.57978644196037,-0.032242034496381675,3,False,"brier,logloss,high_events,coverage,win,interference,cluster_uncertainty"
time,b,obv,60,10,53.333333333333336,43.333333333333336,0.260131659768158,0.2599314586479411,-0.00020020112021685207,0.7137109450823819,0.7135685545350031,6,5,10.0,83.33333333333334,0.0,30.000000000000007,43.333333333333336,43.64971778135299,96.99466302516934,-0.014517105969638438,3,False,"brier,logloss,high_events,coverage,cluster_uncertainty"
time,b,dmi,60,10,53.333333333333336,43.333333333333336,0.25799697260509913,0.2599314586479411,0.0019344860428419702,0.7097163142306318,0.7135685545350031,10,7,16.666666666666668,70.0,30.0,16.666666666666664,13.333333333333336,39.677814746114535,89.2208732593699,-0.024942378687901286,3,False,"brier,high_events,coverage,cluster_uncertainty"
time,b,volatility,60,10,53.333333333333336,43.333333333333336,0.26615047266149033,0.2599314586479411,-0.0062190140135491845,0.7266518879488724,0.7135685545350031,1,1,1.6666666666666667,0.0,100.0,-53.333333333333336,-56.666666666666664,0.0,79.34506856227625,-0.012916032701224652,2,False,"brier,logloss,high_events,high_symbols,coverage,win,interference,time_consistency,cluster_uncertainty"
time,b,equal_ensemble,60,10,53.333333333333336,43.333333333333336,0.2597060395290077,0.2599314586479411,0.00022541911893341713,0.7130215826297067,0.7135685545350031,1,1,1.6666666666666667,100.0,0.0,46.666666666666664,43.333333333333336,20.654931437723747,100.0,-0.01521473828987648,3,False,"brier,high_events,high_symbols,coverage,cluster_uncertainty"
time,jf,cmf,44,9,68.18181818181817,31.818181818181817,0.282290315181763,0.2918014699995716,0.009511154817808657,0.7614295556249041,0.7804981365184482,0,0,0.0,,,,,,,-0.014181133190459017,5,False,"brier,high_events,high_symbols,coverage,win,interference,cluster_uncertainty"
time,jf,mfi,44,9,68.18181818181817,31.818181818181817,0.30136454528867546,0.2918014699995716,-0.009563075289103842,0.8048835385722243,0.7804981365184482,0,0,0.0,,,,,,,-0.046892722085695095,2,False,"brier,logloss,high_events,high_symbols,coverage,win,interference,time_consistency,cluster_uncertainty"
time,jf,obv,44,9,68.18181818181817,31.818181818181817,0.2965570704550721,0.2918014699995716,-0.004755600455500518,0.7910141077208205,0.7804981365184482,0,0,0.0,,,,,,,-0.024723250831846948,1,False,"brier,logloss,high_events,high_symbols,coverage,win,interference,time_consistency,cluster_uncertainty"
time,jf,dmi,44,9,68.18181818181817,31.818181818181817,0.29054722490188395,0.2918014699995716,0.0012542450976876854,0.7780128623683352,0.7804981365184482,0,0,0.0,,,,,,,-0.015462051920101217,3,False,"brier,high_events,high_symbols,coverage,win,interference,cluster_uncertainty"
time,jf,volatility,44,9,68.18181818181817,31.818181818181817,0.297613956256522,0.2918014699995716,-0.005812486256950381,0.8031958410609294,0.7804981365184482,3,2,6.818181818181818,66.66666666666666,33.33333333333333,-1.5151515151515156,-1.515151515151512,20.76596008020477,93.85080552796038,-0.08267954353342827,2,False,"brier,logloss,high_events,high_symbols,coverage,win,interference,time_consistency,cluster_uncertainty"
time,jf,equal_ensemble,44,9,68.18181818181817,31.818181818181817,0.29022928859660924,0.2918014699995716,0.0015721814029623351,0.7766216065472709,0.7804981365184482,0,0,0.0,,,,,,,-0.02473024293052629,2,False,"brier,high_events,high_symbols,coverage,win,interference,time_consistency,cluster_uncertainty"
time,s,cmf,61,10,54.09836065573771,39.34426229508197,0.27727473278193726,0.2708246144824281,-0.006450118299509151,0.7510021145095767,0.7360154539959923,0,0,0.0,,,,,,,-0.03396991068464591,1,False,"brier,logloss,high_events,high_symbols,coverage,win,interference,time_consistency,cluster_uncertainty"
time,s,mfi,61,10,54.09836065573771,39.34426229508197,0.273241347157574,0.2708246144824281,-0.0024167326751459526,0.7415081226929233,0.7360154539959923,1,1,1.639344262295082,0.0,100.0,-54.09836065573771,-60.65573770491803,0.0,79.34506856227625,-0.036345711912994946,3,False,"brier,logloss,high_events,high_symbols,coverage,win,interference,cluster_uncertainty"
time,s,obv,61,10,54.09836065573771,39.34426229508197,0.27400679659177507,0.2708246144824281,-0.003182182109346957,0.7435072327867539,0.7360154539959923,0,0,0.0,,,,,,,-0.021354122602351294,2,False,"brier,logloss,high_events,high_symbols,coverage,win,interference,time_consistency,cluster_uncertainty"
time,s,dmi,61,10,54.09836065573771,39.34426229508197,0.26603512913808,0.2708246144824281,0.004789485344348057,0.7275753640372129,0.7360154539959923,0,0,0.0,,,,,,,-0.021015836947888337,3,False,"brier,high_events,high_symbols,coverage,win,interference,cluster_uncertainty"
time,s,volatility,61,10,54.09836065573771,39.34426229508197,0.2698350998328929,0.2708246144824281,0.0009895146495351812,0.735141504512656,0.7360154539959923,2,2,3.278688524590164,100.0,0.0,45.90163934426229,39.34426229508197,34.2380227506653,100.0,-0.02152714839346641,2,False,"brier,high_events,high_symbols,coverage,time_consistency,cluster_uncertainty"
