scheme,signal,candidate,bin_low,bin_high,events,mean_probability,observed_win_rate
time,b,cmf,0.0,0.2,0,,
time,b,cmf,0.2,0.4,2,0.36902687600953876,0.5
time,b,cmf,0.4,0.6,41,0.5285717095422531,0.5609756097560976
time,b,cmf,0.6,0.8,17,0.6326047498488451,0.47058823529411764
time,b,cmf,0.8,1.0,0,,
time,b,mfi,0.0,0.2,0,,
time,b,mfi,0.2,0.4,2,0.348486625894713,0.5
time,b,mfi,0.4,0.6,44,0.5205575112484074,0.5909090909090909
time,b,mfi,0.6,0.8,14,0.6266255353560937,0.35714285714285715
time,b,mfi,0.8,1.0,0,,
time,b,obv,0.0,0.2,0,,
time,b,obv,0.2,0.4,1,0.38954180311396996,1.0
time,b,obv,0.4,0.6,49,0.5369828528278093,0.5306122448979592
time,b,obv,0.6,0.8,10,0.6276650719852855,0.5
time,b,obv,0.8,1.0,0,,
time,b,dmi,0.0,0.2,0,,
time,b,dmi,0.2,0.4,1,0.39215219109250354,1.0
time,b,dmi,0.4,0.6,40,0.5198853130977605,0.55
time,b,dmi,0.6,0.8,19,0.6282131984363692,0.47368421052631576
time,b,dmi,0.8,1.0,0,,
time,b,volatility,0.0,0.2,0,,
time,b,volatility,0.2,0.4,0,,
time,b,volatility,0.4,0.6,52,0.5408363822376617,0.6153846153846154
time,b,volatility,0.6,0.8,8,0.6334392074021327,0.0
time,b,volatility,0.8,1.0,0,,
time,b,equal_ensemble,0.0,0.2,0,,
time,b,equal_ensemble,0.2,0.4,0,,
time,b,equal_ensemble,0.4,0.6,54,0.541603914612571,0.5740740740740741
time,b,equal_ensemble,0.6,0.8,6,0.6199317406463738,0.16666666666666666
time,b,equal_ensemble,0.8,1.0,0,,
time,jf,cmf,0.0,0.2,0,,
time,jf,cmf,0.2,0.4,19,0.313918835054234,0.5263157894736842
time,jf,cmf,0.4,0.6,25,0.48700355465510226,0.8
time,jf,cmf,0.6,0.8,0,,
time,jf,cmf,0.8,1.0,0,,
time,jf,mfi,0.0,0.2,2,0.19266228162946564,1.0
time,jf,mfi,0.2,0.4,15,0.3452573885992936,0.5333333333333333
time,jf,mfi,0.4,0.6,27,0.4348207596451662,0.7407407407407407
time,jf,mfi,0.6,0.8,0,,
time,jf,mfi,0.8,1.0,0,,
time,jf,obv,0.0,0.2,0,,
time,jf,obv,0.2,0.4,28,0.33279062127308107,0.6428571428571429
time,jf,obv,0.4,0.6,16,0.4772499544493374,0.75
time,jf,obv,0.6,0.8,0,,
time,jf,obv,0.8,1.0,0,,
time,jf,dmi,0.0,0.2,0,,
time,jf,dmi,0.2,0.4,24,0.3285418644173815,0.5833333333333334
time,jf,dmi,0.4,0.6,20,0.4505308046946711,0.8
time,jf,dmi,0.6,0.8,0,,
time,jf,dmi,0.8,1.0,0,,
time,jf,volatility,0.0,0.2,3,0.17015425734822887,0.6666666666666666
time,jf,volatility,0.2,0.4,20,0.3058782248626846,0.6
time,jf,volatility,0.4,0.6,18,0.48977082891735496,0.7777777777777778
time,jf,volatility,0.6,0.8,3,0.6216073544170859,0.6666666666666666
time,jf,volatility,0.8,1.0,0,,
time,jf,equal_ensemble,0.0,0.2,0,,
time,jf,equal_ensemble,0.2,0.4,23,0.33464420645521026,0.6086956521739131
time,jf,equal_ensemble,0.4,0.6,21,0.4582694347860469,0.7619047619047619
time,jf,equal_ensemble,0.6,0.8,0,,
time,jf,equal_ensemble,0.8,1.0,0,,
time,s,cmf,0.0,0.2,0,,
time,s,cmf,0.2,0.4,26,0.34557913787634015,0.6153846153846154
time,s,cmf,0.4,0.6,35,0.44638259159202776,0.4857142857142857
time,s,cmf,0.6,0.8,0,,
time,s,cmf,0.8,1.0,0,,
time,s,mfi,0.0,0.2,0,,
time,s,mfi,0.2,0.4,30,0.3433503859225389,0.5666666666666667
time,s,mfi,0.4,0.6,30,0.4740462533316451,0.5333333333333333
time,s,mfi,0.6,0.8,1,0.6305276177116262,0.0
time,s,mfi,0.8,1.0,0,,
time,s,obv,0.0,0.2,0,,
time,s,obv,0.2,0.4,25,0.349528304229608,0.6
time,s,obv,0.4,0.6,36,0.44018733982608327,0.5
time,s,obv,0.6,0.8,0,,
time,s,obv,0.8,1.0,0,,
time,s,dmi,0.0,0.2,0,,
time,s,dmi,0.2,0.4,35,0.34685397551106684,0.5142857142857142
time,s,dmi,0.4,0.6,26,0.47501919912935203,0.5769230769230769
time,s,dmi,0.6,0.8,0,,
time,s,dmi,0.8,1.0,0,,
time,s,volatility,0.0,0.2,0,,
time,s,volatility,0.2,0.4,32,0.3366527518940463,0.5
time,s,volatility,0.4,0.6,27,0.47771467619948077,0.5555555555555556
time,s,volatility,0.6,0.8,2,0.6150394741388552,1.0
time,s,volatility,0.8,1.0,0,,
