case,rule,symbols,start,end,cost,profit_keep,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered
full5y,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,159.0641809107651,21.062846835890745,14.988696140842784,1.2995444898431363,1.4052487713388542,82,53.65853658536586,-34.38185233852087,2.54671151694289,0.31976095617529876,31,104,60.57692307692307,38.46153846153847,60,55.00000000000001,43.333333333333336,44,68.18181818181817,31.818181818181817,61,54.09836065573771,39.34426229508197,168.0,21.0,72.0,13.0
full5y,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,148.72621409950182,20.07694439913792,15.069963960161614,1.2407807101360537,1.332248998883645,118,55.08474576271186,-34.38185233852088,6.3048487407673885,0.34637450199203185,41,155,60.0,35.483870967741936,111,56.75675675675676,36.93693693693694,44,68.18181818181817,31.818181818181817,61,54.09836065573771,39.34426229508197,169.0,33.0,76.0,19.0
year2021,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2022-08-26,0.001,,-2.5412904317033025,-2.5412904317033025,14.988696140842784,-0.07400575394075609,-0.16954713123968973,18,38.88888888888889,-26.410032710845943,-3.8134392017958207,0.2158730158730159,9,20,40.0,60.0,6,0.0,100.0,14,57.14285714285714,42.857142857142854,7,57.14285714285714,28.57142857142857,,,,
year2021,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2022-08-26,0.001,0.5,-4.780535567694333,-4.780535567694333,15.069963960161614,-0.2842590867414864,-0.3172227604745423,23,52.17391304347826,-26.410032710845943,6.17205366457938,0.19206349206349208,8,25,40.0,56.00000000000001,11,18.181818181818183,72.72727272727273,14,57.14285714285714,42.857142857142854,7,57.14285714285714,28.57142857142857,,,,
year2022,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2022-08-27,2023-08-26,0.001,,21.232004659474235,21.418880666012143,5.055368329372456,1.606704742206523,4.236858576963661,17,58.82352941176471,-34.38185233852087,5.482767351299778,0.1792,5,18,66.66666666666666,33.33333333333333,13,69.23076923076923,30.76923076923077,5,60.0,40.0,12,50.0,50.0,,,,
year2022,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2022-08-27,2023-08-26,0.001,0.5,19.47648976456593,19.646697072768447,5.726930251256879,1.4040232618034587,3.4305808191843483,24,54.166666666666664,-34.38185233852087,3.2699050695402576,0.1812,8,26,61.53846153846154,34.61538461538461,21,61.904761904761905,33.33333333333333,5,60.0,40.0,12,50.0,50.0,,,,
year2023,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2023-08-27,2024-08-26,0.001,,10.04583996807109,10.087817447632052,7.648393532408038,0.9142962647165913,1.3189459204586693,16,56.25,-26.97428325254111,14.068617534933747,0.30199203187250995,6,13,46.15384615384615,46.15384615384615,11,45.45454545454545,45.45454545454545,2,50.0,50.0,7,71.42857142857143,28.57142857142857,,,,
year2023,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2023-08-27,2024-08-26,0.001,0.5,12.779091764654149,12.833140175592161,7.223613805688478,1.0871314257639575,1.7765540241764133,26,57.692307692307686,-26.97428325254111,6.061728049467963,0.3513944223107569,8,27,55.55555555555556,33.33333333333333,25,56.00000000000001,32.0,2,50.0,50.0,7,71.42857142857143,28.57142857142857,,,,
year2024,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2024-08-27,2025-08-26,0.001,,27.106359383333235,27.350489306266603,11.28577658459291,1.4140042904043126,2.423447699966423,17,64.70588235294117,-23.72333142580999,3.7543327154057726,0.3388,5,22,63.63636363636363,36.36363636363637,12,50.0,50.0,10,80.0,20.0,10,50.0,40.0,,,,
year2024,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2024-08-27,2025-08-26,0.001,0.5,40.26229844813205,40.64246803475014,10.533553373266502,1.890645572133978,3.8583815541200153,27,66.66666666666666,-23.72333142580998,9.730072383504606,0.384,8,31,67.74193548387096,32.25806451612903,21,61.904761904761905,38.095238095238095,10,80.0,20.0,10,50.0,40.0,,,,
year2025,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2025-08-27,2026-08-27,0.001,,35.12259868124299,35.12259868124299,8.854547671476421,2.440729035282876,3.9666169277494663,17,64.70588235294117,-27.047831583052417,16.521418373581742,0.27380952380952384,5,21,76.19047619047619,23.809523809523807,12,75.0,25.0,9,77.77777777777779,22.22222222222222,14,50.0,42.857142857142854,,,,
year2025,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2025-08-27,2026-08-27,0.001,0.5,31.71418276927287,31.71418276927287,8.695357123682667,1.9843720138297276,3.6472547726528846,29,55.172413793103445,-27.047831583052417,4.926125336961684,0.33015873015873015,10,34,64.70588235294117,29.411764705882355,25,60.0,32.0,9,77.77777777777779,22.22222222222222,14,50.0,42.857142857142854,,,,
early8,v5,"TQQQ,MSFT,NFLX,YINN,TSLA,NVDA,GOOGL,AAOI",2017-09-22,2021-08-26,0.001,,-0.31814622097924294,-0.08116083066103119,22.432693770405866,0.058521612128882905,-0.0036179707837006143,45,46.666666666666664,-33.02304593375068,-6.156136895471365,0.31926188068756317,22,51,47.05882352941176,45.09803921568628,28,64.28571428571429,25.0,23,26.08695652173913,69.56521739130434,40,35.0,50.0,,,,
early8,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,TSLA,NVDA,GOOGL,AAOI",2017-09-22,2021-08-26,0.001,0.5,7.925060893558555,1.9623077414186563,22.79074043979965,0.20833563114785764,0.08610109647828128,70,47.14285714285714,-33.02304593375068,-2.4493687618365567,0.3609706774519717,31,84,55.952380952380956,35.714285714285715,61,67.21311475409836,22.950819672131146,23,26.08695652173913,69.56521739130434,40,35.0,50.0,,,,
trusted5,v5,"TQQQ,SNOW,TSLA,NVDA,AAOI",2021-08-27,2026-08-27,0.001,,231.09449977924203,27.175864234033355,17.29593339461474,1.2200922369826235,1.571228543380887,44,52.27272727272727,-27.047831583052417,1.7437695455168045,0.24334661354581674,18,52,57.692307692307686,40.38461538461539,28,46.42857142857143,50.0,24,70.83333333333334,29.166666666666668,40,45.0,45.0,,,,
trusted5,P-confirm5-v5profit50,"TQQQ,SNOW,TSLA,NVDA,AAOI",2021-08-27,2026-08-27,0.001,0.5,238.33895062127812,27.729788783228358,21.277443681521767,1.199958325618721,1.3032481344227493,67,50.74626865671642,-27.047831583052407,4.168451869554812,0.2744223107569721,25,81,60.49382716049383,37.03703703703704,57,56.14035087719298,40.35087719298245,24,70.83333333333334,29.166666666666668,40,45.0,45.0,,,,
unleveraged8,v5,"MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,150.51112816616686,20.249476678342514,14.412227129203458,1.3116610440796896,1.4050206464836412,57,56.14035087719298,-27.047831583052417,3.7543327154057726,0.33247011952191236,20,75,60.0,38.666666666666664,46,52.17391304347826,45.65217391304348,29,72.41379310344827,27.586206896551722,44,56.81818181818182,36.36363636363637,,,,
