symbol,entry_date,exit_date,return_pct,hold_days,exit_reason
TQQQ,2022-01-25,2022-02-22,-9.61779533821755,19,trail
TQQQ,2022-02-25,2022-03-15,-18.423402686815884,12,trail
TQQQ,2022-06-16,2022-08-18,61.74645842324886,43,signal
TQQQ,2022-10-14,2022-11-04,-8.84758457047602,15,trail
TQQQ,2023-01-12,2023-01-31,12.172843726286352,12,signal
TQQQ,2023-10-10,2023-10-27,-17.082673786856507,13,trail
TQQQ,2024-05-06,2024-07-22,28.498565677603448,52,signal
TQQQ,2024-08-06,2024-09-09,7.986179955415418,23,trail
TQQQ,2025-04-08,2025-04-22,-4.443444330368063,9,trail
TQQQ,2026-04-10,2026-06-10,44.928508277909906,42,signal
MSFT,2022-02-01,2022-06-14,-21.59643001259398,92,trail
MSFT,2023-04-28,2025-04-04,19.536231482382703,485,trail
MSFT,2026-04-15,2026-06-10,-0.06198834990690516,39,signal
MSFT,2026-06-29,2026-08-28,35.76251199160543,44,terminal
NFLX,2022-12-02,2023-02-22,8.481864091411184,54,signal
NFLX,2023-03-27,2023-07-28,26.615563913745355,85,signal
NFLX,2023-10-25,2025-01-03,114.25523844028564,299,signal
NFLX,2025-03-25,2025-11-21,7.260260420213327,168,trail
NFLX,2026-02-26,2026-04-20,16.521418373581763,36,signal
NFLX,2026-07-20,2026-08-28,19.37447790188076,30,terminal
YINN,2021-09-23,2021-11-29,-4.459071666167269,46,trail
YINN,2021-12-31,2022-01-24,6.437643816955396,15,signal
YINN,2022-02-25,2022-03-08,-26.410032710845943,7,trail
YINN,2022-03-16,2022-04-12,7.8791593400682425,19,trail
YINN,2022-08-12,2022-09-07,-11.409216181607517,17,trail
YINN,2022-10-14,2022-10-25,-34.38185233852087,7,trail
YINN,2022-11-08,2022-12-08,68.81192274062582,21,signal
YINN,2023-01-04,2023-02-07,1.6724582841518787,23,trail
YINN,2023-06-14,2023-06-21,-7.5571202234804735,4,signal
YINN,2023-10-12,2023-11-30,-24.892376600456224,34,trail
YINN,2024-01-02,2024-01-17,-26.9742832525411,10,trail
YINN,2024-08-06,2024-10-09,97.67171273084114,45,signal
YINN,2025-01-28,2025-02-25,38.25064305242771,19,signal
YINN,2025-04-10,2025-10-13,75.14225258742859,127,signal
YINN,2025-12-29,2026-02-27,-10.97577608363296,41,trail
SNOW,2021-12-09,2022-01-06,-20.634647434082034,19,trail
SNOW,2022-01-25,2022-02-14,6.612483502114808,14,signal
SNOW,2022-03-17,2022-04-19,-0.7935845204045111,22,trail
SNOW,2022-05-27,2022-08-10,32.27609989487663,50,signal
SNOW,2022-11-11,2023-01-05,-12.0011368775506,36,trail
SNOW,2023-01-13,2023-02-06,14.444136202171842,15,signal
SNOW,2023-09-01,2024-01-05,16.50919972702114,86,signal
SNOW,2024-06-28,2024-08-06,-14.331088418973547,26,trail
SNOW,2026-01-07,2026-02-04,-27.047831583052417,19,trail
SNOW,2026-02-26,2026-04-10,-25.89098544678904,30,trail
SNOW,2026-04-14,2026-08-27,140.97731998297908,95,terminal
TSLA,2022-02-25,2022-04-27,10.819385050147368,42,trail
TSLA,2022-12-05,2022-12-21,-26.593404828411128,12,trail
TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal
TSLA,2024-04-30,2024-07-12,25.85765548340815,50,signal
TSLA,2024-10-28,2024-12-19,67.02840620483397,37,signal
TSLA,2025-03-13,2025-04-09,-9.627677945506463,19,trail
TSLA,2026-02-12,2026-06-08,-8.078611631424515,79,signal
MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail
MRNA,2022-02-16,2022-04-22,-3.1678067374243724,45,trail
MRNA,2023-08-18,2023-10-17,-14.825943022421717,41,trail
MRNA,2023-11-03,2024-02-12,19.35322949190672,67,trail
MRNA,2024-11-19,2025-01-14,-9.80913675287911,36,trail
MRNA,2025-02-18,2025-04-01,-13.335461051097441,30,trail
MRNA,2025-04-29,2025-08-04,1.7986428200841953,66,signal
MRNA,2025-11-13,2026-02-06,57.40207017947048,57,trail
NVDA,2025-01-07,2025-02-04,-23.723324199559194,18,trail
NVDA,2025-04-08,2026-03-31,60.520404688583085,245,trail
NVDA,2026-04-08,2026-06-09,13.92897872463319,43,signal
TEM,2024-11-07,2024-11-15,2.4841651570340906,6,trail
TEM,2025-01-16,2025-02-24,94.72170338765369,25,trail
TEM,2025-04-25,2025-05-29,2.6885090963002733,23,trail
TEM,2025-07-23,2025-10-31,43.548868863158454,71,signal
TEM,2026-01-05,2026-02-04,-13.804771772998325,21,trail
TEM,2026-04-16,2026-05-18,-24.071694192505955,22,trail
TEM,2026-08-21,2026-08-28,-2.5731914019629265,6,terminal
GOOGL,2022-02-02,2022-04-28,-23.185264576067965,59,trail
GOOGL,2024-03-15,2024-09-09,6.810615458117031,121,trail
GOOGL,2024-09-18,2025-03-12,3.995375811745916,119,trail
GOOGL,2026-03-12,2026-06-02,19.241631641253253,56,signal
GOOGL,2026-08-04,2026-08-28,-6.062364404836373,19,terminal
AAOI,2022-01-25,2022-02-28,-14.528879830647135,23,trail
AAOI,2023-01-13,2023-01-20,-1.91320485993266,4,signal
AAOI,2023-03-29,2023-05-02,-0.1998999999999973,23,trail
AAOI,2023-05-09,2023-06-22,164.7240065994533,30,signal
AAOI,2024-04-17,2024-06-21,-25.39859610915135,45,trail
AAOI,2024-07-11,2024-07-25,-5.003121316486691,10,trail
AAOI,2024-08-20,2024-12-06,335.1005535215784,76,signal
AAOI,2025-03-13,2025-03-28,3.7543327154057726,11,trail
AAOI,2025-04-08,2025-04-17,-13.641687661864788,7,trail
AAOI,2025-05-02,2025-06-02,0.19275887723202434,20,trail
AAOI,2025-09-16,2025-11-05,3.2947802138015847,36,trail
AAOI,2025-11-24,2025-12-15,61.521743619341265,14,signal
AAOI,2026-07-31,2026-08-19,35.44300100700386,13,signal
