omitted,scheme,total,cagr,mdd,sharpe,calmar,trades,win,avg_trade,median_trade,worst_trade,profit_factor,median_symbol_total,positive_symbols,symbols,max_symbol_mdd,exposure
TQQQ,baseline,186.55520048126434,23.539536700973663,37.16377930751107,0.9144273035156218,0.6333999700675262,50,62.0,23.536863431247177,9.973025855457818,-68.66988113497078,3.556534502554778,70.51,8,10,87.93,0.6366601402575295
TQQQ,recommended,165.40002602917065,21.651638272674447,15.512805824672904,1.3263384759223091,1.395726763899656,79,54.43037974683544,16.44457514820444,2.4841651570340906,-34.38185233852087,3.4433949699653663,59.714999999999996,8,10,67.5,0.33236741099260375
MSFT,baseline,231.91588346308066,27.239152837469028,41.64328843867213,0.9631559104755513,0.6541066726174614,55,61.81818181818181,25.05861139334118,10.80145256101661,-68.66988113497078,3.774095696400619,70.51,8,10,87.93,0.5991302597794419
MSFT,recommended,181.648862775303,23.11187153695333,15.5303727752369,1.3310715263034847,1.488172362082969,85,54.11764705882353,16.028220787581095,2.4841651570340906,-34.38185233852087,3.3967179073285454,80.79499999999999,8,10,67.5,0.29890127553443646
NFLX,baseline,240.2700988239477,27.8758464376077,34.7524724948182,0.9873406719136539,0.8021255593185249,51,60.78431372549019,26.524724970634452,16.030240544581087,-68.66988113497078,4.103602127828587,84.75999999999999,8,10,87.93,0.6137119330862147
NFLX,recommended,145.55784032049357,19.768232532930895,16.56043677212634,1.1632608398836508,1.193702364553799,83,50.602409638554214,14.500364685720033,0.19275887723202434,-34.38185233852087,3.0395294234825707,59.714999999999996,8,10,67.5,0.2979451002356316
YINN,baseline,230.29437910650122,27.114093205778023,40.01427636915491,1.0023882497727659,0.677610484708877,48,68.75,29.111177076252353,17.053918951642355,-68.66988113497078,5.102541047273739,84.75999999999999,9,10,84.3,0.6266202996200793
YINN,recommended,158.92851654320458,21.050114238079587,13.232167403004114,1.3294417659834934,1.5908288942369755,74,55.4054054054054,16.85450038595452,2.991644655050929,-27.047831583052417,3.815156205302812,66.49,8,10,57.86,0.3168295623870261
SNOW,baseline,222.2891545989595,26.48939486915889,38.19315401452153,0.9624524352047417,0.693563952824825,50,62.0,27.19587485812427,10.840978896648801,-68.66988113497078,3.9210800693554755,70.51,8,10,87.93,0.6358201191616896
SNOW,recommended,172.18502037377218,22.269841550580182,15.203498039834217,1.3267046873174282,1.4647840577366904,78,55.12820512820513,16.48614265419961,2.586337126667182,-34.38185233852087,3.627527837167635,80.79499999999999,8,10,67.5,0.3186360525348876
TSLA,baseline,223.43574114683577,26.579625823098407,41.309333542601955,0.9633881985952241,0.6434290641771567,51,64.70588235294117,26.470914508604114,16.030240544581087,-68.66988113497078,3.7798270115338184,70.51,8,10,87.93,0.6449469928471709
TSLA,recommended,167.25413970413734,21.82181538254373,17.489472470639356,1.2942175902219737,1.2477114686664987,82,53.65853658536586,15.787174159701284,2.141403988559143,-34.38185233852087,3.371826595083413,59.714999999999996,8,10,67.5,0.331012829319297
MRNA,baseline,279.7132106908415,30.723256769283005,38.9463044580446,1.0734816938394376,0.7888619266143728,53,66.0377358490566,27.882684922632095,16.030240544581087,-60.95102468073881,4.849130439094596,84.75999999999999,9,10,87.93,0.6231143235244618
MRNA,recommended,185.06589033775742,23.410342363566315,14.09380487357421,1.3694824210893048,1.6610377803271954,81,55.55555555555556,17.053692248648765,3.2947802138015847,-34.38185233852087,3.624951119334911,80.79499999999999,9,10,67.5,0.3237618333033607
NVDA,baseline,236.46143828766043,27.58714758138183,43.006347549192505,0.9582546161837455,0.641466879972229,54,62.96296296296296,25.87853133445936,10.840978896648801,-68.66988113497078,3.838520532741106,84.75999999999999,8,10,87.93,0.6582537657555375
NVDA,recommended,178.8210134629486,22.86266783143698,16.56043677212634,1.318831484422971,1.3805594711075628,86,53.48837209302325,15.643174800490971,2.141403988559143,-34.38185233852087,3.375289242875219,80.79499999999999,8,10,67.5,0.3271084468491775
TEM,baseline,232.95384097298734,27.3189499354088,39.31910940846054,1.0130557273095193,0.694800832124911,54,62.96296296296296,26.158375467906797,13.45537288843104,-68.66988113497078,3.9934641390344447,84.75999999999999,8,10,87.93,0.6198838457970351
TEM,recommended,160.67933009007032,21.214026606597237,14.988696140842784,1.3073907820442512,1.415335023624304,82,53.65853658536586,15.768847596575625,2.54671151694289,-34.38185233852087,3.352479093478835,59.714999999999996,8,10,67.5,0.32002617917484766
GOOGL,baseline,232.14045515364768,27.25643456562603,40.64337688099937,0.9668724641403313,0.6706242605143451,54,62.96296296296296,25.43241570334498,10.840978896648801,-68.66988113497078,3.7943802024233126,70.99,8,10,87.93,0.6047876302973701
GOOGL,recommended,190.79327896215773,23.904267008286606,14.846608670089957,1.359418730110935,1.6100826484666664,84,53.57142857142857,16.609989263400816,2.141403988559143,-34.38185233852087,3.4877032616277193,80.79499999999999,9,10,67.5,0.32169012015595044
AAOI,baseline,122.93935440487749,17.46670519406841,38.113792090187424,0.7317013768821723,0.4582778106344683,50,60.0,16.563454493383553,9.973025855457818,-68.66988113497078,2.865975989181005,70.51,8,10,87.93,0.6375366342814339
AAOI,recommended,106.18902981953879,15.638785499930119,15.322781853012978,1.0626870462298663,1.020623125092328,76,53.94736842105263,11.219648753686144,2.586337126667182,-34.38185233852087,2.61062835185709,59.714999999999996,8,10,67.5,0.3266303591997751
