symbol,date,signal,close,b_score,s_score,regime,ma60_slope20_pct,ret_5d_pct,ret_10d_pct,ret_20d_pct,ret_60d_pct,mfe_20d_pct,mae_20d_pct,mfe_day,mae_day,interference,subtype
YINN,2021-09-22,绝反,212.6000061035156,4.0,1.0,bear,-14.249328028542752,-3.491754148788584,-7.856448684773021,25.024244232980553,-16.973812084383923,26.867124139278854,-11.833168893115442,20.0,8.0,False,juefan
SNOW,2021-09-29,S卖,293.79998779296875,0.0,2.0,bull,8.704163034575242,2.8637857532184396,8.920267808476945,15.315616645686259,16.019933960366494,16.926914354495427,-3.6511595463039836,20.0,4.0,True,major-top
YINN,2021-10-07,B买,213.3999938964844,2.0,1.0,bear,-16.030775271183316,4.465119117914229,19.255811114643894,1.5813925099927406,-22.69767583802689,23.906973905341577,-0.7441888853560896,11.0,1.0,False,bear/crash-recovery
GOOGL,2021-10-27,B买,146.21749877929688,4.0,1.0,bull,2.2654812763791776,-0.36463168103813004,-0.8434544724263859,-0.6895127012850333,-11.099031620805455,2.6044201531805644,-2.6567607701941998,17.0,3.0,False,base-bull
AAOI,2021-11-05,S卖,5.860000133514404,1.0,7.0,bear,0.07835199108803259,1.6722392025688038,3.0100305646238334,-8.695651827223239,-33.11036810632416,5.351173422085642,-13.043481727767603,6.0,20.0,False,bear-rally
SNOW,2021-12-02,B买,360.2799987792969,5.0,1.0,bull,8.116072644327655,0.8738392644904946,-9.27161317421491,-5.427287838550521,-26.522236620923103,5.323992069638583,-12.895391308126236,7.0,10.0,True,base-bull
TQQQ,2021-12-02,S卖,37.645694732666016,2.0,2.0,bull,5.831673375372892,1.5249893397756953,-4.287526360259375,3.9562339727975404,-37.45000298709904,9.362489435924903,-10.937520328013195,17.0,12.0,False,major-top
NVDA,2021-12-13,S卖,28.160999298095703,0.0,2.0,bull,12.985053519734691,0.07220642692287171,9.469660114033275,0.42600827846752676,-18.199207795099028,13.10877864474611,-7.419041659720427,10.0,19.0,True,major-top
NFLX,2021-12-22,B买,61.42399978637695,1.0,0.0,bull,1.5504161185730725,-0.6992208957285584,-10.238482943649174,-35.51265348215521,-39.22939648815154,0.6830003869157553,-38.35334048413732,5.0,20.0,True,stage
YINN,2021-12-30,B买,172.0,4.0,1.0,bear,-6.034949194492157,-7.007118895872533,7.363426131057782,-6.175768570916496,-41.92398658168863,24.465566330339005,-11.995248028725669,14.0,4.0,True,bear/crash-recovery
YINN,2021-12-30,绝反,172.0,4.0,1.0,bear,-6.034949194492157,-7.007118895872533,7.363426131057782,-6.175768570916496,-41.92398658168863,24.465566330339005,-11.995248028725669,14.0,4.0,True,juefan
MRNA,2022-01-10,绝反,233.6999969482422,5.0,1.0,bear,-12.046547895870363,-17.429203269755945,-32.50442774949875,-32.16371789442755,-31.58407295699668,1.106194690265494,-38.86283266860827,2.0,9.0,True,juefan
YINN,2022-01-21,S卖,187.3999938964844,0.0,4.0,bear,-8.236799946246387,-12.026729047584816,0.8908634690159012,-9.46547852019657,-53.67483623564667,8.240527444324552,-16.369715008989605,14.0,5.0,False,bear-rally
AAOI,2022-01-24,绝反,4.019999980926514,4.0,1.0,bear,-12.964679016687686,3.2745560474932267,-1.0075557069209928,-0.2518889267302482,-22.67002742774521,14.861458688096075,-8.488668241270236,19.0,15.0,True,juefan
MSFT,2022-01-24,B买,296.3699951171875,5.0,1.0,bull,1.9219267531205064,6.675364539665796,3.2347775620000796,-1.3035084852416556,-1.7700342537634306,8.095501849929354,-2.408064379195163,7.0,20.0,False,base-bull
SNOW,2022-01-24,绝反,277.5,5.0,1.0,bear,-1.6324542868538794,0.22886798705150646,6.509977165307457,-2.7209614317974196,-32.43724228931403,19.697025968933414,-15.417585961580915,13.0,4.0,True,juefan
TQQQ,2022-01-24,绝反,27.392108917236328,3.0,1.0,bear,3.3264379080582884,14.182813604336285,5.946445531411193,-9.732234632439473,-11.542014274353928,20.72020291059342,-12.816263763550573,7.0,20.0,True,juefan
