start,end,scheme,total,cagr,mdd,sharpe,calmar,trades,win,avg_trade,median_trade,worst_trade,profit_factor,median_symbol_total,positive_symbols,symbols,max_symbol_mdd,exposure
2021-08-27,2022-08-26,baseline,-22.43685560588625,-22.43685560588625,39.31910940846054,-0.5009958719805939,-0.5706348883135784,12,16.666666666666664,-22.302306079905875,-21.61266207582935,-60.95102468073881,0.06358384674946958,-29.795,1,10,73.04,0.5460317460317461
2021-08-27,2022-08-26,recommended,-2.5412904317033025,-2.5412904317033025,14.988696140842784,-0.07400575394075609,-0.16954713123968973,18,38.88888888888889,-1.7079778093505587,-3.8134392017958207,-26.410032710845943,0.8142857433719688,-5.99,3,10,41.14,0.2158730158730159
2022-08-27,2023-08-26,baseline,19.50843107838809,19.67893981949882,9.936456335306353,1.1359477749154727,1.9804786691987302,14,64.28571428571429,13.341888532906443,7.507196680321071,-35.49329940768106,3.8759162301142984,8.815000000000001,6,10,58.26,0.32480000000000003
2022-08-27,2023-08-26,recommended,21.232004659474235,21.418880666012143,5.055368329372456,1.606704742206523,4.236858576963661,17,58.82352941176471,15.236704161429019,5.482767351299778,-34.38185233852087,3.8310424078689818,4.205,8,10,41.21,0.1792
2023-08-27,2024-08-26,baseline,33.075755432309336,33.22734042692026,10.793778602648407,1.7552886519933066,3.078378911604455,13,69.23076923076923,26.128850473204203,18.97800480303784,-34.462542191433755,5.7045957577099875,19.314999999999998,7,10,54.45,0.5155378486055777
2023-08-27,2024-08-26,recommended,10.04583996807109,10.087817447632052,7.648393532408038,0.9142962647165913,1.3189459204586693,16,56.25,7.0710555582148755,14.068617534933747,-26.97428325254111,1.9789544333763427,8.185,5,10,45.15,0.30199203187250995
2024-08-27,2025-08-26,baseline,57.3295095082665,57.9009235662606,19.855033372560893,1.7228284052518028,2.9161836437040733,13,92.3076923076923,38.26347228630685,30.174367836542302,-28.116732030304547,18.691427979107186,41.465,9,10,54.89,0.5388
2024-08-27,2025-08-26,recommended,27.106359383333235,27.350489306266603,11.28577658459291,1.4140042904043126,2.423447699966423,17,64.70588235294117,15.256358548990079,3.7543327154057726,-23.72333142580999,4.477547932989135,15.595,6,10,44.92,0.3388
2025-08-27,2026-08-27,baseline,53.66042538068903,53.66042538068903,11.958263172002848,2.118345039316128,4.48730928637872,15,73.33333333333333,31.29635233409276,19.49477966155062,-26.836042745826106,11.51778325405847,28.68,8,10,65.7,0.4242063492063492
2025-08-27,2026-08-27,recommended,35.12259868124299,35.12259868124299,8.854547671476421,2.440729035282876,3.9666169277494663,17,64.70588235294117,21.400954552667194,16.521418373581742,-27.047831583052417,5.5632464303056866,31.86,8,10,46.32,0.27380952380952384
