symbol,date,signal,signal_key,signal_role,signal_version,split,outcome_cutoff_date,outcome_date_20d,outcome_complete_20d,close,b_score,s_score,regime,ma60_slope20_pct,ret_5d_pct,ret_10d_pct,ret_20d_pct,ret_60d_pct,mfe_20d_pct,mae_20d_pct,mfe_day,mae_day,subtype,interference
YINN,2021-09-22,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2021-10-20,True,212.6000061035156,4.0,1.0,bear,-14.249328028542752,-3.491754148788584,-7.856448684773021,25.024244232980553,-16.973812084383923,26.867124139278854,-11.833168893115442,20.0,8.0,juefan,False
SNOW,2021-09-29,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2021-10-27,True,293.79998779296875,0.0,2.0,bull,8.704163034575242,2.8637857532184396,8.920267808476945,15.315616645686259,16.019933960366494,16.926914354495427,-3.6511595463039836,20.0,4.0,major-top,True
YINN,2021-10-07,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2021-11-04,True,213.3999938964844,2.0,1.0,bear,-16.030775271183316,4.465119117914229,19.255811114643894,1.5813925099927406,-22.69767583802689,23.906973905341577,-0.7441888853560896,11.0,1.0,bear/crash-recovery,False
YINN,2021-10-08,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2021-11-05,True,219.3999938964844,1.0,0.0,bear,-16.253799337434216,0.8726003606586596,12.129146344637864,-9.424079900666094,-31.326354279128388,16.230365376768606,-10.383945623320534,10.0,20.0,confirmed,True
GOOGL,2021-10-27,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2021-11-24,True,146.21749877929688,4.0,1.0,bull,2.2654812763791776,-0.36463168103813004,-0.8434544724263859,-0.6895127012850333,-11.099031620805455,2.6044201531805644,-2.6567607701941998,17.0,3.0,base-bull,False
AAOI,2021-11-05,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2021-12-06,True,5.860000133514404,1.0,7.0,bear,0.07835199108803259,1.6722392025688038,3.0100305646238334,-8.695651827223239,-33.11036810632416,5.351173422085642,-13.043481727767603,6.0,20.0,bear-rally,False
SNOW,2021-12-02,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2021-12-31,True,360.2799987792969,5.0,1.0,bull,8.116072644327655,0.8738392644904946,-9.27161317421491,-5.427287838550521,-26.522236620923103,5.323992069638583,-12.895391308126236,7.0,10.0,base-bull,True
TQQQ,2021-12-02,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2021-12-31,True,37.645694732666016,2.0,2.0,bull,5.831673375372892,1.5249893397756953,-4.287526360259375,3.9562339727975404,-37.45000298709904,9.362489435924903,-10.937520328013195,17.0,12.0,major-top,False
SNOW,2021-12-08,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-01-06,True,370.2799987792969,1.0,0.0,bull,6.987612293999734,-2.610811800570101,-3.2162145666174036,-19.705406395164694,-47.83783783783784,1.962164801520272,-22.702702702702705,3.0,20.0,confirmed,True
NVDA,2021-12-13,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-01-11,True,28.07231712341309,0.0,2.0,bull,12.989699517584818,0.07221735041409438,9.469670884300951,0.42604554288405705,-18.185267645317047,13.10878977305161,-7.419023169673677,10.0,19.0,major-top,True
